"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-24,Southside,250,37,21
2020-05-24,Chesapeake,433,82,13
2020-05-24,"Thomas Jefferson",416,68,19
2020-05-24,Roanoke,140,7,9
2020-05-24,"Eastern Shore",940,60,27
2020-05-24,"Mount Rogers",275,20,6
2020-05-24,Chickahominy,396,77,26
2020-05-24,"New River",94,13,1
2020-05-24,"Central Virginia",182,15,4
2020-05-24,Piedmont,643,43,5
2020-05-24,"Lord Fairfax",1097,101,43
2020-05-24,Crater,495,82,14
2020-05-24,Hampton,174,30,3
2020-05-24,Alexandria,1733,175,38
2020-05-24,Fairfax,9088,1210,335
2020-05-24,Richmond,1012,130,19
2020-05-24,Arlington,1873,364,98
2020-05-24,"Rappahannock Rapidan",1000,72,11
2020-05-24,Rappahannock,1201,135,15
2020-05-24,Pittsylvania-Danville,78,25,3
2020-05-24,"Prince William",5513,501,95
2020-05-24,"Cumberland Plateau",32,2,0
2020-05-24,Portsmouth,262,40,11
2020-05-24,"Virginia Beach",603,90,19
2020-05-24,"West Piedmont",137,15,4
2020-05-24,"Three Rivers",472,33,6
2020-05-24,Alleghany,174,24,14
2020-05-24,Lenowisco,42,15,4
2020-05-24,Norfolk,399,61,6
2020-05-24,"Western Tidewater",600,64,35
2020-05-24,Henrico,1446,176,118
2020-05-24,"Central Shenandoah",1367,109,28
2020-05-24,Loudoun,1821,150,52
2020-05-24,Chesterfield,1305,75,37
2020-05-24,Peninsula,551,113,32
,Peninsula,551,113,32
,,,,
