Report Date,ZIP Code,Number of Cases,Total Number of People Tested
2020-05-09,20105,54,384
2020-05-09,20106,19,74
2020-05-09,20109,402,1011
2020-05-09,20110,419,1115
2020-05-09,20111,307,813
2020-05-09,20112,75,468
2020-05-09,20115,15,95
2020-05-09,20117,7,42
2020-05-09,20118,Suppressed*,37
2020-05-09,20119,10,68
2020-05-09,20120,99,636
2020-05-09,20121,78,390
2020-05-09,20124,28,235
2020-05-09,20129,7,25
2020-05-09,20130,0,8
2020-05-09,20132,20,230
2020-05-09,20135,5,47
2020-05-09,20136,70,441
2020-05-09,20137,Suppressed*,16
2020-05-09,20139,Suppressed*,5
2020-05-09,20141,7,90
2020-05-09,20143,0,19
2020-05-09,20144,Suppressed*,11
2020-05-09,20147,173,930
2020-05-09,20148,73,592
2020-05-09,20151,81,320
2020-05-09,20152,55,347
2020-05-09,20155,93,587
2020-05-09,20158,6,55
2020-05-09,20164,308,847
2020-05-09,20165,106,539
2020-05-09,20166,53,242
2020-05-09,20169,39,367
2020-05-09,20170,266,815
2020-05-09,20171,153,593
2020-05-09,20175,57,511
2020-05-09,20176,161,834
2020-05-09,20180,5,113
2020-05-09,20181,20,151
2020-05-09,20184,Suppressed*,25
2020-05-09,20186,35,300
2020-05-09,20187,33,272
2020-05-09,20190,99,421
2020-05-09,20191,126,556
2020-05-09,20194,14,169
2020-05-09,20197,Suppressed*,46
2020-05-09,20198,Suppressed*,32
2020-05-09,22003,510,1419
2020-05-09,22015,206,761
2020-05-09,22025,46,312
2020-05-09,22026,82,380
2020-05-09,22027,39,61
2020-05-09,22030,129,875
2020-05-09,22031,152,664
2020-05-09,22032,75,451
2020-05-09,22033,104,587
2020-05-09,22035,0,4
2020-05-09,22039,38,267
2020-05-09,22041,331,775
2020-05-09,22042,273,877
2020-05-09,22043,109,425
2020-05-09,22044,115,333
2020-05-09,22046,92,371
2020-05-09,22060,10,72
2020-05-09,22066,32,365
2020-05-09,22079,137,689
2020-05-09,22101,76,687
2020-05-09,22102,68,538
2020-05-09,22124,29,254
2020-05-09,22125,0,12
2020-05-09,22134,8,38
2020-05-09,22150,393,914
2020-05-09,22151,135,411
2020-05-09,22152,100,464
2020-05-09,22153,84,474
2020-05-09,22172,65,218
2020-05-09,22180,61,430
2020-05-09,22181,23,222
2020-05-09,22182,53,420
2020-05-09,22191,568,1993
2020-05-09,22192,250,1348
2020-05-09,22193,507,1856
2020-05-09,22201,128,773
2020-05-09,22202,107,529
2020-05-09,22203,169,505
2020-05-09,22204,507,1445
2020-05-09,22205,75,414
2020-05-09,22206,98,461
2020-05-09,22207,180,804
2020-05-09,22209,46,285
2020-05-09,22211,Suppressed*,9
2020-05-09,22213,10,59
2020-05-09,22214,0,2
2020-05-09,22301,39,314
2020-05-09,22302,109,407
2020-05-09,22303,80,388
2020-05-09,22304,327,1254
2020-05-09,22305,340,645
2020-05-09,22306,342,940
2020-05-09,22307,36,229
2020-05-09,22308,24,162
2020-05-09,22309,274,788
2020-05-09,22310,149,625
2020-05-09,22311,205,582
2020-05-09,22312,222,738
2020-05-09,22314,117,767
2020-05-09,22315,57,419
2020-05-09,22401,55,456
2020-05-09,22405,49,471
2020-05-09,22406,38,373
2020-05-09,22407,142,924
2020-05-09,22408,43,450
2020-05-09,22427,Suppressed*,44
2020-05-09,22432,0,11
2020-05-09,22433,Suppressed*,3
2020-05-09,22435,Suppressed*,40
2020-05-09,22436,0,7
2020-05-09,22437,Suppressed*,16
2020-05-09,22438,Suppressed*,3
2020-05-09,22443,9,84
2020-05-09,22448,Suppressed*,8
2020-05-09,22454,0,13
2020-05-09,22460,Suppressed*,15
2020-05-09,22469,Suppressed*,26
2020-05-09,22473,Suppressed*,68
2020-05-09,22476,Suppressed*,1
2020-05-09,22480,0,18
2020-05-09,22482,Suppressed*,50
2020-05-09,22485,37,281
2020-05-09,22488,Suppressed*,16
2020-05-09,22503,Suppressed*,70
2020-05-09,22504,0,2
2020-05-09,22508,19,187
2020-05-09,22511,Suppressed*,10
2020-05-09,22514,Suppressed*,22
2020-05-09,22520,25,85
2020-05-09,22529,0,5
2020-05-09,22530,0,1
2020-05-09,22534,0,26
2020-05-09,22535,0,8
2020-05-09,22538,0,6
2020-05-09,22539,Suppressed*,36
2020-05-09,22542,0,22
2020-05-09,22546,24,183
2020-05-09,22548,0,3
2020-05-09,22551,43,298
2020-05-09,22553,14,220
2020-05-09,22554,177,1004
2020-05-09,22556,89,476
2020-05-09,22560,19,110
2020-05-09,22567,Suppressed*,52
2020-05-09,22572,178,310
2020-05-09,22576,0,25
2020-05-09,22578,0,32
2020-05-09,22579,0,2
2020-05-09,22580,5,75
