"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-25,Southside,375,46,28
2020-06-25,Chesapeake,800,116,16
2020-06-25,"Thomas Jefferson",854,83,19
2020-06-25,Roanoke,359,14,10
2020-06-25,"Eastern Shore",1306,109,42
2020-06-25,"Mount Rogers",668,68,27
2020-06-25,Chickahominy,621,104,35
2020-06-25,"New River",188,22,5
2020-06-25,"Central Virginia",331,16,5
2020-06-25,Piedmont,993,81,10
2020-06-25,"Lord Fairfax",1899,162,63
2020-06-25,Crater,1408,136,21
2020-06-25,Hampton,281,38,5
2020-06-25,Alexandria,2271,231,50
2020-06-25,Fairfax,13737,1604,471
2020-06-25,Richmond,2089,206,30
2020-06-25,Arlington,2445,416,127
2020-06-25,"Rappahannock Rapidan",1423,106,18
2020-06-25,Rappahannock,2343,211,39
2020-06-25,Pittsylvania-Danville,168,36,3
2020-06-25,"Prince William",8855,777,158
2020-06-25,"Cumberland Plateau",41,2,0
2020-06-25,Portsmouth,442,67,16
2020-06-25,"Virginia Beach",1053,118,27
2020-06-25,"West Piedmont",394,38,7
2020-06-25,"Three Rivers",609,48,10
2020-06-25,Alleghany,359,31,14
2020-06-25,Lenowisco,49,16,4
2020-06-25,Norfolk,795,95,8
2020-06-25,"Western Tidewater",758,81,46
2020-06-25,Henrico,2500,242,140
2020-06-25,"Central Shenandoah",1951,155,34
2020-06-25,Loudoun,3739,261,85
2020-06-25,Chesterfield,2951,133,68
2020-06-25,Peninsula,891,126,34
