"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-15,Southside,"Not Reported",100,10,4
2020-05-15,Chesapeake,White,160,30,3
2020-05-15,"New River",Other,0,0,0
2020-05-15,Norfolk,"Black or African American",188,35,3
2020-05-15,"Central Shenandoah",Other,188,10,2
2020-05-15,Southside,Other,26,1,4
2020-05-15,Pittsylvania-Danville,Other,0,0,0
2020-05-15,"Cumberland Plateau",White,17,2,0
2020-05-15,"Rappahannock Rapidan","Black or African American",29,6,1
2020-05-15,Fairfax,"Not Reported",1813,92,77
2020-05-15,Chesapeake,"Not Reported",49,2,0
2020-05-15,"Thomas Jefferson",White,212,25,8
2020-05-15,Richmond,Other,134,23,1
2020-05-15,Peninsula,"Black or African American",127,31,9
2020-05-15,Henrico,Other,120,12,3
2020-05-15,"Cumberland Plateau","Black or African American",11,0,0
2020-05-15,Loudoun,Other,318,46,7
2020-05-15,Crater,Other,12,2,1
2020-05-15,Arlington,"Black or African American",104,39,15
2020-05-15,Alexandria,"Black or African American",213,44,6
2020-05-15,Richmond,"Black or African American",278,62,16
2020-05-15,"Lord Fairfax","Not Reported",114,2,4
2020-05-15,Fairfax,"Black or African American",487,116,18
2020-05-15,"Thomas Jefferson","Black or African American",104,35,4
2020-05-15,"West Piedmont",White,48,6,1
2020-05-15,Rappahannock,"Not Reported",310,20,0
2020-05-15,"Central Shenandoah","Not Reported",200,5,1
2020-05-15,Peninsula,White,251,71,21
2020-05-15,"Rappahannock Rapidan",White,242,23,8
2020-05-15,"Prince William",White,827,169,50
2020-05-15,"New River","Not Reported",28,0,0
2020-05-15,Chesterfield,"Not Reported",459,3,9
2020-05-15,Alleghany,Other,2,0,0
2020-05-15,Lenowisco,White,32,14,3
2020-05-15,"Western Tidewater",White,142,22,14
2020-05-15,Piedmont,White,132,7,3
2020-05-15,"Cumberland Plateau",Other,0,0,0
2020-05-15,Pittsylvania-Danville,White,27,13,2
2020-05-15,Roanoke,"Black or African American",17,4,0
2020-05-15,Alleghany,"Black or African American",5,1,0
2020-05-15,Richmond,"Not Reported",122,2,0
2020-05-15,"Central Virginia",Other,2,1,0
2020-05-15,Rappahannock,Other,213,37,1
2020-05-15,Roanoke,Other,2,0,0
2020-05-15,Piedmont,"Black or African American",144,23,1
2020-05-15,Chesterfield,Other,100,1,0
2020-05-15,Portsmouth,"Black or African American",108,27,6
2020-05-15,Portsmouth,"Not Reported",47,2,2
2020-05-15,Norfolk,"Not Reported",50,0,0
2020-05-15,"Eastern Shore",White,222,9,6
2020-05-15,"Eastern Shore","Not Reported",117,1,0
2020-05-15,Roanoke,White,69,3,1
2020-05-15,"Three Rivers",Other,21,2,0
2020-05-15,Fairfax,Other,2897,512,57
2020-05-15,Henrico,"Not Reported",196,1,1
2020-05-15,"Lord Fairfax",Other,111,11,3
2020-05-15,Piedmont,Other,11,1,0
2020-05-15,Lenowisco,"Black or African American",0,0,0
2020-05-15,Arlington,White,414,89,30
2020-05-15,Hampton,"Black or African American",89,23,3
2020-05-15,Alexandria,White,528,61,22
2020-05-15,Hampton,"Not Reported",30,0,0
2020-05-15,"Mount Rogers",White,176,15,4
2020-05-15,Alexandria,"Not Reported",390,14,3
2020-05-15,Chickahominy,"Black or African American",59,24,7
2020-05-15,Chesapeake,"Black or African American",137,39,5
2020-05-15,"Western Tidewater","Not Reported",158,1,1
2020-05-15,"Cumberland Plateau","Not Reported",0,0,0
2020-05-15,"Western Tidewater",Other,25,1,1
2020-05-15,Loudoun,"Black or African American",78,9,2
2020-05-15,"Virginia Beach",White,275,47,14
2020-05-15,Chickahominy,Other,13,5,0
2020-05-15,"New River","Black or African American",5,1,0
2020-05-15,"Virginia Beach","Not Reported",75,3,0
2020-05-15,"Rappahannock Rapidan",Other,38,12,0
2020-05-15,Piedmont,"Not Reported",220,6,1
2020-05-15,Portsmouth,Other,15,2,0
2020-05-15,Pittsylvania-Danville,"Not Reported",10,3,0
2020-05-15,"West Piedmont","Not Reported",7,0,0
2020-05-15,Norfolk,White,89,17,2
2020-05-15,Hampton,White,32,4,0
2020-05-15,"Western Tidewater","Black or African American",207,33,12
2020-05-15,"Prince William","Not Reported",2092,34,2
2020-05-15,Fairfax,White,2048,330,128
2020-05-15,Lenowisco,Other,1,0,0
2020-05-15,"Rappahannock Rapidan","Not Reported",324,12,2
2020-05-15,"Three Rivers","Black or African American",114,10,0
2020-05-15,Henrico,"Black or African American",463,89,49
2020-05-15,Lenowisco,"Not Reported",9,1,1
2020-05-15,Chesapeake,Other,33,5,2
2020-05-15,Crater,"Not Reported",81,2,1
2020-05-15,Chickahominy,"Not Reported",113,3,1
2020-05-15,"Eastern Shore","Black or African American",484,30,9
2020-05-15,Alexandria,Other,265,40,1
2020-05-15,Chesterfield,"Black or African American",206,35,7
2020-05-15,Roanoke,"Not Reported",32,0,0
2020-05-15,Rappahannock,"Black or African American",105,21,3
2020-05-15,"Lord Fairfax",White,562,59,24
2020-05-15,"Three Rivers",White,127,14,3
2020-05-15,"Central Virginia","Not Reported",86,3,0
2020-05-15,"Eastern Shore",Other,18,1,1
2020-05-15,Crater,"Black or African American",205,55,7
