"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-17,Norfolk,0-9,20,0,0
2020-06-17,"Cumberland Plateau",40-49,6,0,0
2020-06-17,"Eastern Shore",10-19,57,1,0
2020-06-17,"Mount Rogers",10-19,45,0,0
2020-06-17,"Rappahannock Rapidan",0-9,71,1,0
2020-06-17,"Three Rivers",0-9,9,1,0
2020-06-17,Henrico,40-49,338,23,1
2020-06-17,Alexandria,50-59,284,44,9
2020-06-17,Arlington,0-9,41,2,0
2020-06-17,Chickahominy,Missing,10,0,0
2020-06-17,"New River",20-29,34,0,0
2020-06-17,"Virginia Beach",20-29,177,3,0
2020-06-17,Chesapeake,50-59,111,19,1
2020-06-17,Alleghany,80+,24,8,5
2020-06-17,Fairfax,10-19,721,21,0
2020-06-17,Chesapeake,60-69,89,21,4
2020-06-17,"West Piedmont",Missing,0,0,0
2020-06-17,Peninsula,80+,50,23,15
2020-06-17,Crater,40-49,187,13,1
2020-06-17,Chesapeake,40-49,111,16,0
2020-06-17,"Thomas Jefferson",20-29,112,1,0
2020-06-17,"Lord Fairfax",20-29,310,4,0
2020-06-17,Norfolk,20-29,177,1,0
2020-06-17,Arlington,30-39,430,41,0
2020-06-17,"West Piedmont",60-69,39,3,0
2020-06-17,Henrico,50-59,289,31,8
2020-06-17,"West Piedmont",50-59,77,9,1
2020-06-17,"Cumberland Plateau",20-29,2,0,0
2020-06-17,Alexandria,70-79,100,37,15
2020-06-17,Portsmouth,20-29,70,3,0
2020-06-17,"Western Tidewater",30-39,87,4,0
2020-06-17,"Central Shenandoah",0-9,46,0,0
2020-06-17,Henrico,80+,304,65,69
2020-06-17,Alexandria,0-9,118,2,0
2020-06-17,Pittsylvania-Danville,40-49,33,5,0
2020-06-17,Henrico,20-29,310,15,0
2020-06-17,Roanoke,60-69,23,3,0
2020-06-17,Peninsula,30-39,129,7,1
2020-06-17,Alleghany,60-69,35,7,1
2020-06-17,"Prince William",70-79,263,74,38
2020-06-17,Norfolk,60-69,64,23,1
2020-06-17,Southside,40-49,30,5,0
2020-06-17,Chesterfield,30-39,494,4,0
2020-06-17,Loudoun,70-79,132,39,13
2020-06-17,"Central Virginia",40-49,41,0,0
2020-06-17,"New River",Missing,0,0,0
2020-06-17,Chickahominy,20-29,71,0,0
2020-06-17,"New River",0-9,3,0,0
2020-06-17,"Cumberland Plateau",0-9,0,0,0
2020-06-17,"Three Rivers",70-79,27,6,4
2020-06-17,"Rappahannock Rapidan",40-49,282,19,2
2020-06-17,Hampton,0-9,8,0,0
2020-06-17,Piedmont,50-59,173,18,0
2020-06-17,Rappahannock,20-29,371,10,0
2020-06-17,"West Piedmont",20-29,46,0,0
2020-06-17,Arlington,70-79,171,72,32
2020-06-17,Chickahominy,50-59,105,22,1
2020-06-17,Alleghany,40-49,38,1,0
2020-06-17,"Prince William",50-59,1308,172,12
2020-06-17,"Mount Rogers",0-9,28,1,0
2020-06-17,"Eastern Shore",0-9,15,1,0
2020-06-17,"Thomas Jefferson",60-69,66,17,2
2020-06-17,Pittsylvania-Danville,70-79,20,9,0
2020-06-17,Chesterfield,80+,130,25,31
2020-06-17,Richmond,0-9,71,4,0
2020-06-17,Chesapeake,80+,41,14,9
2020-06-17,Peninsula,40-49,104,7,1
2020-06-17,Henrico,0-9,96,1,0
2020-06-17,Lenowisco,80+,0,0,0
2020-06-17,Piedmont,60-69,129,18,2
2020-06-17,"West Piedmont",0-9,9,0,0
2020-06-17,"Mount Rogers",30-39,90,3,0
2020-06-17,"Eastern Shore",30-39,226,8,0
2020-06-17,Chesterfield,0-9,72,0,0
2020-06-17,"Central Shenandoah",10-19,100,1,0
2020-06-17,Crater,0-9,19,1,0
2020-06-17,Fairfax,70-79,649,222,89
2020-06-17,Rappahannock,80+,70,23,9
2020-06-17,Alexandria,10-19,152,3,0
2020-06-17,Portsmouth,40-49,59,6,0
2020-06-17,"Three Rivers",50-59,80,6,0
2020-06-17,Alleghany,Missing,1,0,0
2020-06-17,Alexandria,30-39,507,28,0
2020-06-17,Southside,Missing,0,0,0
2020-06-17,Portsmouth,60-69,44,13,4
2020-06-17,Roanoke,30-39,59,0,0
2020-06-17,"Three Rivers",60-69,67,10,0
2020-06-17,Fairfax,50-59,2086,264,25
2020-06-17,Portsmouth,50-59,64,17,2
2020-06-17,Chickahominy,80+,80,32,21
2020-06-17,"Rappahannock Rapidan",50-59,197,22,2
2020-06-17,Fairfax,80+,788,283,268
2020-06-17,Hampton,Missing,5,0,0
2020-06-17,"Cumberland Plateau",80+,0,0,0
2020-06-17,Alleghany,50-59,50,4,1
2020-06-17,"Prince William",40-49,1813,134,6
2020-06-17,Fairfax,Missing,146,2,0
2020-06-17,"Virginia Beach",40-49,138,18,1
2020-06-17,Richmond,Missing,18,0,0
2020-06-17,Norfolk,40-49,108,10,0
2020-06-17,Piedmont,80+,33,12,3
2020-06-17,"Virginia Beach",60-69,125,16,1
2020-06-17,"West Piedmont",40-49,63,7,1
2020-06-17,Arlington,10-19,87,5,0
2020-06-17,Lenowisco,0-9,3,0,0
2020-06-17,Pittsylvania-Danville,50-59,27,9,0
2020-06-17,"Virginia Beach",50-59,127,13,0
2020-06-17,Chesapeake,Missing,6,1,0
2020-06-17,"Central Shenandoah",80+,89,20,11
2020-06-17,"Thomas Jefferson",40-49,112,5,0
2020-06-17,"Rappahannock Rapidan",60-69,103,16,2
2020-06-17,Norfolk,30-39,138,10,0
2020-06-17,"Rappahannock Rapidan",Missing,6,0,0
2020-06-17,"Lord Fairfax",80+,115,29,34
2020-06-17,"Three Rivers",10-19,20,0,0
2020-06-17,Piedmont,40-49,175,7,0
2020-06-17,Norfolk,80+,13,7,3
2020-06-17,Peninsula,20-29,127,1,0
2020-06-17,Norfolk,50-59,105,17,0
2020-06-17,"Thomas Jefferson",50-59,94,9,1
2020-06-17,Richmond,70-79,72,33,11
2020-06-17,Chesterfield,70-79,110,19,13
2020-06-17,Piedmont,30-39,173,2,0
2020-06-17,"Prince William",30-39,1568,89,2
2020-06-17,Alleghany,20-29,63,1,0
2020-06-17,Alleghany,0-9,4,0,0
2020-06-17,"Mount Rogers",40-49,72,0,0
2020-06-17,"Eastern Shore",40-49,238,10,2
2020-06-17,"Central Virginia",60-69,41,4,1
2020-06-17,Richmond,10-19,148,2,0
2020-06-17,Pittsylvania-Danville,60-69,19,7,1
2020-06-17,Pittsylvania-Danville,Missing,0,0,0
2020-06-17,Chesterfield,60-69,238,32,8
2020-06-17,Southside,10-19,5,0,0
2020-06-17,"New River",80+,8,3,1
2020-06-17,"Central Virginia",50-59,46,2,1
2020-06-17,Hampton,70-79,15,7,0
2020-06-17,Pittsylvania-Danville,10-19,6,0,0
2020-06-17,Richmond,60-69,175,42,6
2020-06-17,Chickahominy,40-49,77,11,1
2020-06-17,"Three Rivers",80+,29,5,4
2020-06-17,Rappahannock,30-39,437,20,0
2020-06-17,"Lord Fairfax",60-69,199,41,10
2020-06-17,"Western Tidewater",0-9,5,0,0
2020-06-17,Rappahannock,70-79,87,24,11
2020-06-17,"Prince William",80+,211,72,61
2020-06-17,Hampton,80+,5,3,2
2020-06-17,Alexandria,80+,83,27,21
2020-06-17,"Mount Rogers",60-69,65,6,0
2020-06-17,"Eastern Shore",60-69,171,25,8
2020-06-17,"Lord Fairfax",70-79,110,30,14
2020-06-17,"New River",30-39,19,1,0
2020-06-17,Chesapeake,10-19,29,1,0
2020-06-17,Hampton,40-49,37,3,0
2020-06-17,Peninsula,Missing,6,0,0
2020-06-17,Henrico,70-79,199,45,35
2020-06-17,"Western Tidewater",20-29,59,2,0
2020-06-17,Peninsula,0-9,30,0,0
2020-06-17,Loudoun,40-49,721,29,0
2020-06-17,"Rappahannock Rapidan",70-79,35,12,7
2020-06-17,"Central Shenandoah",70-79,115,38,12
2020-06-17,Chesapeake,30-39,131,6,0
2020-06-17,Chickahominy,0-9,10,0,0
2020-06-17,"Prince William",0-9,286,6,0
2020-06-17,"Eastern Shore",50-59,275,19,5
2020-06-17,"Mount Rogers",50-59,75,5,1
2020-06-17,Loudoun,10-19,238,0,0
2020-06-17,Southside,80+,77,11,12
2020-06-17,"Central Virginia",80+,14,2,0
2020-06-17,Rappahannock,Missing,17,0,0
2020-06-17,"Rappahannock Rapidan",30-39,284,14,1
2020-06-17,"New River",50-59,28,3,0
2020-06-17,Richmond,80+,36,16,8
2020-06-17,"Mount Rogers",20-29,85,0,0
2020-06-17,"Eastern Shore",20-29,191,6,0
2020-06-17,Hampton,10-19,13,0,0
2020-06-17,Portsmouth,0-9,7,1,0
2020-06-17,Crater,70-79,122,27,6
2020-06-17,Chesterfield,40-49,439,15,2
2020-06-17,Alexandria,Missing,11,0,0
2020-06-17,Southside,30-39,35,0,0
2020-06-17,"Prince William",Missing,124,2,0
2020-06-17,Hampton,60-69,33,11,2
2020-06-17,Fairfax,20-29,2008,64,2
2020-06-17,"Thomas Jefferson",0-9,27,1,0
2020-06-17,Lenowisco,40-49,7,2,0
2020-06-17,"Central Virginia",10-19,15,1,0
2020-06-17,Lenowisco,70-79,5,4,1
2020-06-17,"Virginia Beach",0-9,16,0,0
2020-06-17,Lenowisco,50-59,13,5,0
2020-06-17,Chesapeake,70-79,51,21,2
2020-06-17,"Western Tidewater",80+,128,22,21
2020-06-17,"Thomas Jefferson",10-19,40,1,0
2020-06-17,Richmond,40-49,327,26,1
2020-06-17,"Lord Fairfax",50-59,286,21,2
2020-06-17,"Lord Fairfax",10-19,107,0,0
2020-06-17,"Rappahannock Rapidan",10-19,122,3,0
2020-06-17,Crater,50-59,217,23,2
2020-06-17,Arlington,Missing,10,1,0
2020-06-17,Roanoke,50-59,30,1,0
2020-06-17,Rappahannock,10-19,179,1,0
2020-06-17,Roanoke,10-19,17,0,0
2020-06-17,"Eastern Shore",Missing,15,0,0
2020-06-17,"Mount Rogers",Missing,1,0,0
2020-06-17,"Prince William",60-69,700,151,28
2020-06-17,Alleghany,70-79,30,5,7
2020-06-17,Crater,20-29,192,7,0
2020-06-17,Loudoun,60-69,229,40,4
2020-06-17,Fairfax,0-9,424,15,0
2020-06-17,Roanoke,Missing,3,0,0
2020-06-17,Alexandria,20-29,330,7,1
2020-06-17,Portsmouth,70-79,25,9,4
2020-06-17,Alleghany,30-39,30,2,0
2020-06-17,"Prince William",20-29,1485,47,0
2020-06-17,Southside,70-79,52,9,11
2020-06-17,Piedmont,Missing,1,0,0
2020-06-17,Rappahannock,0-9,96,1,0
2020-06-17,Henrico,30-39,380,13,0
2020-06-17,"Prince William",10-19,606,8,0
2020-06-17,Chickahominy,10-19,29,0,0
2020-06-17,"Lord Fairfax",0-9,52,0,0
2020-06-17,"Central Virginia",Missing,1,0,0
2020-06-17,Fairfax,60-69,1369,281,47
2020-06-17,Hampton,20-29,46,2,0
2020-06-17,"Central Shenandoah",40-49,301,10,0
2020-06-17,Pittsylvania-Danville,0-9,1,0,0
2020-06-17,Crater,30-39,222,3,0
2020-06-17,"Virginia Beach",70-79,65,26,7
2020-06-17,"Virginia Beach",30-39,132,9,1
2020-06-17,Piedmont,0-9,13,0,0
2020-06-17,"Central Shenandoah",30-39,284,6,0
2020-06-17,Hampton,50-59,42,8,1
2020-06-17,Peninsula,70-79,81,38,11
2020-06-17,Arlington,20-29,395,20,0
2020-06-17,"West Piedmont",70-79,20,6,3
2020-06-17,Richmond,20-29,376,10,0
2020-06-17,Roanoke,0-9,7,0,0
2020-06-17,Hampton,30-39,44,3,0
2020-06-17,"Thomas Jefferson",30-39,140,5,0
2020-06-17,"Western Tidewater",40-49,87,5,1
2020-06-17,Richmond,50-59,248,39,1
2020-06-17,"Western Tidewater",50-59,127,12,2
2020-06-17,Crater,Missing,7,0,0
2020-06-17,Arlington,50-59,363,66,6
2020-06-17,Piedmont,70-79,58,17,2
2020-06-17,Alexandria,60-69,185,43,2
2020-06-17,Portsmouth,30-39,86,4,0
2020-06-17,Lenowisco,20-29,6,0,0
2020-06-17,"Central Virginia",30-39,46,2,0
2020-06-17,Norfolk,10-19,41,1,0
2020-06-17,"New River",10-19,7,0,0
2020-06-17,"Central Virginia",20-29,53,2,0
2020-06-17,Rappahannock,50-59,334,41,3
2020-06-17,Rappahannock,60-69,192,42,5
2020-06-17,Piedmont,20-29,143,2,0
2020-06-17,"New River",60-69,19,2,0
2020-06-17,Roanoke,40-49,38,1,0
2020-06-17,"Three Rivers",20-29,101,4,0
2020-06-17,Rappahannock,40-49,405,33,2
2020-06-17,Portsmouth,80+,20,7,3
2020-06-17,"Central Shenandoah",Missing,0,0,0
2020-06-17,"Eastern Shore",70-79,46,15,9
2020-06-17,"Mount Rogers",70-79,55,24,9
2020-06-17,"Cumberland Plateau",70-79,2,0,0
2020-06-17,Piedmont,10-19,22,0,0
2020-06-17,Southside,20-29,31,2,0
2020-06-17,Chesterfield,50-59,355,28,3
2020-06-17,"Rappahannock Rapidan",20-29,262,4,0
2020-06-17,"Cumberland Plateau",60-69,5,1,0
2020-06-17,Roanoke,70-79,10,3,0
2020-06-17,"Central Shenandoah",20-29,329,5,0
2020-06-17,Pittsylvania-Danville,80+,3,2,2
2020-06-17,"Virginia Beach",80+,82,27,18
2020-06-17,"Central Shenandoah",50-59,326,28,1
2020-06-17,Lenowisco,Missing,0,0,0
2020-06-17,Fairfax,30-39,2584,157,4
2020-06-17,Lenowisco,60-69,5,4,2
2020-06-17,Loudoun,30-39,641,18,0
2020-06-17,"West Piedmont",80+,12,6,0
2020-06-17,Roanoke,80+,38,3,10
2020-06-17,Fairfax,40-49,2504,226,8
2020-06-17,"Thomas Jefferson",80+,72,23,14
2020-06-17,Roanoke,20-29,52,1,0
2020-06-17,Henrico,60-69,267,44,26
2020-06-17,"Lord Fairfax",40-49,282,13,1
2020-06-17,"Western Tidewater",Missing,5,0,0
2020-06-17,Chickahominy,60-69,68,16,6
2020-06-17,Chesapeake,20-29,97,3,0
2020-06-17,"Three Rivers",Missing,1,0,0
2020-06-17,Henrico,10-19,117,3,0
2020-06-17,Pittsylvania-Danville,30-39,16,0,0
2020-06-17,Loudoun,20-29,564,6,0
2020-06-17,Crater,60-69,182,33,10
2020-06-17,Loudoun,80+,184,46,61
2020-06-17,Arlington,80+,200,78,63
2020-06-17,"Virginia Beach",10-19,36,0,0
2020-06-17,"Mount Rogers",80+,67,23,13
2020-06-17,"Eastern Shore",80+,49,20,17
2020-06-17,Crater,10-19,42,0,0
2020-06-17,Lenowisco,30-39,4,1,1
2020-06-17,Norfolk,Missing,7,1,0
2020-06-17,Henrico,Missing,32,1,1
