"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-11,Southside,175,29,10
2020-05-11,Chesapeake,340,70,9
2020-05-11,"Thomas Jefferson",351,62,13
2020-05-11,Roanoke,106,7,1
2020-05-11,"Eastern Shore",694,32,12
2020-05-11,"Mount Rogers",182,17,4
2020-05-11,Chickahominy,299,65,23
2020-05-11,"New River",89,12,1
2020-05-11,"Central Virginia",158,13,2
2020-05-11,Piedmont,373,29,4
2020-05-11,"Lord Fairfax",713,62,21
2020-05-11,Crater,295,69,14
2020-05-11,Hampton,146,29,3
2020-05-11,Alexandria,1224,139,30
2020-05-11,Fairfax,6276,961,250
2020-05-11,Richmond,546,92,18
2020-05-11,Arlington,1399,286,60
2020-05-11,"Rappahannock Rapidan",534,43,10
2020-05-11,Rappahannock,782,118,12
2020-05-11,Pittsylvania-Danville,56,21,2
2020-05-11,"Prince William",3554,339,58
2020-05-11,"Cumberland Plateau",29,2,0
2020-05-11,Portsmouth,208,38,8
2020-05-11,"Virginia Beach",505,85,17
2020-05-11,"West Piedmont",59,8,1
2020-05-11,"Three Rivers",327,28,6
2020-05-11,Alleghany,152,22,3
2020-05-11,Lenowisco,41,14,3
2020-05-11,Norfolk,308,50,5
2020-05-11,"Western Tidewater",485,55,24
2020-05-11,Henrico,1083,152,110
2020-05-11,"Central Shenandoah",1070,61,24
2020-05-11,Loudoun,1195,116,30
2020-05-11,Chesterfield,873,66,32
2020-05-11,Peninsula,443,108,30
