"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-05-25,Chesterfield,"Central Region",0,0
2020-05-25,Chickahominy,"Central Region",0,0
2020-05-25,Crater,"Central Region",0,0
2020-05-25,Henrico,"Central Region",0,0
2020-05-25,Piedmont,"Central Region",0,0
2020-05-25,Richmond,"Central Region",0,0
2020-05-25,Southside,"Central Region",0,0
2020-05-25,Chesapeake,"Eastern Region",0,0
2020-05-25,"Eastern Shore","Eastern Region",0,0
2020-05-25,Hampton,"Eastern Region",0,0
2020-05-25,Norfolk,"Eastern Region",0,0
2020-05-25,Peninsula,"Eastern Region",0,0
2020-05-25,Portsmouth,"Eastern Region",0,0
2020-05-25,"Three Rivers","Eastern Region",0,0
2020-05-25,"Virginia Beach","Eastern Region",0,0
2020-05-25,"Western Tidewater","Eastern Region",0,0
2020-05-25,Alexandria,"Northern Region",0,0
2020-05-25,Arlington,"Northern Region",0,0
2020-05-25,Loudoun,"Northern Region",0,0
2020-05-25,"Prince William","Northern Region",0,0
2020-05-25,"Central Shenandoah","Northwest Region",0,0
2020-05-25,"Lord Fairfax","Northwest Region",0,0
2020-05-25,Rappahannock,"Northwest Region",0,0
2020-05-25,"Rappahannock Rapidan","Northwest Region",0,0
2020-05-25,"Thomas Jefferson","Northwest Region",0,0
2020-05-25,Alleghany,"Southwest Region",0,0
2020-05-25,"Central Virginia","Southwest Region",0,0
2020-05-25,"Cumberland Plateau","Southwest Region",0,0
2020-05-25,Lenowisco,"Southwest Region",0,0
2020-05-25,"Mount Rogers","Southwest Region",0,0
2020-05-25,"New River","Southwest Region",0,0
2020-05-25,Pittsylvania-Danville,"Southwest Region",0,0
2020-05-25,Roanoke,"Southwest Region",0,0
2020-05-25,"West Piedmont","Southwest Region",0,0
2020-05-25,Fairfax,"Northern Region",2,0
