"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-10,Southside,162,29,10
2020-05-10,Chesapeake,328,68,9
2020-05-10,"Thomas Jefferson",345,62,13
2020-05-10,Roanoke,93,6,1
2020-05-10,"Eastern Shore",671,32,12
2020-05-10,"Mount Rogers",168,17,4
2020-05-10,Chickahominy,298,65,23
2020-05-10,"New River",88,12,1
2020-05-10,"Central Virginia",156,13,2
2020-05-10,Piedmont,373,29,4
2020-05-10,"Lord Fairfax",704,62,21
2020-05-10,Crater,285,66,14
2020-05-10,Hampton,144,29,3
2020-05-10,Alexandria,1193,139,30
2020-05-10,Fairfax,5968,938,246
2020-05-10,Richmond,530,90,18
2020-05-10,Arlington,1368,260,61
2020-05-10,"Rappahannock Rapidan",511,41,10
2020-05-10,Rappahannock,762,116,12
2020-05-10,Pittsylvania-Danville,55,21,2
2020-05-10,"Prince William",3241,318,52
2020-05-10,"Cumberland Plateau",29,2,0
2020-05-10,Portsmouth,202,38,8
2020-05-10,"Virginia Beach",491,85,17
2020-05-10,"West Piedmont",55,8,1
2020-05-10,"Three Rivers",324,28,6
2020-05-10,Alleghany,133,19,3
2020-05-10,Lenowisco,41,14,3
2020-05-10,Norfolk,304,50,5
2020-05-10,"Western Tidewater",482,55,24
2020-05-10,Henrico,1067,152,109
2020-05-10,"Central Shenandoah",1046,60,24
2020-05-10,Loudoun,1159,115,30
2020-05-10,Chesterfield,871,66,32
2020-05-10,Peninsula,434,106,29
