"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-06-02,Alexandria,"Northern Region",0,0
2020-06-02,Alleghany,"Southwest Region",0,0
2020-06-02,Arlington,"Northern Region",0,0
2020-06-02,"Central Shenandoah","Northwest Region",0,0
2020-06-02,"Central Virginia","Southwest Region",0,0
2020-06-02,Chesapeake,"Eastern Region",0,0
2020-06-02,Chesterfield,"Central Region",0,0
2020-06-02,Chickahominy,"Central Region",0,0
2020-06-02,Crater,"Central Region",0,0
2020-06-02,"Cumberland Plateau","Southwest Region",0,0
2020-06-02,"Eastern Shore","Eastern Region",0,0
2020-06-02,Fairfax,"Northern Region",2,0
2020-06-02,Hampton,"Eastern Region",0,0
2020-06-02,Henrico,"Central Region",0,0
2020-06-02,Lenowisco,"Southwest Region",0,0
2020-06-02,"Lord Fairfax","Northwest Region",0,0
2020-06-02,Loudoun,"Northern Region",0,0
2020-06-02,"Mount Rogers","Southwest Region",0,0
2020-06-02,"New River","Southwest Region",0,0
2020-06-02,Norfolk,"Eastern Region",0,0
2020-06-02,Peninsula,"Eastern Region",0,0
2020-06-02,Piedmont,"Central Region",0,0
2020-06-02,Pittsylvania-Danville,"Southwest Region",0,0
2020-06-02,Portsmouth,"Eastern Region",0,0
2020-06-02,"Prince William","Northern Region",0,0
2020-06-02,Rappahannock,"Northwest Region",0,0
2020-06-02,"Rappahannock Rapidan","Northwest Region",0,0
2020-06-02,Richmond,"Central Region",0,0
2020-06-02,Roanoke,"Southwest Region",0,0
2020-06-02,Southside,"Central Region",0,0
2020-06-02,"Thomas Jefferson","Northwest Region",0,0
2020-06-02,"Three Rivers","Eastern Region",0,0
2020-06-02,"Virginia Beach","Eastern Region",0,0
2020-06-02,"West Piedmont","Southwest Region",0,0
2020-06-02,"Western Tidewater","Eastern Region",0,0
