"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-25,Roanoke,"Black or African American",18,4,2
2020-05-25,Alleghany,"Black or African American",5,1,1
2020-05-25,Richmond,"Not Reported",248,4,0
2020-05-25,"Central Virginia",Other,2,1,0
2020-05-25,Rappahannock,Other,306,41,1
2020-05-25,Roanoke,Other,2,0,0
2020-05-25,Piedmont,"Black or African American",203,27,1
2020-05-25,Chesterfield,Other,151,3,0
2020-05-25,Portsmouth,"Black or African American",127,27,7
2020-05-25,Portsmouth,"Not Reported",70,2,2
2020-05-25,Norfolk,"Not Reported",75,0,0
2020-05-25,"Eastern Shore",White,244,12,12
2020-05-25,"Eastern Shore","Not Reported",118,1,0
2020-05-25,Roanoke,White,75,3,7
2020-05-25,"Three Rivers",Other,46,3,0
2020-05-25,Fairfax,Other,4044,616,71
2020-05-25,Henrico,"Not Reported",290,1,2
2020-05-25,"Lord Fairfax",Other,184,18,6
2020-05-25,Piedmont,Other,13,2,0
2020-05-25,Lenowisco,"Black or African American",0,0,0
2020-05-25,Arlington,White,630,121,46
2020-05-25,Hampton,"Black or African American",100,24,3
2020-05-25,Alexandria,White,626,66,24
2020-05-25,Hampton,"Not Reported",34,0,0
2020-05-25,"Mount Rogers",White,242,17,6
2020-05-25,Alexandria,"Not Reported",513,14,5
2020-05-25,Chickahominy,"Black or African American",72,25,8
2020-05-25,Chesapeake,"Black or African American",152,41,5
2020-05-25,"Western Tidewater","Not Reported",183,2,1
2020-05-25,"Cumberland Plateau","Not Reported",1,0,0
2020-05-25,"Western Tidewater",Other,28,1,2
2020-05-25,Loudoun,"Black or African American",90,10,2
2020-05-25,"Virginia Beach",White,319,50,15
2020-05-25,"Prince William",Other,1201,158,11
2020-05-25,Arlington,"Not Reported",749,80,13
2020-05-25,"West Piedmont","Black or African American",35,7,2
2020-05-25,Peninsula,Other,31,7,1
2020-05-25,Norfolk,Other,33,4,0
2020-05-25,"Lord Fairfax","Black or African American",38,3,1
2020-05-25,"Mount Rogers","Not Reported",19,1,0
2020-05-25,"Central Virginia","Black or African American",20,2,1
2020-05-25,"West Piedmont",Other,16,1,1
2020-05-25,Portsmouth,White,56,9,2
2020-05-25,"Thomas Jefferson","Not Reported",25,0,0
2020-05-25,"Three Rivers","Not Reported",120,4,3
2020-05-25,"Virginia Beach","Black or African American",142,17,3
2020-05-25,"Prince William","Black or African American",411,77,23
2020-05-25,Loudoun,"Not Reported",913,4,6
2020-05-25,Loudoun,White,599,85,37
2020-05-25,Peninsula,"Not Reported",117,2,0
