"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-23,"West Piedmont",20-29,50,1,0
2020-06-23,Arlington,70-79,171,72,32
2020-06-23,Chickahominy,50-59,111,22,2
2020-06-23,Alleghany,40-49,51,1,0
2020-06-23,"Prince William",50-59,1363,177,14
2020-06-23,"Mount Rogers",0-9,32,1,0
2020-06-23,"Eastern Shore",0-9,17,1,0
2020-06-23,"Thomas Jefferson",60-69,73,17,2
2020-06-23,Pittsylvania-Danville,70-79,20,9,0
2020-06-23,Chesterfield,80+,130,26,39
2020-06-23,Richmond,0-9,81,4,0
2020-06-23,Chesapeake,80+,43,14,9
2020-06-23,Peninsula,40-49,115,7,1
2020-06-23,Henrico,0-9,99,1,0
2020-06-23,Lenowisco,80+,0,0,0
2020-06-23,Piedmont,60-69,131,19,2
2020-06-23,"West Piedmont",0-9,9,0,0
2020-06-23,"Rappahannock Rapidan",70-79,37,12,7
2020-06-23,"Central Shenandoah",70-79,116,38,12
2020-06-23,Chesapeake,30-39,146,6,0
2020-06-23,Chickahominy,0-9,12,0,0
2020-06-23,"Prince William",0-9,299,7,0
2020-06-23,"Eastern Shore",50-59,276,18,5
2020-06-23,"Mount Rogers",50-59,81,5,1
2020-06-23,Loudoun,10-19,255,0,0
2020-06-23,Southside,80+,78,12,12
2020-06-23,"Central Virginia",80+,15,2,0
2020-06-23,Rappahannock,Missing,17,0,0
2020-06-23,"Rappahannock Rapidan",30-39,290,15,1
2020-06-23,"New River",50-59,29,4,0
2020-06-23,Richmond,80+,39,16,10
2020-06-23,"Mount Rogers",20-29,98,0,0
2020-06-23,"Eastern Shore",20-29,197,6,0
2020-06-23,Hampton,10-19,14,0,0
2020-06-23,Portsmouth,0-9,9,1,0
2020-06-23,Crater,70-79,124,27,6
2020-06-23,Chesterfield,40-49,501,15,2
2020-06-23,Alexandria,Missing,11,0,0
2020-06-23,Southside,30-39,42,0,0
2020-06-23,"Prince William",Missing,133,2,0
2020-06-23,Hampton,60-69,36,11,2
2020-06-23,Fairfax,20-29,2109,68,2
2020-06-23,"Thomas Jefferson",0-9,33,1,0
2020-06-23,Lenowisco,40-49,7,2,0
2020-06-23,"Central Virginia",10-19,21,1,0
2020-06-23,Lenowisco,70-79,5,4,1
2020-06-23,"Virginia Beach",0-9,20,0,0
2020-06-23,Lenowisco,50-59,14,5,0
2020-06-23,Chesapeake,70-79,57,23,2
2020-06-23,"Western Tidewater",80+,128,22,21
2020-06-23,"Thomas Jefferson",10-19,48,1,0
