Report Date,Age Group,Number of Hospitalizations,Number of Deaths,Health District Name,Number of Cases
2020-04-22,50-59,1,0,Roanoke,7
2020-04-22,70-79,6,0,Pittsylvania-Danville,9
2020-04-22,60-69,13,0,Loudoun,48
2020-04-22,70-79,2,0,Lenowisco,3
2020-04-22,30-39,1,0,Three Rivers,19
2020-04-22,10-19,0,0,Central Virginia,2
2020-04-22,80+,6,2,Rappahannock Rapidan,8
2020-04-22,40-49,3,0,Portsmouth,13
2020-04-22,70-79,0,0,Cumberland Plateau,1
2020-04-22,60-69,8,2,Western Tidewater,41
2020-04-22,10-19,0,0,Rappahannock,4
2020-04-22,30-39,1,0,Central Shenandoah,71
2020-04-22,30-39,3,0,Henrico,56
2020-04-22,30-39,0,0,Roanoke,2
2020-04-22,30-39,4,0,Lord Fairfax,37
2020-04-22,10-19,0,0,Lenowisco,1
2020-04-22,0-9,0,0,Central Shenandoah,2
2020-04-22,60-69,2,0,New River,12
2020-04-22,60-69,2,0,Rappahannock Rapidan,13
2020-04-22,60-69,23,2,Peninsula,77
2020-04-22,80+,1,0,Crater,4
2020-04-22,80+,2,0,Eastern Shore,2
2020-04-22,50-59,1,0,Mount Rogers,9
2020-04-22,0-9,0,0,Lenowisco,2
2020-04-22,60-69,8,1,Hampton,19
2020-04-22,10-19,0,0,New River,3
2020-04-22,40-49,0,0,Cumberland Plateau,4
2020-04-22,30-39,5,0,Rappahannock Rapidan,38
2020-04-22,40-49,0,0,Roanoke,6
2020-04-22,40-49,0,0,New River,7
2020-04-22,70-79,8,0,Chesapeake,15
2020-04-22,50-59,1,0,Three Rivers,15
2020-04-22,30-39,1,1,Lenowisco,3
2020-04-22,40-49,4,0,Crater,22
2020-04-22,80+,11,3,Virginia Beach,35
2020-04-22,50-59,3,0,Rappahannock Rapidan,23
2020-04-22,60-69,10,0,Alexandria,51
2020-04-22,40-49,1,0,Rappahannock Rapidan,37
2020-04-22,40-49,3,0,Pittsylvania-Danville,6
2020-04-22,60-69,1,0,Mount Rogers,7
2020-04-22,20-29,7,0,Arlington,102
2020-04-22,80+,15,7,Thomas Jefferson,30
2020-04-22,30-39,1,0,Chesterfield,62
2020-04-22,40-49,2,1,Three Rivers,31
2020-04-22,30-39,1,0,Chesapeake,27
2020-04-22,30-39,15,1,Prince William,219
2020-04-22,30-39,3,0,Virginia Beach,46
