"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-12,Confirmed,10,4,1
2020-05-12,Probable,1,0,0
2020-05-11,Confirmed,65,14,14
2020-05-11,Probable,4,0,0
2020-05-10,Confirmed,126,28,18
2020-05-10,Probable,3,0,0
2020-05-09,Confirmed,233,33,10
2020-05-09,Probable,2,0,0
2020-05-08,Confirmed,537,40,20
2020-05-08,Probable,7,0,0
2020-05-07,Confirmed,575,42,23
2020-05-07,Probable,6,0,0
2020-05-06,Confirmed,594,54,18
2020-05-06,Probable,23,0,1
2020-05-05,Confirmed,663,53,31
2020-05-05,Probable,19,0,1
2020-05-04,Confirmed,758,67,18
2020-05-04,Probable,30,0,0
2020-05-03,Confirmed,429,65,16
2020-05-03,Probable,18,0,1
2020-05-02,Confirmed,507,53,28
2020-05-02,Probable,21,2,1
2020-05-01,Confirmed,824,71,17
2020-05-01,Probable,38,0,0
2020-04-30,Confirmed,714,67,31
2020-04-30,Probable,47,0,0
2020-04-29,Confirmed,738,64,20
2020-04-29,Probable,30,1,2
2020-04-28,Confirmed,728,71,28
2020-04-28,Probable,36,1,0
2020-04-27,Confirmed,789,74,20
2020-04-27,Probable,32,2,0
2020-04-26,Confirmed,569,53,25
2020-04-26,Probable,25,0,3
2020-04-25,Confirmed,558,51,20
2020-04-25,Probable,42,1,3
2020-04-24,Confirmed,795,72,24
2020-04-24,Probable,45,0,1
2020-04-23,Confirmed,700,59,18
2020-04-23,Probable,37,0,2
2020-04-22,Confirmed,693,60,25
2020-04-22,Probable,42,0,0
2020-04-21,Confirmed,637,89,27
2020-04-21,Probable,28,2,2
2020-04-20,Confirmed,785,78,16
2020-04-20,Probable,59,1,2
2020-04-19,Confirmed,426,55,33
2020-04-19,Probable,30,1,0
2020-04-18,Confirmed,402,60,19
2020-04-18,Probable,23,1,0
2020-04-17,Confirmed,629,57,28
2020-04-17,Probable,39,0,1
2020-04-16,Confirmed,572,69,29
2020-04-16,Probable,20,0,0
2020-04-15,Confirmed,461,73,22
2020-04-15,Probable,22,0,0
2020-04-14,Confirmed,553,58,23
2020-04-14,Probable,31,0,1
2020-04-13,Confirmed,578,86,25
2020-04-13,Probable,44,2,2
2020-04-12,Confirmed,376,65,20
2020-04-12,Probable,33,0,1
2020-04-11,Confirmed,332,50,14
2020-04-11,Probable,30,0,0
2020-04-10,Confirmed,512,61,21
2020-04-10,Probable,34,0,0
2020-04-09,Confirmed,398,73,12
2020-04-09,Probable,21,0,0
2020-04-08,Confirmed,423,56,11
2020-04-08,Probable,32,0,1
2020-04-07,Confirmed,398,59,14
2020-04-07,Probable,17,0,0
2020-04-06,Confirmed,450,81,16
2020-04-06,Probable,35,0,0
2020-04-05,Confirmed,279,58,10
2020-04-05,Probable,26,0,0
2020-04-04,Confirmed,294,58,8
2020-04-04,Probable,15,0,0
2020-04-03,Confirmed,326,61,11
2020-04-03,Probable,16,1,0
2020-04-02,Confirmed,309,55,9
2020-04-02,Probable,17,0,0
2020-04-01,Confirmed,306,70,10
2020-04-01,Probable,27,0,1
2020-03-31,Confirmed,283,48,10
2020-03-31,Probable,12,0,1
2020-03-30,Confirmed,376,66,6
2020-03-30,Probable,23,0,0
2020-03-29,Confirmed,186,65,7
2020-03-29,Probable,9,0,0
2020-03-28,Confirmed,220,63,8
2020-03-28,Probable,7,0,0
2020-03-27,Confirmed,242,57,9
2020-03-27,Probable,4,0,0
2020-03-26,Confirmed,253,49,4
2020-03-26,Probable,11,0,1
2020-03-25,Confirmed,244,54,4
2020-03-25,Probable,7,0,0
2020-03-24,Confirmed,228,52,3
2020-03-24,Probable,14,0,0
2020-03-23,Confirmed,246,41,1
2020-03-23,Probable,16,0,0
2020-03-22,Confirmed,163,23,4
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,173,28,4
2020-03-21,Probable,8,0,0
2020-03-20,Confirmed,202,19,1
2020-03-20,Probable,8,0,0
2020-03-19,Confirmed,180,17,0
2020-03-19,Probable,8,0,0
2020-03-18,Confirmed,202,15,0
2020-03-18,Probable,7,0,0
2020-03-17,Confirmed,177,13,0
2020-03-17,Probable,10,0,0
2020-03-16,Confirmed,186,11,0
2020-03-16,Probable,6,0,0
2020-03-15,Confirmed,113,9,1
2020-03-15,Probable,6,0,0
2020-03-14,Confirmed,133,6,1
2020-03-14,Probable,6,0,0
2020-03-13,Confirmed,107,6,0
2020-03-13,Probable,4,0,0
2020-03-12,Confirmed,97,5,0
2020-03-12,Probable,3,0,0
2020-03-11,Confirmed,73,4,0
2020-03-11,Probable,4,0,0
2020-03-10,Confirmed,60,2,0
2020-03-10,Probable,2,0,0
2020-03-09,Confirmed,47,3,0
2020-03-09,Probable,4,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,22,1,0
2020-03-07,Probable,1,0,0
2020-03-06,Confirmed,25,1,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,20,0,0
2020-03-03,Confirmed,13,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,14,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,12,0,0
2020-03-01,Probable,2,0,0
2020-02-29,Confirmed,4,0,0
2020-02-29,Probable,1,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,4,1,0
2020-02-26,Probable,1,0,0
2020-02-25,Probable,1,0,0
2020-02-24,Confirmed,5,0,0
2020-02-23,Confirmed,2,0,0
2020-02-23,Probable,1,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,2,1,0
2020-02-17,Probable,1,0,0
2020-02-16,Confirmed,1,0,0
