"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-20,Confirmed,41,3,1
2020-05-20,Probable,2,0,0
2020-05-19,Confirmed,59,12,7
2020-05-19,Probable,4,0,0
2020-05-18,Confirmed,136,19,9
2020-05-18,Probable,5,0,0
2020-05-17,Confirmed,194,34,10
2020-05-17,Probable,10,0,0
2020-05-16,Confirmed,355,23,18
2020-05-16,Probable,12,0,0
2020-05-15,Confirmed,596,29,9
2020-05-15,Probable,20,0,0
2020-05-14,Confirmed,647,42,11
2020-05-14,Probable,11,0,1
2020-05-13,Confirmed,765,36,8
2020-05-13,Probable,18,0,1
2020-05-12,Confirmed,875,49,17
2020-05-12,Probable,21,1,0
2020-05-11,Confirmed,757,55,29
2020-05-11,Probable,21,1,0
2020-05-10,Confirmed,418,58,22
2020-05-10,Probable,15,0,0
2020-05-09,Confirmed,499,59,16
2020-05-09,Probable,21,0,0
2020-05-08,Confirmed,803,62,28
2020-05-08,Probable,24,0,0
2020-05-07,Confirmed,708,60,28
2020-05-07,Probable,21,0,0
2020-05-06,Confirmed,786,71,20
2020-05-06,Probable,41,0,1
2020-05-05,Confirmed,820,72,33
2020-05-05,Probable,30,0,1
2020-05-04,Confirmed,929,90,20
2020-05-04,Probable,43,1,0
2020-05-03,Confirmed,516,85,19
2020-05-03,Probable,24,0,2
2020-05-02,Confirmed,619,63,28
2020-05-02,Probable,26,2,1
2020-05-01,Confirmed,1014,86,22
2020-05-01,Probable,58,0,0
2020-04-30,Confirmed,829,73,40
2020-04-30,Probable,53,0,0
2020-04-29,Confirmed,803,66,21
2020-04-29,Probable,41,2,2
2020-04-28,Confirmed,788,76,30
2020-04-28,Probable,40,1,0
2020-04-27,Confirmed,860,83,21
2020-04-27,Probable,39,2,0
2020-04-26,Confirmed,603,62,25
2020-04-26,Probable,27,0,3
2020-04-25,Confirmed,579,57,21
2020-04-25,Probable,43,1,3
2020-04-24,Confirmed,817,79,27
2020-04-24,Probable,42,0,2
2020-04-23,Confirmed,709,63,19
2020-04-23,Probable,43,0,2
2020-04-22,Confirmed,698,67,26
2020-04-22,Probable,43,0,0
2020-04-21,Confirmed,642,98,27
2020-04-21,Probable,30,2,2
2020-04-20,Confirmed,814,82,16
2020-04-20,Probable,60,1,3
2020-04-19,Confirmed,447,60,34
2020-04-19,Probable,30,1,0
2020-04-18,Confirmed,405,63,22
2020-04-18,Probable,23,1,0
2020-04-17,Confirmed,653,63,28
2020-04-17,Probable,41,1,2
2020-04-16,Confirmed,591,71,29
