"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-24,Piedmont,White,156,8,3
2020-05-24,"Cumberland Plateau",Other,0,0,0
2020-05-24,Pittsylvania-Danville,White,39,15,3
2020-05-24,Roanoke,"Black or African American",18,4,2
2020-05-24,Alleghany,"Black or African American",5,1,1
2020-05-24,Richmond,"Not Reported",237,3,0
2020-05-24,"Central Virginia",Other,2,1,0
2020-05-24,Rappahannock,Other,283,40,1
2020-05-24,Roanoke,Other,2,0,0
2020-05-24,Piedmont,"Black or African American",203,26,1
2020-05-24,Chesterfield,Other,149,2,0
2020-05-24,Portsmouth,"Black or African American",124,27,7
2020-05-24,Portsmouth,"Not Reported",64,2,2
2020-05-24,Norfolk,"Not Reported",54,0,0
2020-05-24,"Eastern Shore",White,243,12,12
2020-05-24,"Eastern Shore","Not Reported",118,1,0
2020-05-24,Roanoke,White,75,3,7
2020-05-24,"Three Rivers",Other,44,3,0
2020-05-24,Fairfax,Other,3821,601,70
2020-05-24,Henrico,"Not Reported",271,1,2
2020-05-24,"Lord Fairfax",Other,175,18,6
2020-05-24,Piedmont,Other,13,2,0
2020-05-24,Lenowisco,"Black or African American",0,0,0
2020-05-24,Arlington,White,596,120,44
2020-05-24,Hampton,"Black or African American",99,24,3
2020-05-24,Alexandria,White,624,66,24
2020-05-24,Hampton,"Not Reported",29,0,0
2020-05-24,"Mount Rogers",White,229,17,6
2020-05-24,Alexandria,"Not Reported",500,14,5
2020-05-24,Chickahominy,"Black or African American",67,25,7
2020-05-24,Hampton,Other,7,2,0
2020-05-24,Alleghany,White,121,20,13
2020-05-24,"Prince William",Other,1141,157,10
2020-05-24,Arlington,"Not Reported",767,78,14
2020-05-24,"West Piedmont","Black or African American",34,7,1
2020-05-24,Peninsula,Other,31,7,1
2020-05-24,Norfolk,Other,33,4,0
2020-05-24,"Lord Fairfax","Black or African American",37,3,1
2020-05-24,"Mount Rogers","Not Reported",18,1,0
2020-05-24,"Central Virginia","Black or African American",20,2,1
2020-05-24,"West Piedmont",Other,16,1,1
2020-05-24,Portsmouth,White,56,9,2
2020-05-24,"Thomas Jefferson","Not Reported",24,0,0
2020-05-24,"Three Rivers","Not Reported",117,4,3
2020-05-24,"Virginia Beach","Black or African American",140,17,3
2020-05-24,"Prince William","Black or African American",399,76,20
2020-05-24,Loudoun,"Not Reported",763,4,6
2020-05-24,Loudoun,White,581,85,37
2020-05-24,Peninsula,"Not Reported",108,2,0
2020-05-24,Pittsylvania-Danville,"Black or African American",28,7,0
2020-05-24,Henrico,White,480,71,63
2020-05-24,Richmond,White,174,17,2
2020-05-24,Southside,"Black or African American",43,11,2
2020-05-24,Chickahominy,White,180,44,18
2020-05-24,"Thomas Jefferson",Other,50,5,2
2020-05-24,"Virginia Beach",Other,67,20,2
2020-05-24,"Central Shenandoah","Black or African American",64,3,2
2020-05-24,Chesterfield,White,345,35,21
2020-05-24,"Central Virginia",White,70,9,3
2020-05-24,Rappahannock,White,363,50,11
2020-05-24,"New River",White,59,11,1
2020-05-24,"Mount Rogers",Other,26,2,0
2020-05-24,Crater,White,92,17,5
2020-05-24,Alleghany,"Not Reported",46,3,0
2020-05-24,Arlington,Other,381,116,18
2020-05-24,Chesapeake,"Black or African American",151,41,5
2020-05-24,"Western Tidewater","Not Reported",180,2,1
2020-05-24,"Cumberland Plateau","Not Reported",1,0,0
2020-05-24,"Western Tidewater",Other,27,1,2
2020-05-24,Loudoun,"Black or African American",85,10,2
2020-05-24,"Virginia Beach",White,312,50,14
2020-05-24,Chickahominy,Other,14,5,0
2020-05-24,"New River","Black or African American",5,1,0
2020-05-24,"Virginia Beach","Not Reported",84,3,0
2020-05-24,"Rappahannock Rapidan",Other,57,12,0
2020-05-24,Piedmont,"Not Reported",271,7,1
2020-05-24,Portsmouth,Other,18,2,0
2020-05-24,Pittsylvania-Danville,"Not Reported",10,3,0
2020-05-24,"West Piedmont","Not Reported",20,1,0
2020-05-24,Norfolk,White,110,20,2
2020-05-24,Hampton,White,39,4,0
2020-05-24,"Western Tidewater","Black or African American",237,36,15
2020-05-24,"Prince William","Not Reported",2881,37,4
2020-05-24,Fairfax,White,2423,382,150
2020-05-24,Lenowisco,Other,1,0,0
2020-05-24,"Rappahannock Rapidan","Not Reported",493,18,2
2020-05-24,"Three Rivers","Black or African American",151,10,0
2020-05-24,Henrico,"Black or African American",519,92,50
2020-05-24,Lenowisco,"Not Reported",8,1,1
2020-05-24,Southside,"Not Reported",111,13,8
2020-05-24,Chesapeake,White,208,34,6
2020-05-24,"New River",Other,1,1,0
2020-05-24,Norfolk,"Black or African American",202,37,4
2020-05-24,"Central Shenandoah",Other,221,13,1
2020-05-24,Southside,Other,33,1,5
2020-05-24,Pittsylvania-Danville,Other,1,0,0
2020-05-24,"Cumberland Plateau",White,19,2,0
2020-05-24,"Rappahannock Rapidan","Black or African American",53,10,1
2020-05-24,Fairfax,"Not Reported",2265,99,92
2020-05-24,Chesapeake,"Not Reported",34,2,0
2020-05-24,"Thomas Jefferson",White,234,27,13
2020-05-24,Richmond,Other,267,37,1
2020-05-24,Peninsula,"Black or African American",139,31,9
2020-05-24,Henrico,Other,176,12,3
2020-05-24,"Cumberland Plateau","Black or African American",12,0,0
2020-05-24,Loudoun,Other,392,51,7
2020-05-24,Crater,Other,17,2,1
2020-05-24,Arlington,"Black or African American",129,50,22
2020-05-24,Alexandria,"Black or African American",249,50,8
2020-05-24,Richmond,"Black or African American",334,73,16
2020-05-24,"Lord Fairfax","Not Reported",146,3,5
2020-05-24,Fairfax,"Black or African American",579,128,23
2020-05-24,"Thomas Jefferson","Black or African American",108,36,4
2020-05-24,"West Piedmont",White,67,6,2
2020-05-24,Rappahannock,"Not Reported",431,23,0
2020-05-24,"Central Shenandoah","Not Reported",204,6,1
2020-05-24,Peninsula,White,273,73,22
2020-05-24,"Rappahannock Rapidan",White,397,32,8
2020-05-24,"Prince William",White,1092,231,61
2020-05-24,"New River","Not Reported",29,0,0
2020-05-24,Chesterfield,"Not Reported",582,3,9
2020-05-24,Alleghany,Other,2,0,0
2020-05-24,Lenowisco,White,33,14,3
