Report Date,FIPS,Locality,Health District,Total Cases
2020-04-11,51001,Accomack,Eastern Shore,15
2020-04-11,51005,Alleghany,Alleghany,4
2020-04-11,51007,Amelia,Piedmont,9
2020-04-11,51017,Bath,Central Shenandoah,0
2020-04-11,51023,Botetourt,Alleghany,22
2020-04-11,51041,Chesterfield,Chesterfield,203
2020-04-11,51045,Craig,Alleghany,2
2020-04-11,51051,Dickenson,Cumberland Plateau,0
2020-04-11,51059,Fairfax,Fairfax,946
2020-04-11,51061,Fauquier,Rappahannock Rapidan,25
2020-04-11,51063,Floyd,New River,1
2020-04-11,51065,Fluvanna,Thomas Jefferson,19
2020-04-11,51067,Franklin County,West Piedmont,14
2020-04-11,51069,Frederick,Lord Fairfax,63
2020-04-11,51071,Giles,New River,2
2020-04-11,51073,Gloucester,Three Rivers,20
2020-04-11,51075,Goochland,Chickahominy,26
2020-04-11,51089,Henry,West Piedmont,8
2020-04-11,51095,James City,Peninsula,126
2020-04-11,51099,King George,Rappahannock,13
2020-04-11,51101,King William,Three Rivers,2
2020-04-11,51103,Lancaster,Three Rivers,1
2020-04-11,51107,Loudoun,Loudoun,296
2020-04-11,51117,Mecklenburg,Southside,53
2020-04-11,51121,Montgomery,New River,31
2020-04-11,51125,Nelson,Thomas Jefferson,4
2020-04-11,51135,Nottoway,Piedmont,4
2020-04-11,51137,Orange,Rappahannock Rapidan,13
2020-04-11,51139,Page,Lord Fairfax,6
2020-04-11,51147,Prince Edward,Piedmont,8
2020-04-11,51157,Rappahannock,Rappahannock Rapidan,1
2020-04-11,51159,Richmond County,Three Rivers,5
2020-04-11,51161,Roanoke County,Alleghany,13
2020-04-11,51169,Scott,Lenowisco,3
2020-04-11,51171,Shenandoah,Lord Fairfax,16
2020-04-11,51173,Smyth,Mount Rogers,9
2020-04-11,51175,Southampton,Western Tidewater,5
2020-04-11,51177,Spotsylvania,Rappahannock,47
2020-04-11,51179,Stafford,Rappahannock,67
2020-04-11,51181,Surry,Crater,3
2020-04-11,51183,Sussex,Crater,8
2020-04-11,51191,Washington,Mount Rogers,24
2020-04-11,51195,Wise,Lenowisco,8
2020-04-11,51530,Buena Vista City,Central Shenandoah,4
2020-04-11,51540,Charlottesville,Thomas Jefferson,31
2020-04-11,51570,Colonial Heights,Chesterfield,6
2020-04-11,51580,Covington,Alleghany,1
2020-04-11,51595,Emporia,Crater,7
2020-04-11,51610,Falls Church,Fairfax,0
2020-04-11,51630,Fredericksburg,Rappahannock,11
2020-04-11,51640,Galax,Mount Rogers,1
2020-04-11,51650,Hampton,Hampton,64
2020-04-11,51670,Hopewell,Crater,14
2020-04-11,51678,Lexington,Central Shenandoah,3
2020-04-11,51683,Manassas City,Prince William,34
2020-04-11,51720,Norton,Lenowisco,0
2020-04-11,51730,Petersburg,Crater,17
2020-04-11,51735,Poquoson,Peninsula,6
2020-04-11,51740,Portsmouth,Portsmouth,49
2020-04-11,51750,Radford,New River,1
2020-04-11,51760,Richmond City,Richmond,148
2020-04-11,51770,Roanoke City,Roanoke,17
2020-04-11,51790,Staunton,Central Shenandoah,1
2020-04-11,51800,Suffolk,Western Tidewater,40
2020-04-11,51810,Virginia Beach,Virginia Beach,236
2020-04-11,51003,Albemarle,Thomas Jefferson,46
2020-04-11,51009,Amherst,Central Virginia,10
2020-04-11,51011,Appomattox,Central Virginia,7
2020-04-11,51013,Arlington,Arlington,349
2020-04-11,51015,Augusta,Central Shenandoah,17
2020-04-11,51019,Bedford,Central Virginia,15
2020-04-11,51021,Bland,Mount Rogers,0
2020-04-11,51025,Brunswick,Southside,3
2020-04-11,51027,Buchanan,Cumberland Plateau,2
2020-04-11,51029,Buckingham,Piedmont,14
2020-04-11,51031,Campbell,Central Virginia,9
2020-04-11,51033,Caroline,Rappahannock,6
2020-04-11,51035,Carroll,Mount Rogers,3
2020-04-11,51036,Charles City,Chickahominy,8
2020-04-11,51037,Charlotte,Piedmont,2
2020-04-11,51043,Clarke,Lord Fairfax,3
2020-04-11,51047,Culpeper,Rappahannock Rapidan,17
2020-04-11,51049,Cumberland,Piedmont,8
2020-04-11,51053,Dinwiddie,Crater,6
2020-04-11,51057,Essex,Three Rivers,0
2020-04-11,51077,Grayson,Mount Rogers,0
2020-04-11,51079,Greene,Thomas Jefferson,4
2020-04-11,51081,Greensville,Crater,8
2020-04-11,51083,Halifax,Southside,7
2020-04-11,51085,Hanover,Chickahominy,38
2020-04-11,51087,Henrico,Henrico,368
2020-04-11,51091,Highland,Central Shenandoah,0
2020-04-11,51093,Isle of Wight,Western Tidewater,28
2020-04-11,51097,King and Queen,Three Rivers,2
2020-04-11,51105,Lee,Lenowisco,6
2020-04-11,51109,Louisa,Thomas Jefferson,25
2020-04-11,51111,Lunenburg,Piedmont,3
2020-04-11,51113,Madison,Rappahannock Rapidan,6
2020-04-11,51115,Mathews,Three Rivers,2
2020-04-11,51119,Middlesex,Three Rivers,3
2020-04-11,51127,New Kent,Chickahominy,12
2020-04-11,51131,Northampton,Eastern Shore,4
2020-04-11,51133,Northumberland,Three Rivers,4
2020-04-11,51141,Patrick,West Piedmont,0
2020-04-11,51143,Pittsylvania,Pittsylvania-Danville,4
2020-04-11,51145,Powhatan,Chesterfield,5
2020-04-11,51149,Prince George,Crater,26
2020-04-11,51153,Prince William,Prince William,390
2020-04-11,51155,Pulaski,New River,4
2020-04-11,51163,Rockbridge,Central Shenandoah,3
2020-04-11,51165,Rockingham,Central Shenandoah,44
2020-04-11,51167,Russell,Cumberland Plateau,1
2020-04-11,51185,Tazewell,Cumberland Plateau,4
2020-04-11,51187,Warren,Lord Fairfax,15
2020-04-11,51193,Westmoreland,Three Rivers,8
2020-04-11,51197,Wythe,Mount Rogers,7
2020-04-11,51199,York,Peninsula,27
2020-04-11,51510,Alexandria,Alexandria,188
2020-04-11,51520,Bristol,Mount Rogers,1
2020-04-11,51550,Chesapeake,Chesapeake,115
2020-04-11,51590,Danville,Pittsylvania-Danville,20
2020-04-11,51600,Fairfax City,Fairfax,1
2020-04-11,51620,Franklin City,Western Tidewater,6
2020-04-11,51660,Harrisonburg,Central Shenandoah,79
2020-04-11,51680,Lynchburg,Central Virginia,31
2020-04-11,51685,Manassas Park,Prince William,10
2020-04-11,51690,Martinsville,West Piedmont,0
2020-04-11,51700,Newport News,Peninsula,75
2020-04-11,51710,Norfolk,Norfolk,90
2020-04-11,51775,Salem,Alleghany,1
2020-04-11,51820,Waynesboro,Central Shenandoah,5
2020-04-11,51830,Williamsburg,Peninsula,17
2020-04-11,51840,Winchester,Lord Fairfax,19
