"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-22,Central,Confirmed,3,0,0
2020-06-22,Eastern,Confirmed,2,0,0
2020-06-22,Northern,Confirmed,2,0,0
2020-06-22,Northwest,Confirmed,5,0,0
2020-06-22,Northwest,Probable,1,0,0
2020-06-22,Southwest,Probable,1,0,0
2020-06-21,Central,Confirmed,2,0,0
2020-06-21,Central,Probable,1,0,0
2020-06-21,Eastern,Confirmed,5,2,0
2020-06-21,Northern,Confirmed,2,0,0
2020-06-21,Northern,Probable,2,0,0
2020-06-21,Northwest,Confirmed,8,4,3
2020-06-21,Southwest,Confirmed,1,1,0
2020-06-20,Central,Confirmed,7,2,0
2020-06-20,Eastern,Confirmed,21,2,0
2020-06-20,Eastern,Probable,1,0,0
2020-06-20,Northern,Confirmed,12,1,0
2020-06-20,Northwest,Confirmed,19,3,2
2020-06-20,Northwest,Probable,4,0,0
2020-06-20,Southwest,Confirmed,5,0,0
2020-06-19,Central,Confirmed,19,0,1
2020-06-19,Eastern,Confirmed,31,5,1
2020-06-19,Eastern,Probable,2,0,0
2020-06-19,Northern,Confirmed,49,7,1
2020-06-19,Northern,Probable,1,0,0
2020-06-19,Northwest,Confirmed,31,3,1
2020-06-19,Northwest,Probable,2,0,0
2020-06-19,Southwest,Confirmed,10,1,0
2020-06-18,Central,Confirmed,81,0,1
2020-06-18,Eastern,Confirmed,65,3,0
2020-06-18,Eastern,Probable,1,0,0
2020-06-18,Northern,Confirmed,65,4,1
2020-06-18,Northern,Probable,1,0,0
2020-06-18,Northwest,Confirmed,53,2,0
2020-06-18,Northwest,Probable,1,0,0
2020-06-18,Southwest,Confirmed,26,2,1
2020-06-18,Southwest,Probable,1,0,0
2020-06-17,Central,Confirmed,88,1,1
2020-06-17,Eastern,Confirmed,45,3,3
2020-06-17,Northern,Confirmed,87,2,3
2020-06-17,Northern,Probable,1,0,0
2020-06-17,Northwest,Confirmed,50,0,1
2020-06-17,Northwest,Probable,6,0,0
2020-06-17,Southwest,Confirmed,60,1,0
2020-06-16,Central,Confirmed,96,0,0
2020-06-16,Eastern,Confirmed,58,2,0
2020-06-16,Eastern,Probable,1,0,0
2020-06-16,Northern,Confirmed,111,4,0
2020-06-16,Northern,Probable,4,0,0
2020-06-16,Northwest,Confirmed,44,1,1
2020-06-16,Northwest,Probable,4,0,0
2020-06-16,Southwest,Confirmed,33,6,0
2020-06-15,Central,Confirmed,118,1,0
2020-06-15,Central,Probable,3,0,0
2020-06-15,Eastern,Confirmed,75,5,1
2020-06-15,Eastern,Probable,3,0,0
2020-06-15,Northern,Confirmed,165,6,4
2020-06-15,Northern,Probable,1,0,0
2020-06-15,Northwest,Confirmed,59,1,0
2020-06-15,Northwest,Probable,5,0,0
2020-06-15,Southwest,Confirmed,40,1,0
2020-06-14,Central,Confirmed,46,3,3
2020-06-14,Eastern,Confirmed,29,1,0
2020-06-14,Northern,Confirmed,81,9,0
2020-06-14,Northern,Probable,1,0,0
2020-06-14,Northwest,Confirmed,35,6,2
2020-06-14,Northwest,Probable,2,0,0
2020-06-14,Southwest,Confirmed,30,1,0
2020-06-13,Central,Confirmed,76,3,1
2020-06-13,Eastern,Confirmed,43,3,1
2020-06-13,Northern,Confirmed,66,6,2
2020-06-13,Northern,Probable,2,0,0
2020-06-13,Northwest,Confirmed,41,4,2
2020-06-13,Northwest,Probable,8,0,0
2020-06-13,Southwest,Confirmed,30,1,0
2020-06-13,Southwest,Probable,2,0,0
2020-06-12,Central,Confirmed,108,11,1
2020-06-12,Eastern,Confirmed,54,7,0
2020-06-12,Northern,Confirmed,150,14,1
2020-06-12,Northern,Probable,2,0,0
2020-06-12,Northwest,Confirmed,62,3,1
2020-06-12,Northwest,Probable,6,0,0
2020-06-12,Southwest,Confirmed,38,0,0
2020-06-12,Southwest,Probable,1,0,0
2020-06-11,Central,Confirmed,108,6,3
2020-06-11,Eastern,Confirmed,48,2,1
2020-06-11,Eastern,Probable,2,0,0
2020-06-11,Northern,Confirmed,133,9,4
2020-06-11,Northern,Probable,1,0,0
2020-06-11,Northwest,Confirmed,56,3,1
2020-06-11,Northwest,Probable,2,0,0
2020-06-11,Southwest,Confirmed,31,2,0
2020-06-11,Southwest,Probable,1,0,0
2020-06-10,Central,Confirmed,170,7,2
2020-06-10,Eastern,Confirmed,72,2,0
2020-06-10,Eastern,Probable,2,0,0
2020-06-10,Northern,Confirmed,180,9,2
2020-06-10,Northern,Probable,2,0,0
2020-06-10,Northwest,Confirmed,59,10,3
2020-06-10,Northwest,Probable,6,0,0
2020-06-10,Southwest,Confirmed,47,2,1
2020-06-10,Southwest,Probable,0,0,1
2020-06-09,Central,Confirmed,159,8,1
2020-06-09,Eastern,Confirmed,73,4,1
2020-06-09,Northern,Confirmed,163,8,4
2020-06-09,Northern,Probable,2,1,0
2020-06-09,Northwest,Confirmed,66,6,2
2020-06-09,Northwest,Probable,7,0,0
2020-06-09,Southwest,Confirmed,42,4,1
2020-06-09,Southwest,Probable,1,0,0
2020-06-08,Central,Confirmed,120,4,1
2020-06-08,Central,Probable,1,0,0
2020-06-08,Eastern,Confirmed,62,3,1
2020-06-08,Eastern,Probable,1,0,0
2020-06-08,Northern,Confirmed,180,9,4
2020-06-08,Northern,Probable,4,0,1
2020-06-08,Northwest,Confirmed,85,2,1
2020-06-08,Northwest,Probable,10,0,0
2020-06-08,Southwest,Confirmed,36,3,1
2020-06-07,Central,Confirmed,41,2,1
2020-06-07,Eastern,Confirmed,38,3,2
2020-06-07,Eastern,Probable,1,0,0
2020-06-07,Northern,Confirmed,110,14,4
2020-06-07,Northern,Probable,3,0,0
2020-06-07,Northwest,Confirmed,52,2,3
2020-06-07,Northwest,Probable,7,0,0
2020-06-07,Southwest,Confirmed,20,3,2
2020-06-07,Southwest,Probable,1,1,0
2020-06-06,Central,Confirmed,86,4,0
2020-06-06,Eastern,Confirmed,32,3,0
2020-06-06,Eastern,Probable,2,1,0
2020-06-06,Northern,Confirmed,123,14,5
2020-06-06,Northern,Probable,1,0,0
2020-06-06,Northwest,Confirmed,52,5,1
2020-06-06,Northwest,Probable,7,0,0
2020-06-06,Southwest,Confirmed,35,4,0
2020-06-05,Central,Confirmed,144,7,0
2020-06-05,Eastern,Confirmed,67,2,2
2020-06-05,Eastern,Probable,3,0,0
2020-06-05,Northern,Confirmed,222,17,5
2020-06-05,Northern,Probable,4,0,0
2020-06-05,Northwest,Confirmed,83,4,1
2020-06-05,Northwest,Probable,11,0,0
2020-06-05,Southwest,Confirmed,49,2,1
2020-06-05,Southwest,Probable,1,0,0
2020-06-04,Central,Confirmed,156,10,1
2020-06-04,Eastern,Confirmed,51,7,1
2020-06-04,Eastern,Probable,1,0,0
2020-06-04,Northern,Confirmed,237,17,3
2020-06-04,Northern,Probable,2,0,0
2020-06-04,Northwest,Confirmed,92,4,0
2020-06-04,Northwest,Probable,10,0,1
2020-06-04,Southwest,Confirmed,31,4,1
2020-06-03,Central,Confirmed,142,7,3
2020-06-03,Eastern,Confirmed,55,3,2
2020-06-03,Eastern,Probable,1,0,0
2020-06-03,Northern,Confirmed,241,18,8
2020-06-03,Northern,Probable,3,0,0
2020-06-03,Northwest,Confirmed,67,5,2
2020-06-03,Northwest,Probable,6,0,0
2020-06-03,Southwest,Confirmed,40,1,0
2020-06-02,Central,Confirmed,193,9,1
2020-06-02,Eastern,Confirmed,57,2,1
2020-06-02,Eastern,Probable,1,0,0
2020-06-02,Northern,Confirmed,234,19,8
2020-06-02,Northern,Probable,4,0,1
2020-06-02,Northwest,Confirmed,96,6,1
2020-06-02,Northwest,Probable,12,0,0
2020-06-02,Southwest,Confirmed,34,1,2
2020-06-02,Southwest,Probable,1,0,0
2020-06-01,Central,Confirmed,174,11,0
2020-06-01,Central,Probable,0,1,0
2020-06-01,Eastern,Confirmed,60,4,1
2020-06-01,Northern,Confirmed,366,19,6
2020-06-01,Northern,Probable,14,0,0
2020-06-01,Northwest,Confirmed,108,6,1
2020-06-01,Northwest,Probable,7,0,0
2020-06-01,Southwest,Confirmed,49,2,0
2020-06-01,Southwest,Probable,1,0,0
2020-05-31,Central,Confirmed,140,7,0
2020-05-31,Eastern,Confirmed,37,3,0
2020-05-31,Eastern,Probable,2,0,0
2020-05-31,Northern,Confirmed,172,17,5
2020-05-31,Northern,Probable,6,1,0
2020-05-31,Northwest,Confirmed,52,11,2
2020-05-31,Northwest,Probable,2,0,0
2020-05-31,Southwest,Confirmed,33,2,2
2020-05-31,Southwest,Probable,1,0,0
2020-05-30,Central,Confirmed,143,1,1
2020-05-30,Eastern,Confirmed,62,6,3
2020-05-30,Northern,Confirmed,189,20,5
2020-05-30,Northern,Probable,3,0,0
2020-05-30,Northwest,Confirmed,81,6,1
2020-05-30,Northwest,Probable,9,0,0
2020-05-30,Southwest,Confirmed,30,2,3
2020-05-30,Southwest,Probable,2,0,0
2020-05-29,Central,Confirmed,136,17,3
2020-05-29,Central,Probable,0,1,0
2020-05-29,Eastern,Confirmed,39,7,2
2020-05-29,Eastern,Probable,1,0,0
2020-05-29,Northern,Confirmed,370,22,5
2020-05-29,Northern,Probable,6,0,0
2020-05-29,Northwest,Confirmed,153,8,1
2020-05-29,Northwest,Probable,6,0,0
2020-05-29,Southwest,Confirmed,50,1,1
2020-05-28,Central,Confirmed,140,9,2
2020-05-28,Eastern,Confirmed,68,9,2
2020-05-28,Eastern,Probable,4,0,0
2020-05-28,Northern,Confirmed,414,25,10
2020-05-28,Northern,Probable,7,0,0
2020-05-28,Northwest,Confirmed,99,8,2
2020-05-28,Northwest,Probable,6,0,0
2020-05-28,Southwest,Confirmed,52,2,1
2020-05-27,Central,Confirmed,272,13,1
2020-05-27,Central,Probable,10,0,0
2020-05-27,Eastern,Confirmed,63,2,0
2020-05-27,Eastern,Probable,6,0,0
2020-05-27,Northern,Confirmed,350,19,9
2020-05-27,Northern,Probable,13,0,0
2020-05-27,Northwest,Confirmed,116,6,4
2020-05-27,Northwest,Probable,7,0,0
2020-05-27,Southwest,Confirmed,35,3,0
2020-05-26,Central,Confirmed,180,7,1
2020-05-26,Eastern,Confirmed,102,2,2
2020-05-26,Eastern,Probable,0,0,1
2020-05-26,Northern,Confirmed,387,31,16
2020-05-26,Northern,Probable,21,0,0
2020-05-26,Northwest,Confirmed,130,8,3
2020-05-26,Northwest,Probable,9,0,0
2020-05-26,Southwest,Confirmed,54,3,0
2020-05-26,Southwest,Probable,2,0,0
2020-05-25,Central,Confirmed,105,16,2
2020-05-25,Central,Probable,6,0,0
2020-05-25,Eastern,Confirmed,62,7,1
2020-05-25,Eastern,Probable,3,1,0
2020-05-25,Northern,Confirmed,386,31,4
2020-05-25,Northern,Probable,17,0,0
2020-05-25,Northwest,Confirmed,85,4,0
2020-05-25,Northwest,Probable,7,0,0
2020-05-25,Southwest,Confirmed,26,5,0
2020-05-24,Central,Confirmed,143,2,4
2020-05-24,Central,Probable,3,0,0
2020-05-24,Eastern,Confirmed,35,3,1
2020-05-24,Eastern,Probable,8,0,0
2020-05-24,Northern,Confirmed,294,33,11
2020-05-24,Northern,Probable,6,0,2
2020-05-24,Northwest,Confirmed,90,11,1
2020-05-24,Northwest,Probable,11,0,0
2020-05-24,Southwest,Confirmed,19,1,1
2020-05-24,Southwest,Probable,2,0,0
2020-05-23,Central,Confirmed,107,8,4
2020-05-23,Central,Probable,2,0,0
2020-05-23,Eastern,Confirmed,46,6,1
2020-05-23,Eastern,Probable,1,0,0
2020-05-23,Northern,Confirmed,337,33,11
2020-05-23,Northern,Probable,4,0,2
2020-05-23,Northwest,Confirmed,117,10,2
2020-05-23,Northwest,Probable,8,0,0
2020-05-23,Southwest,Confirmed,25,10,1
2020-05-23,Southwest,Probable,1,0,0
2020-05-22,Central,Confirmed,198,11,3
2020-05-22,Eastern,Confirmed,62,7,2
2020-05-22,Eastern,Probable,1,0,0
2020-05-22,Northern,Confirmed,462,41,10
2020-05-22,Northern,Probable,12,0,1
2020-05-22,Northwest,Confirmed,121,9,0
2020-05-22,Northwest,Probable,8,0,0
2020-05-22,Southwest,Confirmed,41,6,2
2020-05-21,Central,Confirmed,412,5,1
2020-05-21,Eastern,Confirmed,55,9,0
2020-05-21,Eastern,Probable,3,0,0
2020-05-21,Northern,Confirmed,472,34,12
2020-05-21,Northern,Probable,6,0,1
2020-05-21,Northwest,Confirmed,97,6,2
2020-05-21,Northwest,Probable,10,0,0
2020-05-21,Southwest,Confirmed,25,2,0
2020-05-20,Central,Confirmed,264,16,2
2020-05-20,Eastern,Confirmed,75,2,0
2020-05-20,Eastern,Probable,1,0,0
2020-05-20,Northern,Confirmed,593,31,10
2020-05-20,Northern,Probable,17,1,0
2020-05-20,Northwest,Confirmed,114,4,3
2020-05-20,Northwest,Probable,10,0,0
2020-05-20,Southwest,Confirmed,61,4,2
2020-05-20,Southwest,Probable,7,0,0
2020-05-19,Central,Confirmed,245,6,2
2020-05-19,Eastern,Confirmed,57,11,3
2020-05-19,Eastern,Probable,1,0,0
2020-05-19,Northern,Confirmed,566,30,13
2020-05-19,Northern,Probable,13,0,0
2020-05-19,Northwest,Confirmed,116,15,1
2020-05-19,Northwest,Probable,12,0,0
2020-05-19,Southwest,Confirmed,24,4,0
2020-05-19,Southwest,Probable,3,0,0
2020-05-18,Central,Confirmed,242,8,2
2020-05-18,Eastern,Confirmed,100,6,2
2020-05-18,Eastern,Probable,6,0,1
2020-05-18,Northern,Confirmed,680,37,11
2020-05-18,Northern,Probable,15,0,0
2020-05-18,Northwest,Confirmed,192,14,1
2020-05-18,Northwest,Probable,13,0,0
2020-05-18,Southwest,Confirmed,47,5,1
2020-05-17,Central,Confirmed,115,9,1
2020-05-17,Central,Probable,0,0,1
2020-05-17,Eastern,Confirmed,45,8,2
2020-05-17,Eastern,Probable,1,0,0
2020-05-17,Northern,Confirmed,371,44,14
2020-05-17,Northern,Probable,10,0,0
2020-05-17,Northwest,Confirmed,103,10,1
2020-05-17,Northwest,Probable,17,0,0
2020-05-17,Southwest,Confirmed,24,3,0
2020-05-17,Southwest,Probable,1,0,0
2020-05-16,Central,Confirmed,119,5,4
2020-05-16,Eastern,Confirmed,66,3,3
2020-05-16,Eastern,Probable,2,0,0
2020-05-16,Northern,Confirmed,433,33,14
2020-05-16,Northern,Probable,13,0,0
2020-05-16,Northwest,Confirmed,136,7,4
2020-05-16,Northwest,Probable,9,0,0
2020-05-16,Southwest,Confirmed,17,3,0
2020-05-16,Southwest,Probable,1,0,0
2020-05-15,Central,Confirmed,176,7,4
2020-05-15,Central,Probable,2,0,0
2020-05-15,Eastern,Confirmed,60,5,2
2020-05-15,Northern,Confirmed,637,39,10
2020-05-15,Northern,Probable,20,0,0
2020-05-15,Northwest,Confirmed,157,8,3
2020-05-15,Northwest,Probable,14,1,0
2020-05-15,Southwest,Confirmed,35,1,1
2020-05-14,Central,Confirmed,144,8,2
2020-05-14,Central,Probable,4,0,0
2020-05-14,Eastern,Confirmed,74,5,2
2020-05-14,Eastern,Probable,4,0,0
2020-05-14,Northern,Confirmed,529,43,9
2020-05-14,Northern,Probable,16,2,2
2020-05-14,Northwest,Confirmed,111,8,0
2020-05-14,Northwest,Probable,3,0,0
2020-05-14,Southwest,Confirmed,36,0,0
2020-05-13,Central,Confirmed,190,3,2
2020-05-13,Central,Probable,0,0,1
2020-05-13,Eastern,Confirmed,81,7,3
2020-05-13,Northern,Confirmed,559,41,8
2020-05-13,Northern,Probable,21,0,1
2020-05-13,Northwest,Confirmed,116,3,0
2020-05-13,Northwest,Probable,5,0,0
2020-05-13,Southwest,Confirmed,26,2,0
2020-05-13,Southwest,Probable,1,0,0
2020-05-12,Central,Confirmed,235,6,1
2020-05-12,Central,Probable,2,0,0
2020-05-12,Eastern,Confirmed,120,6,4
2020-05-12,Eastern,Probable,3,0,0
2020-05-12,Northern,Confirmed,541,46,10
2020-05-12,Northern,Probable,15,0,0
2020-05-12,Northwest,Confirmed,122,8,1
2020-05-12,Northwest,Probable,13,0,0
2020-05-12,Southwest,Confirmed,46,1,1
2020-05-12,Southwest,Probable,1,0,0
2020-05-11,Central,Confirmed,148,10,2
2020-05-11,Eastern,Confirmed,63,7,3
2020-05-11,Eastern,Probable,2,0,0
2020-05-11,Northern,Confirmed,676,52,22
2020-05-11,Northern,Probable,19,1,1
2020-05-11,Northwest,Confirmed,114,12,5
2020-05-11,Northwest,Probable,6,0,0
2020-05-11,Southwest,Confirmed,18,1,2
2020-05-11,Southwest,Probable,2,0,0
2020-05-10,Central,Confirmed,108,5,2
2020-05-10,Eastern,Confirmed,37,8,2
2020-05-10,Eastern,Probable,1,0,0
2020-05-10,Northern,Confirmed,387,42,18
2020-05-10,Northern,Probable,11,0,0
2020-05-10,Northwest,Confirmed,106,9,3
2020-05-10,Northwest,Probable,9,0,0
2020-05-10,Southwest,Confirmed,17,4,0
2020-05-10,Southwest,Probable,1,0,0
2020-05-09,Central,Confirmed,72,6,1
2020-05-09,Central,Probable,1,0,0
2020-05-09,Eastern,Confirmed,68,5,6
2020-05-09,Eastern,Probable,1,0,0
2020-05-09,Northern,Confirmed,359,47,15
2020-05-09,Northern,Probable,16,0,2
2020-05-09,Northwest,Confirmed,102,14,2
2020-05-09,Northwest,Probable,12,0,1
2020-05-09,Southwest,Confirmed,17,0,0
2020-05-08,Central,Confirmed,156,11,5
2020-05-08,Central,Probable,1,0,0
2020-05-08,Eastern,Confirmed,77,4,2
2020-05-08,Eastern,Probable,2,0,0
2020-05-08,Northern,Confirmed,622,46,14
2020-05-08,Northern,Probable,10,1,2
2020-05-08,Northwest,Confirmed,120,12,3
2020-05-08,Northwest,Probable,12,0,0
2020-05-08,Southwest,Confirmed,24,1,1
2020-05-08,Southwest,Probable,1,0,0
2020-05-07,Central,Confirmed,137,9,4
2020-05-07,Central,Probable,4,0,0
2020-05-07,Eastern,Confirmed,123,4,5
2020-05-07,Eastern,Probable,5,0,1
2020-05-07,Northern,Confirmed,504,46,21
2020-05-07,Northern,Probable,17,0,1
2020-05-07,Northwest,Confirmed,95,9,5
2020-05-07,Northwest,Probable,5,0,0
2020-05-07,Southwest,Confirmed,30,0,0
2020-05-06,Central,Confirmed,115,9,1
2020-05-06,Central,Probable,1,0,0
2020-05-06,Eastern,Confirmed,301,7,5
2020-05-06,Eastern,Probable,9,0,0
2020-05-06,Northern,Confirmed,606,62,11
2020-05-06,Northern,Probable,20,0,2
2020-05-06,Northwest,Confirmed,67,10,4
2020-05-06,Northwest,Probable,10,0,0
2020-05-06,Southwest,Confirmed,23,1,1
2020-05-05,Central,Confirmed,115,12,5
2020-05-05,Central,Probable,0,0,1
2020-05-05,Eastern,Confirmed,143,7,8
2020-05-05,Eastern,Probable,5,0,1
2020-05-05,Northern,Confirmed,528,55,23
2020-05-05,Northern,Probable,21,0,0
2020-05-05,Northwest,Confirmed,105,9,5
2020-05-05,Northwest,Probable,10,0,1
2020-05-05,Southwest,Confirmed,23,2,0
2020-05-04,Central,Confirmed,139,10,3
2020-05-04,Central,Probable,1,0,0
2020-05-04,Eastern,Confirmed,125,11,1
2020-05-04,Eastern,Probable,2,0,0
2020-05-04,Northern,Confirmed,634,70,12
2020-05-04,Northern,Probable,31,0,1
2020-05-04,Northwest,Confirmed,113,13,5
2020-05-04,Northwest,Probable,6,0,1
2020-05-04,Southwest,Confirmed,20,3,1
2020-05-04,Southwest,Probable,0,1,0
2020-05-03,Central,Confirmed,75,11,1
2020-05-03,Eastern,Confirmed,40,8,3
2020-05-03,Eastern,Probable,2,0,0
2020-05-03,Northern,Confirmed,357,60,14
2020-05-03,Northern,Probable,13,0,2
2020-05-03,Northwest,Confirmed,107,16,3
2020-05-03,Northwest,Probable,7,0,0
2020-05-03,Southwest,Confirmed,16,1,2
2020-05-02,Central,Confirmed,88,5,6
2020-05-02,Central,Probable,2,0,0
2020-05-02,Eastern,Confirmed,76,6,6
2020-05-02,Eastern,Probable,1,0,1
2020-05-02,Northern,Confirmed,398,53,25
2020-05-02,Northern,Probable,13,2,1
2020-05-02,Northwest,Confirmed,113,6,3
2020-05-02,Northwest,Probable,13,0,0
2020-05-02,Southwest,Confirmed,15,4,0
2020-05-01,Central,Confirmed,151,11,1
2020-05-01,Eastern,Confirmed,110,14,4
2020-05-01,Eastern,Probable,3,0,0
2020-05-01,Northern,Confirmed,717,68,12
