Report Date,FIPS,Locality,Health District,Total Cases
2020-04-17,51003,Albemarle,Thomas Jefferson,56
2020-04-17,51009,Amherst,Central Virginia,10
2020-04-17,51011,Appomattox,Central Virginia,7
2020-04-17,51013,Arlington,Arlington,485
2020-04-17,51015,Augusta,Central Shenandoah,19
2020-04-17,51019,Bedford,Central Virginia,17
2020-04-17,51021,Bland,Mount Rogers,0
2020-04-17,51025,Brunswick,Southside,10
2020-04-17,51027,Buchanan,Cumberland Plateau,12
2020-04-17,51029,Buckingham,Piedmont,24
2020-04-17,51031,Campbell,Central Virginia,9
2020-04-17,51033,Caroline,Rappahannock,11
2020-04-17,51035,Carroll,Mount Rogers,3
2020-04-17,51036,Charles City,Chickahominy,10
2020-04-17,51037,Charlotte,Piedmont,8
2020-04-17,51043,Clarke,Lord Fairfax,6
2020-04-17,51047,Culpeper,Rappahannock Rapidan,32
2020-04-17,51049,Cumberland,Piedmont,8
2020-04-17,51053,Dinwiddie,Crater,7
2020-04-17,51057,Essex,Three Rivers,2
2020-04-17,51077,Grayson,Mount Rogers,0
2020-04-17,51079,Greene,Thomas Jefferson,7
2020-04-17,51081,Greensville,Crater,18
2020-04-17,51083,Halifax,Southside,7
2020-04-17,51085,Hanover,Chickahominy,70
2020-04-17,51087,Henrico,Henrico,532
2020-04-17,51091,Highland,Central Shenandoah,0
2020-04-17,51093,Isle of Wight,Western Tidewater,69
2020-04-17,51097,King and Queen,Three Rivers,2
2020-04-17,51105,Lee,Lenowisco,7
2020-04-17,51109,Louisa,Thomas Jefferson,33
2020-04-17,51111,Lunenburg,Piedmont,3
2020-04-17,51113,Madison,Rappahannock Rapidan,8
2020-04-17,51115,Mathews,Three Rivers,3
2020-04-17,51119,Middlesex,Three Rivers,3
2020-04-17,51127,New Kent,Chickahominy,17
2020-04-17,51131,Northampton,Eastern Shore,5
2020-04-17,51133,Northumberland,Three Rivers,5
2020-04-17,51141,Patrick,West Piedmont,0
2020-04-17,51143,Pittsylvania,Pittsylvania-Danville,6
2020-04-17,51145,Powhatan,Chesterfield,7
2020-04-17,51149,Prince George,Crater,28
2020-04-17,51153,Prince William,Prince William,644
2020-04-17,51155,Pulaski,New River,8
2020-04-17,51163,Rockbridge,Central Shenandoah,5
2020-04-17,51165,Rockingham,Central Shenandoah,83
2020-04-17,51167,Russell,Cumberland Plateau,2
2020-04-17,51185,Tazewell,Cumberland Plateau,4
2020-04-17,51187,Warren,Lord Fairfax,22
2020-04-17,51193,Westmoreland,Three Rivers,9
2020-04-17,51197,Wythe,Mount Rogers,8
2020-04-17,51199,York,Peninsula,38
2020-04-17,51510,Alexandria,Alexandria,321
2020-04-17,51520,Bristol,Mount Rogers,1
2020-04-17,51550,Chesapeake,Chesapeake,147
2020-04-17,51590,Danville,Pittsylvania-Danville,22
2020-04-17,51600,Fairfax City,Fairfax,2
2020-04-17,51620,Franklin City,Western Tidewater,9
2020-04-17,51660,Harrisonburg,Central Shenandoah,214
2020-04-17,51680,Lynchburg,Central Virginia,38
2020-04-17,51685,Manassas Park,Prince William,21
2020-04-17,51690,Martinsville,West Piedmont,0
2020-04-17,51700,Newport News,Peninsula,100
2020-04-17,51710,Norfolk,Norfolk,108
2020-04-17,51775,Salem,Alleghany,6
2020-04-17,51820,Waynesboro,Central Shenandoah,7
2020-04-17,51830,Williamsburg,Peninsula,19
2020-04-17,51840,Winchester,Lord Fairfax,22
2020-04-17,51001,Accomack,Eastern Shore,28
2020-04-17,51005,Alleghany,Alleghany,4
2020-04-17,51007,Amelia,Piedmont,13
2020-04-17,51017,Bath,Central Shenandoah,0
2020-04-17,51023,Botetourt,Alleghany,23
2020-04-17,51041,Chesterfield,Chesterfield,291
2020-04-17,51045,Craig,Alleghany,2
2020-04-17,51051,Dickenson,Cumberland Plateau,0
2020-04-17,51059,Fairfax,Fairfax,1476
2020-04-17,51061,Fauquier,Rappahannock Rapidan,35
2020-04-17,51063,Floyd,New River,1
2020-04-17,51065,Fluvanna,Thomas Jefferson,64
2020-04-17,51067,Franklin County,West Piedmont,15
2020-04-17,51069,Frederick,Lord Fairfax,76
2020-04-17,51071,Giles,New River,4
2020-04-17,51073,Gloucester,Three Rivers,20
2020-04-17,51075,Goochland,Chickahominy,52
2020-04-17,51089,Henry,West Piedmont,10
2020-04-17,51095,James City,Peninsula,138
2020-04-17,51099,King George,Rappahannock,18
2020-04-17,51101,King William,Three Rivers,2
2020-04-17,51103,Lancaster,Three Rivers,1
2020-04-17,51107,Loudoun,Loudoun,385
2020-04-17,51117,Mecklenburg,Southside,62
2020-04-17,51121,Montgomery,New River,40
2020-04-17,51125,Nelson,Thomas Jefferson,5
2020-04-17,51135,Nottoway,Piedmont,5
2020-04-17,51137,Orange,Rappahannock Rapidan,19
2020-04-17,51139,Page,Lord Fairfax,10
2020-04-17,51147,Prince Edward,Piedmont,17
2020-04-17,51157,Rappahannock,Rappahannock Rapidan,1
2020-04-17,51159,Richmond County,Three Rivers,8
2020-04-17,51161,Roanoke County,Alleghany,20
2020-04-17,51169,Scott,Lenowisco,3
2020-04-17,51171,Shenandoah,Lord Fairfax,33
2020-04-17,51173,Smyth,Mount Rogers,11
2020-04-17,51175,Southampton,Western Tidewater,7
2020-04-17,51177,Spotsylvania,Rappahannock,69
2020-04-17,51179,Stafford,Rappahannock,128
2020-04-17,51181,Surry,Crater,3
2020-04-17,51183,Sussex,Crater,11
2020-04-17,51191,Washington,Mount Rogers,28
2020-04-17,51195,Wise,Lenowisco,17
2020-04-17,51530,Buena Vista City,Central Shenandoah,5
2020-04-17,51540,Charlottesville,Thomas Jefferson,40
2020-04-17,51570,Colonial Heights,Chesterfield,19
2020-04-17,51580,Covington,Alleghany,1
2020-04-17,51595,Emporia,Crater,7
2020-04-17,51610,Falls Church,Fairfax,0
2020-04-17,51630,Fredericksburg,Rappahannock,15
2020-04-17,51640,Galax,Mount Rogers,1
2020-04-17,51650,Hampton,Hampton,78
2020-04-17,51670,Hopewell,Crater,14
2020-04-17,51678,Lexington,Central Shenandoah,3
2020-04-17,51683,Manassas City,Prince William,72
2020-04-17,51720,Norton,Lenowisco,0
2020-04-17,51730,Petersburg,Crater,21
2020-04-17,51735,Poquoson,Peninsula,6
2020-04-17,51740,Portsmouth,Portsmouth,63
2020-04-17,51750,Radford,New River,1
2020-04-17,51760,Richmond City,Richmond,201
2020-04-17,51770,Roanoke City,Roanoke,24
2020-04-17,51790,Staunton,Central Shenandoah,4
2020-04-17,51800,Suffolk,Western Tidewater,70
2020-04-17,51810,Virginia Beach,Virginia Beach,265
