"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-23,Southside,"Not Reported",4,0,0
2020-06-23,Chesapeake,Female,435,54,7
2020-06-23,Richmond,Female,963,85,8
2020-06-23,Roanoke,Male,142,6,2
2020-06-23,Fairfax,"Not Reported",134,3,3
2020-06-23,"Thomas Jefferson",Female,428,43,9
2020-06-23,Chesapeake,"Not Reported",1,0,0
2020-06-23,"Cumberland Plateau",Male,18,1,0
2020-06-23,"Eastern Shore",Female,653,56,23
2020-06-23,"Lord Fairfax","Not Reported",7,0,0
2020-06-23,Rappahannock,"Not Reported",11,1,0
2020-06-23,"Central Shenandoah","Not Reported",2,0,0
2020-06-23,Peninsula,Male,406,62,12
2020-06-23,Norfolk,Male,371,46,6
2020-06-23,Alexandria,Female,1149,104,27
2020-06-23,Lenowisco,Male,25,8,3
2020-06-23,Pittsylvania-Danville,Female,85,16,2
2020-06-23,"New River","Not Reported",3,0,0
2020-06-23,Chesterfield,"Not Reported",70,0,2
2020-06-23,Loudoun,Male,1796,139,31
2020-06-23,"Rappahannock Rapidan",Female,685,41,6
2020-06-23,Piedmont,Female,286,38,3
2020-06-23,Richmond,Male,1025,113,20
2020-06-23,Crater,Female,545,73,14
2020-06-23,Portsmouth,Female,196,40,10
2020-06-23,Arlington,"Not Reported",1,0,0
2020-06-23,"Mount Rogers","Not Reported",2,0,0
2020-06-23,"Thomas Jefferson","Not Reported",3,0,0
2020-06-23,"Three Rivers","Not Reported",18,0,0
2020-06-23,Hampton,Male,124,24,3
2020-06-23,Alleghany,Male,164,21,5
2020-06-23,Roanoke,Female,195,7,8
2020-06-23,Loudoun,"Not Reported",14,0,1
2020-06-23,Fairfax,Female,6895,691,227
2020-06-23,"Western Tidewater",Male,368,49,27
2020-06-23,Peninsula,"Not Reported",3,0,0
2020-06-23,"New River",Male,89,13,4
2020-06-23,"Central Shenandoah",Male,886,71,16
2020-06-23,Southside,Male,148,22,10
2020-06-23,Chesterfield,Male,1396,70,33
2020-06-23,Arlington,Female,1205,189,60
2020-06-23,Rappahannock,Male,1077,119,25
2020-06-23,"Central Virginia",Male,167,9,4
2020-06-23,Alleghany,"Not Reported",3,0,0
2020-06-23,Henrico,Male,1094,124,67
2020-06-23,"Thomas Jefferson",Male,388,38,10
2020-06-23,"Lord Fairfax",Male,902,84,30
2020-06-23,"Three Rivers",Male,416,16,3
2020-06-23,Richmond,"Not Reported",43,2,2
2020-06-23,Pittsylvania-Danville,Male,73,17,1
2020-06-23,Portsmouth,"Not Reported",3,0,0
2020-06-23,Norfolk,"Not Reported",0,0,0
2020-06-23,Chesapeake,Male,338,55,9
2020-06-23,Chickahominy,Female,338,51,15
2020-06-23,"Prince William",Male,4348,425,90
2020-06-23,"Eastern Shore","Not Reported",10,0,0
2020-06-23,"Eastern Shore",Male,641,52,19
2020-06-23,"Rappahannock Rapidan",Male,706,62,11
2020-06-23,Henrico,"Not Reported",9,0,1
2020-06-23,"Cumberland Plateau",Female,19,1,0
2020-06-23,"West Piedmont",Male,182,20,4
2020-06-23,Hampton,"Not Reported",2,0,0
2020-06-23,Alexandria,"Not Reported",9,0,0
2020-06-23,"Western Tidewater","Not Reported",2,0,0
2020-06-23,"Cumberland Plateau","Not Reported",0,0,0
2020-06-23,"Virginia Beach",Male,467,61,15
2020-06-23,Alleghany,Female,186,10,9
2020-06-23,Lenowisco,Female,24,8,1
2020-06-23,"Virginia Beach","Not Reported",12,0,0
2020-06-23,"Western Tidewater",Female,375,31,19
2020-06-23,"Mount Rogers",Male,286,45,14
2020-06-23,"Lord Fairfax",Female,973,76,32
2020-06-23,Piedmont,"Not Reported",0,0,0
2020-06-23,Alexandria,Male,1090,127,22
2020-06-23,Pittsylvania-Danville,"Not Reported",2,0,0
2020-06-23,"West Piedmont","Not Reported",4,0,0
2020-06-23,Loudoun,Female,1822,116,52
2020-06-23,Hampton,Female,145,14,2
2020-06-23,Henrico,Female,1345,116,70
2020-06-23,"Prince William","Not Reported",75,1,0
2020-06-23,Chickahominy,Male,272,53,20
2020-06-23,"Rappahannock Rapidan","Not Reported",26,1,1
2020-06-23,Peninsula,Female,464,62,21
2020-06-23,Lenowisco,"Not Reported",0,0,0
2020-06-23,Crater,"Not Reported",14,1,0
2020-06-23,Chickahominy,"Not Reported",5,0,0
2020-06-23,Portsmouth,Male,222,26,6
2020-06-23,"New River",Female,88,7,0
2020-06-23,Rappahannock,Female,1219,90,13
2020-06-23,"Central Virginia",Female,149,8,1
2020-06-23,Roanoke,"Not Reported",6,0,0
2020-06-23,"West Piedmont",Female,195,16,2
2020-06-23,"Mount Rogers",Female,359,21,9
2020-06-23,Piedmont,Male,696,43,7
2020-06-23,Chesterfield,Female,1383,62,33
2020-06-23,Fairfax,Male,6676,894,229
2020-06-23,Crater,Male,796,55,7
2020-06-23,"Central Virginia","Not Reported",0,0,0
2020-06-23,"Prince William",Female,4322,343,65
2020-06-23,"Virginia Beach",Female,541,55,12
2020-06-23,Norfolk,Female,376,46,1
2020-06-23,"Three Rivers",Female,192,33,9
2020-06-23,Arlington,Male,1225,225,66
2020-06-23,"Central Shenandoah",Female,1023,81,18
2020-06-23,Southside,Female,218,25,16
