"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-27,Southside,"Not Reported",117,13,8
2020-05-27,Chesapeake,White,219,35,7
2020-05-27,"New River",Other,1,1,0
2020-05-27,Norfolk,"Black or African American",213,38,4
2020-05-27,"Central Shenandoah",Other,233,15,1
2020-05-27,Southside,Other,35,1,5
2020-05-27,Pittsylvania-Danville,Other,1,0,0
2020-05-27,"Cumberland Plateau",White,19,2,0
2020-05-27,"Rappahannock Rapidan","Black or African American",56,10,1
2020-05-27,Fairfax,"Not Reported",2554,108,98
2020-05-27,Chesapeake,"Not Reported",49,3,0
2020-05-27,"Thomas Jefferson",White,253,27,13
2020-05-27,Richmond,Other,292,39,1
2020-05-27,Peninsula,"Black or African American",140,31,9
2020-05-27,Henrico,Other,205,12,4
2020-05-27,"Cumberland Plateau","Black or African American",12,0,0
2020-05-27,Loudoun,Other,482,53,8
2020-05-27,Crater,Other,21,2,1
2020-05-27,Arlington,"Black or African American",141,51,26
2020-05-27,Alexandria,"Black or African American",259,50,10
2020-05-27,Richmond,"Black or African American",355,77,17
2020-05-27,"Lord Fairfax","Not Reported",168,3,5
2020-05-27,Fairfax,"Black or African American",617,128,24
2020-05-27,"Thomas Jefferson","Black or African American",114,36,4
2020-05-27,"West Piedmont",White,77,6,3
2020-05-27,Rappahannock,"Not Reported",510,23,0
2020-05-27,"Central Shenandoah","Not Reported",215,7,1
2020-05-27,Peninsula,White,276,73,22
2020-05-27,"Rappahannock Rapidan",White,432,34,8
2020-05-27,"Prince William",White,1243,250,78
2020-05-27,"New River","Not Reported",30,0,0
2020-05-27,Chesterfield,"Not Reported",625,3,9
2020-05-27,Alleghany,Other,2,0,0
2020-05-27,Lenowisco,White,33,14,3
2020-05-27,"Western Tidewater",White,160,26,18
2020-05-27,Hampton,Other,8,2,0
2020-05-27,Alleghany,White,131,20,15
2020-05-27,"Prince William",Other,1296,159,10
2020-05-27,Arlington,"Not Reported",779,81,14
2020-05-27,"West Piedmont","Black or African American",39,9,2
2020-05-27,Peninsula,Other,31,7,1
2020-05-27,Norfolk,Other,36,4,0
2020-05-27,"Lord Fairfax","Black or African American",38,3,1
2020-05-27,"Mount Rogers","Not Reported",21,1,0
2020-05-27,"Central Virginia","Black or African American",21,2,1
2020-05-27,"West Piedmont",Other,22,1,1
2020-05-27,Portsmouth,White,59,9,2
2020-05-27,"Thomas Jefferson","Not Reported",41,0,0
2020-05-27,"Three Rivers","Not Reported",127,4,3
2020-05-27,"Virginia Beach","Black or African American",152,17,3
2020-05-27,"Prince William","Black or African American",432,80,24
2020-05-27,Loudoun,"Not Reported",1075,4,6
2020-05-27,Loudoun,White,624,88,37
2020-05-27,Peninsula,"Not Reported",128,2,0
2020-05-27,Pittsylvania-Danville,"Black or African American",29,7,0
2020-05-27,Henrico,White,516,72,63
2020-05-27,Richmond,White,178,17,3
2020-05-27,Southside,"Black or African American",45,11,3
2020-05-27,Chickahominy,White,199,45,20
2020-05-27,"Thomas Jefferson",Other,62,5,2
2020-05-27,"Virginia Beach",Other,77,20,2
2020-05-27,"Central Shenandoah","Black or African American",69,2,2
2020-05-27,Chesterfield,White,357,36,26
2020-05-27,"Central Virginia",White,74,10,3
2020-05-27,Rappahannock,White,392,52,12
2020-05-27,"New River",White,65,12,1
2020-05-27,Lenowisco,"Black or African American",0,0,0
2020-05-27,Arlington,White,655,121,48
2020-05-27,Hampton,"Black or African American",100,24,3
2020-05-27,Alexandria,White,644,66,26
2020-05-27,Hampton,"Not Reported",36,0,0
2020-05-27,"Mount Rogers",White,262,18,6
2020-05-27,Alexandria,"Not Reported",543,14,5
2020-05-27,Chickahominy,"Black or African American",72,25,9
2020-05-27,Chesapeake,"Black or African American",163,42,5
2020-05-27,"Western Tidewater","Not Reported",187,2,1
2020-05-27,"Cumberland Plateau","Not Reported",1,0,0
2020-05-27,"Western Tidewater",Other,28,1,2
2020-05-27,Loudoun,"Black or African American",93,10,2
2020-05-27,"Virginia Beach",White,326,50,17
2020-05-27,Chickahominy,Other,19,5,0
2020-05-27,"New River","Black or African American",5,1,0
2020-05-27,"Virginia Beach","Not Reported",91,3,0
2020-05-27,"Rappahannock Rapidan",Other,65,12,0
2020-05-27,Piedmont,"Not Reported",298,7,2
2020-05-27,Portsmouth,Other,19,2,0
2020-05-27,Pittsylvania-Danville,"Not Reported",12,3,0
2020-05-27,"West Piedmont","Not Reported",33,2,0
2020-05-27,Norfolk,White,121,20,2
2020-05-27,Hampton,White,39,4,0
2020-05-27,"Western Tidewater","Black or African American",241,36,16
2020-05-27,"Prince William","Not Reported",3349,37,3
2020-05-27,Fairfax,White,2699,399,175
2020-05-27,Lenowisco,Other,1,0,0
2020-05-27,"Rappahannock Rapidan","Not Reported",536,18,2
2020-05-27,"Three Rivers","Black or African American",152,10,0
2020-05-27,Henrico,"Black or African American",547,95,50
2020-05-27,Lenowisco,"Not Reported",8,1,1
2020-05-27,Chesapeake,Other,41,5,2
2020-05-27,Crater,"Not Reported",163,3,2
2020-05-27,Chickahominy,"Not Reported",175,3,1
2020-05-27,"Eastern Shore","Black or African American",597,50,16
2020-05-27,Alexandria,Other,378,45,1
2020-05-27,Chesterfield,"Black or African American",233,34,7
2020-05-27,Roanoke,"Not Reported",49,0,0
2020-05-27,Rappahannock,"Black or African American",133,22,3
2020-05-27,"Lord Fairfax",White,800,86,33
2020-05-27,"Three Rivers",White,168,16,3
2020-05-27,"Central Virginia","Not Reported",102,3,0
2020-05-27,"Eastern Shore",Other,32,2,1
2020-05-27,Crater,"Black or African American",296,61,8
2020-05-27,"Mount Rogers","Black or African American",2,0,0
2020-05-27,"Central Shenandoah",White,930,92,24
2020-05-27,Southside,White,66,12,6
2020-05-27,"Mount Rogers",Other,30,3,0
2020-05-27,Crater,White,113,17,6
2020-05-27,Alleghany,"Not Reported",46,3,0
2020-05-27,Arlington,Other,413,118,21
2020-05-27,Piedmont,White,163,8,3
2020-05-27,"Cumberland Plateau",Other,0,0,0
2020-05-27,Pittsylvania-Danville,White,41,15,3
2020-05-27,Roanoke,"Black or African American",20,6,2
2020-05-27,Alleghany,"Black or African American",5,1,1
2020-05-27,Richmond,"Not Reported",287,4,0
2020-05-27,"Central Virginia",Other,2,1,0
