"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-24,Southside,371,47,28
2020-06-24,Chesapeake,792,116,16
2020-06-24,"Thomas Jefferson",832,83,19
2020-06-24,Roanoke,359,14,10
2020-06-24,"Eastern Shore",1304,107,42
2020-06-24,"Mount Rogers",656,66,27
2020-06-24,Chickahominy,618,105,36
2020-06-24,"New River",188,21,4
2020-06-24,"Central Virginia",319,16,5
2020-06-24,Piedmont,989,81,10
2020-06-24,"Lord Fairfax",1886,160,62
2020-06-24,Crater,1397,133,21
2020-06-24,Hampton,276,38,5
2020-06-24,Alexandria,2258,231,50
2020-06-24,Fairfax,13714,1597,464
2020-06-24,Richmond,2071,203,31
2020-06-24,Arlington,2438,415,126
2020-06-24,"Rappahannock Rapidan",1423,106,18
2020-06-24,Rappahannock,2329,210,39
2020-06-24,Pittsylvania-Danville,161,33,3
2020-06-24,"Prince William",8824,772,157
2020-06-24,"Cumberland Plateau",39,2,0
2020-06-24,Portsmouth,426,66,16
2020-06-24,"Virginia Beach",1038,118,27
2020-06-24,"West Piedmont",392,38,7
2020-06-24,"Three Rivers",607,48,10
2020-06-24,Alleghany,360,31,14
2020-06-24,Lenowisco,49,16,4
2020-06-24,Norfolk,771,93,7
2020-06-24,"Western Tidewater",751,80,46
2020-06-24,Henrico,2463,240,138
2020-06-24,"Central Shenandoah",1924,155,34
2020-06-24,Loudoun,3683,258,84
2020-06-24,Chesterfield,2920,132,68
2020-06-24,Peninsula,886,124,33
