"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-10,Southside,"Not Reported",73,9,2
2020-05-10,Chesapeake,White,126,25,1
2020-05-10,"New River",Other,0,0,0
2020-05-10,Norfolk,"Black or African American",168,31,3
2020-05-10,"Central Shenandoah",Other,174,9,2
2020-05-10,Southside,Other,26,1,2
2020-05-10,Pittsylvania-Danville,Other,0,0,0
2020-05-10,"Cumberland Plateau",White,17,2,0
2020-05-10,"Rappahannock Rapidan","Black or African American",24,5,1
2020-05-10,Fairfax,"Not Reported",1520,86,67
2020-05-10,Chesapeake,"Not Reported",56,3,1
2020-05-10,"Thomas Jefferson",White,199,23,8
2020-05-10,Richmond,Other,89,16,1
2020-05-10,Peninsula,"Black or African American",111,30,8
2020-05-10,Henrico,Other,77,10,3
2020-05-10,"Cumberland Plateau","Black or African American",11,0,0
2020-05-10,Loudoun,Other,245,35,4
2020-05-10,Crater,Other,5,2,1
2020-05-10,Arlington,"Black or African American",94,32,12
2020-05-10,Alexandria,"Black or African American",181,40,6
2020-05-10,Richmond,"Black or African American",256,58,16
2020-05-10,"Lord Fairfax","Not Reported",99,3,3
2020-05-10,Fairfax,"Black or African American",407,105,17
2020-05-10,"Thomas Jefferson","Black or African American",99,33,4
2020-05-10,"West Piedmont",White,37,4,0
2020-05-10,Rappahannock,"Not Reported",266,19,0
2020-05-10,"Central Shenandoah","Not Reported",185,2,1
2020-05-10,Peninsula,White,231,68,20
2020-05-10,"Rappahannock Rapidan",White,198,18,7
2020-05-10,"Prince William",White,622,145,30
2020-05-10,"New River","Not Reported",29,1,0
2020-05-10,Chesterfield,"Not Reported",369,3,8
2020-05-10,Alleghany,Other,1,0,0
2020-05-10,Lenowisco,White,31,13,2
2020-05-10,"Western Tidewater",White,137,21,13
2020-05-10,Hampton,Other,6,2,0
2020-05-10,Alleghany,White,93,17,3
2020-05-10,"Prince William",Other,685,98,7
2020-05-10,Arlington,"Not Reported",675,66,8
2020-05-10,"West Piedmont","Black or African American",8,3,0
2020-05-10,Peninsula,Other,24,6,1
2020-05-10,Norfolk,Other,18,4,0
2020-05-10,"Lord Fairfax","Black or African American",26,3,1
2020-05-10,"Mount Rogers","Not Reported",10,1,0
2020-05-10,"Central Virginia","Black or African American",17,1,0
2020-05-10,"West Piedmont",Other,2,1,1
2020-05-10,Portsmouth,White,44,7,1
2020-05-10,"Thomas Jefferson","Not Reported",13,0,0
2020-05-10,"Three Rivers","Not Reported",84,4,3
2020-05-10,"Virginia Beach","Black or African American",111,17,2
2020-05-10,"Prince William","Black or African American",273,53,14
2020-05-10,Loudoun,"Not Reported",397,3,3
2020-05-10,Loudoun,White,452,69,23
2020-05-10,Peninsula,"Not Reported",68,2,0
2020-05-10,Pittsylvania-Danville,"Black or African American",22,6,0
2020-05-10,Henrico,White,385,63,57
2020-05-10,Richmond,White,101,15,1
2020-05-10,Southside,"Black or African American",24,9,1
2020-05-10,Chickahominy,White,139,35,15
2020-05-10,"Thomas Jefferson",Other,34,6,1
2020-05-10,"Virginia Beach",Other,56,19,2
2020-05-10,"Central Shenandoah","Black or African American",51,3,2
2020-05-10,Chesterfield,White,242,29,17
2020-05-10,"Central Virginia",White,54,8,2
2020-05-10,Rappahannock,White,233,44,10
2020-05-10,"New River",White,54,10,1
2020-05-10,"Mount Rogers",Other,12,1,0
2020-05-10,Crater,White,47,14,5
2020-05-10,Alleghany,"Not Reported",34,1,0
2020-05-10,Arlington,Other,263,90,16
2020-05-10,Piedmont,White,126,4,3
2020-05-10,"Cumberland Plateau",Other,1,0,0
2020-05-10,Pittsylvania-Danville,White,25,13,2
2020-05-10,Roanoke,"Black or African American",14,4,0
2020-05-10,Alleghany,"Black or African American",5,1,0
2020-05-10,Richmond,"Not Reported",84,1,0
2020-05-10,"Central Virginia",Other,2,1,0
2020-05-10,Rappahannock,Other,171,33,0
2020-05-10,Roanoke,Other,2,0,0
2020-05-10,Piedmont,"Black or African American",130,21,1
2020-05-10,Chesterfield,Other,66,1,0
2020-05-10,Portsmouth,"Black or African American",95,26,6
2020-05-10,Portsmouth,"Not Reported",47,3,1
2020-05-10,Norfolk,"Not Reported",40,0,0
2020-05-10,"Eastern Shore",White,180,8,5
2020-05-10,"Eastern Shore","Not Reported",79,0,0
2020-05-10,Roanoke,White,59,2,1
2020-05-10,"Three Rivers",Other,21,2,0
2020-05-10,Fairfax,Other,2325,444,45
2020-05-10,Henrico,"Not Reported",179,1,1
2020-05-10,"Lord Fairfax",Other,91,9,0
2020-05-10,Piedmont,Other,8,1,0
2020-05-10,Lenowisco,"Black or African American",0,0,0
2020-05-10,Arlington,White,336,72,25
2020-05-10,Hampton,"Black or African American",89,23,3
2020-05-10,Alexandria,White,411,52,19
2020-05-10,Hampton,"Not Reported",22,0,0
2020-05-10,"Mount Rogers",White,146,15,4
2020-05-10,Alexandria,"Not Reported",395,14,4
2020-05-10,Chickahominy,"Black or African American",55,23,7
2020-05-10,Chesapeake,"Black or African American",115,35,4
2020-05-10,"Western Tidewater","Not Reported",119,2,1
2020-05-10,"Cumberland Plateau","Not Reported",0,0,0
2020-05-10,"Western Tidewater",Other,26,2,1
2020-05-10,Loudoun,"Black or African American",65,8,0
2020-05-10,"Virginia Beach",White,251,47,13
2020-05-10,Chickahominy,Other,11,4,0
2020-05-10,"New River","Black or African American",5,1,0
2020-05-10,"Virginia Beach","Not Reported",73,2,0
2020-05-10,"Rappahannock Rapidan",Other,31,9,0
2020-05-10,Piedmont,"Not Reported",109,3,0
2020-05-10,Portsmouth,Other,16,2,0
2020-05-10,Pittsylvania-Danville,"Not Reported",8,2,0
2020-05-10,"West Piedmont","Not Reported",8,0,0
2020-05-10,Norfolk,White,78,15,2
2020-05-10,Hampton,White,27,4,0
2020-05-10,"Western Tidewater","Black or African American",200,30,9
2020-05-10,"Prince William","Not Reported",1661,22,1
2020-05-10,Fairfax,White,1716,303,117
2020-05-10,Lenowisco,Other,1,0,0
2020-05-10,"Rappahannock Rapidan","Not Reported",258,9,2
2020-05-10,"Three Rivers","Black or African American",104,7,0
2020-05-10,Henrico,"Black or African American",426,78,48
2020-05-10,Lenowisco,"Not Reported",9,1,1
2020-05-10,Chesapeake,Other,31,5,3
2020-05-10,Crater,"Not Reported",70,2,1
2020-05-10,Chickahominy,"Not Reported",93,3,1
2020-05-10,"Eastern Shore","Black or African American",396,23,6
2020-05-10,Alexandria,Other,206,33,1
2020-05-10,Chesterfield,"Black or African American",194,33,7
2020-05-10,Roanoke,"Not Reported",18,0,0
2020-05-10,Rappahannock,"Black or African American",92,20,2
2020-05-10,"Lord Fairfax",White,488,47,17
2020-05-10,"Three Rivers",White,115,15,3
2020-05-10,"Central Virginia","Not Reported",83,3,0
2020-05-10,"Eastern Shore",Other,16,1,1
2020-05-10,Crater,"Black or African American",163,48,7
2020-05-10,"Mount Rogers","Black or African American",0,0,0
2020-05-10,"Central Shenandoah",White,636,46,19
2020-05-10,Southside,White,39,10,5
