"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths","Health Planning Region"
2020-07-01,Confirmed,3,0,0,Eastern
2020-07-01,Confirmed,6,1,0,Northwest
2020-07-01,Confirmed,1,0,0,Southwest
2020-07-01,Confirmed,4,0,0,Northern
2020-07-01,Probable,1,0,0,Northern
2020-06-30,Confirmed,3,0,0,Southwest
2020-06-30,Confirmed,12,1,1,Northwest
2020-06-30,Confirmed,41,3,1,Eastern
2020-06-30,Confirmed,10,2,0,Central
2020-06-30,Confirmed,15,2,0,Northern
2020-06-30,Probable,1,0,0,Southwest
2020-06-30,Probable,5,0,0,Northwest
2020-06-29,Confirmed,6,1,0,Southwest
2020-06-29,Confirmed,72,6,0,Eastern
2020-06-29,Confirmed,25,1,0,Northern
2020-06-29,Confirmed,23,1,1,Central
2020-06-29,Confirmed,16,2,1,Northwest
2020-06-29,Probable,1,0,0,Eastern
2020-06-29,Probable,3,0,0,Northwest
2020-06-29,Probable,7,0,0,Northern
2020-06-28,Confirmed,12,6,3,Northern
2020-06-28,Confirmed,17,3,3,Central
2020-06-28,Confirmed,14,3,0,Northwest
2020-06-28,Confirmed,63,7,2,Eastern
2020-06-28,Confirmed,13,3,0,Southwest
2020-06-28,Probable,3,0,0,Northern
2020-06-28,Probable,1,0,0,Central
2020-06-28,Probable,1,0,0,Northwest
2020-06-28,Probable,1,0,0,Eastern
2020-06-27,Confirmed,22,0,0,Northwest
2020-06-27,Confirmed,17,1,0,Southwest
2020-06-27,Confirmed,21,3,0,Central
2020-06-27,Confirmed,55,6,0,Eastern
2020-06-27,Confirmed,32,3,1,Northern
2020-06-27,Probable,7,0,0,Northwest
2020-06-27,Probable,1,0,0,Southwest
2020-06-27,Probable,2,0,0,Northern
2020-06-26,Confirmed,48,3,1,Northwest
2020-06-26,Confirmed,43,0,0,Southwest
2020-06-26,Confirmed,26,5,0,Central
2020-06-26,Confirmed,49,5,1,Northern
2020-06-26,Confirmed,89,2,1,Eastern
2020-06-26,Probable,6,0,0,Northern
2020-06-26,Probable,5,0,0,Northwest
2020-06-26,Probable,1,0,0,Southwest
2020-06-25,Confirmed,64,3,0,Eastern
2020-06-25,Confirmed,36,6,0,Southwest
2020-06-25,Confirmed,84,6,0,Northern
2020-06-25,Confirmed,81,4,0,Central
2020-06-25,Confirmed,36,0,5,Northwest
2020-06-25,Probable,2,0,0,Northwest
2020-06-25,Probable,1,0,0,Southwest
2020-06-25,Probable,6,0,0,Northern
2020-06-25,Probable,1,0,0,Central
2020-06-25,Probable,2,0,0,Eastern
2020-06-24,Confirmed,84,1,0,Southwest
2020-06-24,Confirmed,92,4,0,Central
2020-06-24,Confirmed,50,3,1,Northwest
2020-06-24,Confirmed,111,5,2,Eastern
2020-06-24,Confirmed,129,1,1,Northern
2020-06-24,Probable,1,0,0,Central
2020-06-24,Probable,7,0,0,Northern
2020-06-24,Probable,2,0,0,Southwest
2020-06-24,Probable,1,0,0,Eastern
2020-06-24,Probable,5,0,0,Northwest
2020-06-23,Confirmed,70,4,1,Southwest
2020-06-23,Confirmed,155,7,2,Northern
2020-06-23,Confirmed,112,5,1,Eastern
2020-06-23,Confirmed,42,3,1,Northwest
2020-06-23,Confirmed,113,5,0,Central
2020-06-23,Probable,4,0,0,Northwest
2020-06-23,Probable,3,0,0,Southwest
2020-06-23,Probable,10,0,0,Northern
2020-06-23,Probable,1,0,0,Central
2020-06-23,Probable,2,0,0,Eastern
2020-06-22,Confirmed,105,5,0,Central
2020-06-22,Confirmed,94,3,0,Southwest
2020-06-22,Confirmed,64,7,1,Northwest
2020-06-22,Confirmed,201,6,1,Northern
2020-06-22,Confirmed,114,5,1,Eastern
2020-06-22,Probable,2,0,0,Eastern
2020-06-22,Probable,2,0,0,Southwest
2020-06-22,Probable,11,0,0,Northwest
2020-06-22,Probable,3,0,0,Northern
2020-06-21,Confirmed,50,4,0,Eastern
2020-06-21,Confirmed,49,6,0,Central
2020-06-21,Confirmed,60,2,1,Southwest
2020-06-21,Confirmed,111,3,3,Northern
2020-06-21,Confirmed,41,6,4,Northwest
2020-06-21,Probable,1,0,0,Northern
2020-06-21,Probable,5,0,0,Eastern
2020-06-21,Probable,1,0,0,Central
2020-06-21,Probable,3,0,0,Northwest
2020-06-20,Confirmed,51,4,0,Central
2020-06-20,Confirmed,111,5,1,Northern
2020-06-20,Confirmed,44,3,2,Northwest
2020-06-20,Confirmed,51,4,2,Eastern
2020-06-20,Confirmed,60,0,2,Southwest
2020-06-20,Probable,3,0,0,Eastern
2020-06-20,Probable,2,0,0,Southwest
2020-06-20,Probable,7,1,0,Northwest
2020-06-19,Confirmed,82,6,1,Eastern
2020-06-19,Confirmed,71,6,1,Northwest
2020-06-19,Confirmed,53,2,0,Southwest
2020-06-19,Confirmed,135,10,3,Northern
2020-06-19,Confirmed,75,1,1,Central
2020-06-19,Probable,1,0,0,Northern
2020-06-19,Probable,7,0,0,Northwest
2020-06-19,Probable,1,0,0,Eastern
2020-06-19,Probable,2,0,0,Southwest
2020-06-18,Confirmed,94,3,0,Eastern
2020-06-18,Confirmed,91,8,0,Northwest
