"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-26,Southside,"Not Reported",117,13,8
2020-05-26,Chesapeake,White,218,35,7
2020-05-26,"New River",Other,1,1,0
2020-05-26,Norfolk,"Black or African American",211,37,4
2020-05-26,"Central Shenandoah",Other,231,13,1
2020-05-26,Southside,Other,34,1,5
2020-05-26,Pittsylvania-Danville,Other,1,0,0
2020-05-26,"Cumberland Plateau",White,19,2,0
2020-05-26,"Rappahannock Rapidan","Black or African American",54,10,1
2020-05-26,Fairfax,"Not Reported",2507,105,94
2020-05-26,Chesapeake,"Not Reported",45,3,0
2020-05-26,"Thomas Jefferson",White,248,27,13
2020-05-26,Richmond,Other,289,37,1
2020-05-26,Peninsula,"Black or African American",140,31,9
2020-05-26,Henrico,Other,199,12,3
2020-05-26,"Cumberland Plateau","Black or African American",12,0,0
2020-05-26,Loudoun,Other,472,52,7
2020-05-26,Crater,Other,18,2,1
2020-05-26,Arlington,"Black or African American",139,51,24
2020-05-26,Alexandria,"Black or African American",255,50,10
2020-05-26,Richmond,"Black or African American",355,76,16
2020-05-26,"Lord Fairfax","Not Reported",152,3,5
2020-05-26,Fairfax,"Black or African American",611,128,24
2020-05-26,"Thomas Jefferson","Black or African American",111,36,4
2020-05-26,"West Piedmont",White,72,6,2
2020-05-26,Rappahannock,"Not Reported",519,23,0
2020-05-26,"Central Shenandoah","Not Reported",218,6,1
2020-05-26,Peninsula,White,274,73,22
2020-05-26,"Rappahannock Rapidan",White,417,33,9
2020-05-26,"Prince William",White,1209,248,75
2020-05-26,"New River","Not Reported",29,0,0
2020-05-26,Chesterfield,"Not Reported",587,3,9
2020-05-26,Alleghany,Other,2,0,0
2020-05-26,Piedmont,Other,13,2,0
2020-05-26,Lenowisco,"Black or African American",0,0,0
2020-05-26,Arlington,White,647,121,47
2020-05-26,Hampton,"Black or African American",100,24,3
2020-05-26,Alexandria,White,635,66,25
2020-05-26,Hampton,"Not Reported",36,0,0
2020-05-26,"Mount Rogers",White,257,17,6
2020-05-26,Alexandria,"Not Reported",522,14,5
2020-05-26,Chickahominy,"Black or African American",72,25,8
2020-05-26,Chesapeake,"Black or African American",156,41,5
2020-05-26,"Western Tidewater","Not Reported",185,2,1
2020-05-26,"Cumberland Plateau","Not Reported",2,0,0
2020-05-26,"Western Tidewater",Other,28,1,2
2020-05-26,Loudoun,"Black or African American",93,10,2
2020-05-26,"Virginia Beach",White,326,50,17
2020-05-26,Chickahominy,Other,18,5,0
2020-05-26,"New River","Black or African American",5,1,0
2020-05-26,"Virginia Beach","Not Reported",89,3,1
2020-05-26,"Rappahannock Rapidan",Other,65,12,0
2020-05-26,Piedmont,"Not Reported",299,7,2
2020-05-26,Portsmouth,Other,20,2,0
2020-05-26,Pittsylvania-Danville,"Not Reported",12,3,0
2020-05-26,"West Piedmont","Not Reported",36,1,0
2020-05-26,Norfolk,White,118,20,2
2020-05-26,Hampton,White,39,4,0
2020-05-26,"Western Tidewater","Black or African American",239,36,16
2020-05-26,"Prince William","Not Reported",3326,37,3
2020-05-26,Fairfax,White,2624,393,158
2020-05-26,Lenowisco,Other,1,0,0
2020-05-26,"Rappahannock Rapidan","Not Reported",538,19,2
2020-05-26,"Three Rivers","Black or African American",151,10,0
2020-05-26,Henrico,"Black or African American",542,94,50
2020-05-26,Lenowisco,"Not Reported",8,1,1
2020-05-26,Chesapeake,Other,40,5,2
2020-05-26,Crater,"Not Reported",145,3,2
2020-05-26,Chickahominy,"Not Reported",176,3,1
2020-05-26,"Eastern Shore","Black or African American",578,48,15
2020-05-26,Alexandria,Other,373,45,1
2020-05-26,Chesterfield,"Black or African American",229,35,7
2020-05-26,Roanoke,"Not Reported",49,0,0
2020-05-26,Rappahannock,"Black or African American",132,22,3
2020-05-26,"Lord Fairfax",White,757,79,33
2020-05-26,"Three Rivers",White,163,16,3
2020-05-26,"Central Virginia","Not Reported",96,3,0
2020-05-26,"Eastern Shore",Other,32,2,1
2020-05-26,Crater,"Black or African American",285,60,7
2020-05-26,"Mount Rogers","Black or African American",2,0,0
2020-05-26,Lenowisco,White,33,14,3
2020-05-26,"Western Tidewater",White,158,25,18
2020-05-26,Hampton,Other,8,2,0
2020-05-26,Alleghany,White,131,20,15
2020-05-26,"Prince William",Other,1263,157,10
2020-05-26,Arlington,"Not Reported",752,80,13
2020-05-26,"West Piedmont","Black or African American",35,7,2
2020-05-26,Peninsula,Other,31,7,1
2020-05-26,Norfolk,Other,36,4,0
2020-05-26,"Lord Fairfax","Black or African American",38,3,1
2020-05-26,"Mount Rogers","Not Reported",21,1,0
2020-05-26,"Central Virginia","Black or African American",20,2,1
2020-05-26,"West Piedmont",Other,16,1,1
2020-05-26,Portsmouth,White,58,9,2
2020-05-26,"Thomas Jefferson","Not Reported",37,0,0
2020-05-26,"Three Rivers","Not Reported",129,4,3
2020-05-26,"Virginia Beach","Black or African American",149,17,3
2020-05-26,"Prince William","Black or African American",427,79,23
2020-05-26,Loudoun,"Not Reported",1004,4,6
2020-05-26,Loudoun,White,617,87,37
2020-05-26,Peninsula,"Not Reported",126,2,0
2020-05-26,Pittsylvania-Danville,"Black or African American",29,7,0
2020-05-26,Henrico,White,513,72,63
2020-05-26,Richmond,White,174,17,3
2020-05-26,Southside,"Black or African American",45,11,2
2020-05-26,Chickahominy,White,190,44,18
2020-05-26,"Thomas Jefferson",Other,55,5,2
2020-05-26,"Virginia Beach",Other,74,20,2
2020-05-26,"Central Shenandoah","Black or African American",69,3,2
2020-05-26,Chesterfield,White,353,35,26
2020-05-26,"Central Virginia",White,71,10,3
2020-05-26,Rappahannock,White,385,52,12
2020-05-26,"New River",White,63,11,1
2020-05-26,"Mount Rogers",Other,30,3,0
2020-05-26,Crater,White,108,17,6
2020-05-26,Alleghany,"Not Reported",46,3,0
2020-05-26,Arlington,Other,397,115,20
2020-05-26,Piedmont,White,158,8,3
2020-05-26,"Cumberland Plateau",Other,0,0,0
2020-05-26,Pittsylvania-Danville,White,41,15,3
2020-05-26,Roanoke,"Black or African American",20,6,2
2020-05-26,Alleghany,"Black or African American",5,1,1
2020-05-26,Richmond,"Not Reported",271,4,0
2020-05-26,"Central Virginia",Other,2,1,0
2020-05-26,Rappahannock,Other,318,42,1
2020-05-26,Roanoke,Other,2,0,0
2020-05-26,Piedmont,"Black or African American",204,26,1
2020-05-26,Chesterfield,Other,158,3,0
2020-05-26,Portsmouth,"Black or African American",130,28,7
2020-05-26,Portsmouth,"Not Reported",73,2,2
2020-05-26,Norfolk,"Not Reported",85,0,0
2020-05-26,"Eastern Shore",White,249,12,12
2020-05-26,"Eastern Shore","Not Reported",120,1,0
2020-05-26,Roanoke,White,75,3,7
2020-05-26,"Three Rivers",Other,46,3,0
2020-05-26,Fairfax,Other,4205,637,74
2020-05-26,Henrico,"Not Reported",292,1,2
2020-05-26,"Lord Fairfax",Other,188,19,6
2020-05-26,"Central Shenandoah",White,918,92,24
2020-05-26,Southside,White,66,12,6
