"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,Southside,214,34,17
2020-05-17,Chesapeake,384,77,10
2020-05-17,"Thomas Jefferson",380,65,13
2020-05-17,Roanoke,120,7,8
2020-05-17,"Eastern Shore",886,44,18
2020-05-17,"Mount Rogers",232,17,4
2020-05-17,Chickahominy,355,74,26
2020-05-17,"New River",88,12,1
2020-05-17,"Central Virginia",174,16,3
2020-05-17,Piedmont,559,38,5
2020-05-17,"Lord Fairfax",873,75,33
2020-05-17,Crater,382,77,14
2020-05-17,Hampton,161,30,3
2020-05-17,Alexandria,1476,159,34
2020-05-17,Fairfax,7734,1099,289
2020-05-17,Richmond,758,110,18
2020-05-17,Arlington,1590,318,75
2020-05-17,"Rappahannock Rapidan",679,56,11
2020-05-17,Rappahannock,962,124,14
2020-05-17,Pittsylvania-Danville,68,23,2
2020-05-17,"Prince William",4447,417,78
2020-05-17,"Cumberland Plateau",30,2,0
2020-05-17,Portsmouth,225,39,10
2020-05-17,"Virginia Beach",548,86,19
2020-05-17,"West Piedmont",77,13,3
2020-05-17,"Three Rivers",425,30,6
2020-05-17,Alleghany,161,23,6
2020-05-17,Lenowisco,42,15,4
2020-05-17,Norfolk,350,56,5
2020-05-17,"Western Tidewater",543,57,28
2020-05-17,Henrico,1252,171,113
2020-05-17,"Central Shenandoah",1188,88,24
2020-05-17,Loudoun,1446,139,48
2020-05-17,Chesterfield,1088,72,36
2020-05-17,Peninsula,491,112,31
