"Report Date","ZIP Code","Number of Cases","Number of Testing Encounters"
5/13/2020,20105,59,451
5/13/2020,20106,25,90
5/13/2020,20109,499,1309
5/13/2020,20110,533,1448
5/13/2020,20111,383,1070
5/13/2020,20112,96,588
5/13/2020,20115,18,113
5/13/2020,20117,7,47
5/13/2020,20118,Suppressed*,46
5/13/2020,20119,14,82
5/13/2020,20120,133,780
5/13/2020,20121,92,484
5/13/2020,20124,28,274
5/13/2020,20129,7,27
5/13/2020,20130,0,8
5/13/2020,20132,22,272
5/13/2020,20135,5,54
5/13/2020,20136,78,549
5/13/2020,20137,Suppressed*,20
5/13/2020,20139,Suppressed*,5
5/13/2020,20141,7,108
5/13/2020,20143,0,21
5/13/2020,20144,Suppressed*,13
5/13/2020,20147,190,1114
5/13/2020,20148,81,699
5/13/2020,20151,95,399
5/13/2020,20152,61,424
5/13/2020,20155,126,719
5/13/2020,20158,7,63
5/13/2020,20164,364,1044
5/13/2020,20165,121,663
5/13/2020,20166,59,302
5/13/2020,20169,49,452
5/13/2020,20170,332,1022
5/13/2020,20171,169,716
5/13/2020,20175,66,600
5/13/2020,20176,191,989
5/13/2020,20180,7,127
5/13/2020,20181,20,180
5/13/2020,20184,Suppressed*,29
5/13/2020,20186,36,355
5/13/2020,20187,35,316
5/13/2020,20190,111,523
5/13/2020,20191,147,668
5/13/2020,20194,17,213
5/13/2020,20197,Suppressed*,53
5/13/2020,20198,Suppressed*,36
5/13/2020,22003,594,1715
5/13/2020,22015,232,910
5/13/2020,22025,60,379
5/13/2020,22026,91,455
5/13/2020,22027,39,74
5/13/2020,22030,158,1074
5/13/2020,22031,183,813
5/13/2020,22032,83,543
5/13/2020,22033,128,705
5/13/2020,22035,0,4
5/13/2020,22039,42,315
5/13/2020,22041,409,985
5/13/2020,22042,343,1073
5/13/2020,22043,127,528
5/13/2020,22044,148,396
5/13/2020,22046,96,437
5/13/2020,22060,11,80
5/13/2020,22066,33,415
5/13/2020,22079,165,823
5/13/2020,22101,82,817
5/13/2020,22102,74,641
5/13/2020,22124,32,315
5/13/2020,22125,0,13
5/13/2020,22134,13,46
5/13/2020,22150,439,1111
5/13/2020,22151,157,509
5/13/2020,22152,117,561
5/13/2020,22153,97,565
5/13/2020,22172,73,259
5/13/2020,22180,88,554
5/13/2020,22181,27,260
5/13/2020,22182,62,512
5/13/2020,22191,722,2433
5/13/2020,22192,303,1567
5/13/2020,22193,658,2315
5/13/2020,22201,138,923
5/13/2020,22202,116,595
5/13/2020,22203,185,600
5/13/2020,22204,581,1713
5/13/2020,22205,81,484
5/13/2020,22206,103,532
5/13/2020,22207,185,947
5/13/2020,22209,48,333
5/13/2020,22211,Suppressed*,10
5/13/2020,22213,10,69
5/13/2020,22214,0,2
5/13/2020,22301,45,363
5/13/2020,22302,124,491
5/13/2020,22303,91,465
5/13/2020,22304,382,1495
5/13/2020,22305,386,765
5/13/2020,22306,423,1125
5/13/2020,22307,43,275
5/13/2020,22308,27,203
5/13/2020,22309,330,953
5/13/2020,22310,173,721
5/13/2020,22311,237,683
5/13/2020,22312,265,876
5/13/2020,22314,128,887
5/13/2020,22315,61,497
5/13/2020,22401,67,541
5/13/2020,22405,59,579
5/13/2020,22406,46,447
5/13/2020,22407,157,1118
5/13/2020,22408,55,531
5/13/2020,22427,Suppressed*,50
5/13/2020,22432,0,13
5/13/2020,22433,Suppressed*,6
5/13/2020,22435,Suppressed*,46
5/13/2020,22436,0,10
5/13/2020,22437,Suppressed*,17
5/13/2020,22438,Suppressed*,3
5/13/2020,22443,11,115
5/13/2020,22448,Suppressed*,14
5/13/2020,22454,Suppressed*,22
5/13/2020,22460,Suppressed*,18
5/13/2020,22469,Suppressed*,32
5/13/2020,22473,5,84
5/13/2020,22476,Suppressed*,3
5/13/2020,22480,0,21
5/13/2020,22482,Suppressed*,65
5/13/2020,22485,43,463
5/13/2020,22488,Suppressed*,18
5/13/2020,22503,Suppressed*,88
5/13/2020,22504,0,2
5/13/2020,22508,20,222
5/13/2020,22511,Suppressed*,11
5/13/2020,22514,Suppressed*,29
5/13/2020,22520,27,107
5/13/2020,22529,0,5
5/13/2020,22530,0,1
5/13/2020,22534,0,34
5/13/2020,22535,0,9
5/13/2020,22538,0,10
5/13/2020,22539,Suppressed*,47
5/13/2020,22542,Suppressed*,26
5/13/2020,22546,25,215
5/13/2020,22548,0,3
5/13/2020,22551,46,349
5/13/2020,22553,15,266
5/13/2020,22554,202,1199
5/13/2020,22556,102,596
5/13/2020,22560,24,138
5/13/2020,22567,Suppressed*,69
5/13/2020,22572,190,362
5/13/2020,22576,0,30
5/13/2020,22578,0,40
5/13/2020,22579,0,3
5/13/2020,22580,5,88
5/13/2020,22601,78,204
5/13/2020,22602,74,192
5/13/2020,22603,33,86
5/13/2020,22610,7,12
5/13/2020,22611,9,80
5/13/2020,22620,Suppressed*,13
5/13/2020,22623,Suppressed*,1
5/13/2020,22624,Suppressed*,12
5/13/2020,22625,Suppressed*,13
5/13/2020,22627,0,9
5/13/2020,22630,66,157
5/13/2020,22637,Suppressed*,7
5/13/2020,22639,0,3
5/13/2020,22640,Suppressed*,5
5/13/2020,22641,0,1
5/13/2020,22642,14,48
5/13/2020,22643,0,5
5/13/2020,22644,29,33
5/13/2020,22645,14,32
5/13/2020,22646,0,5
5/13/2020,22650,Suppressed*,12
5/13/2020,22652,Suppressed*,11
5/13/2020,22654,Suppressed*,8
5/13/2020,22655,44,146
5/13/2020,22656,Suppressed*,38
5/13/2020,22657,25,87
5/13/2020,22660,5,10
5/13/2020,22663,Suppressed*,4
5/13/2020,22664,72,103
5/13/2020,22701,268,727
5/13/2020,22709,0,16
5/13/2020,22711,0,1
5/13/2020,22712,46,219
5/13/2020,22713,5,20
5/13/2020,22714,5,22
5/13/2020,22715,Suppressed*,14
5/13/2020,22716,0,5
5/13/2020,22718,Suppressed*,10
5/13/2020,22719,0,3
5/13/2020,22720,0,7
5/13/2020,22723,0,2
5/13/2020,22724,7,34
5/13/2020,22726,Suppressed*,13
5/13/2020,22727,13,96
5/13/2020,22728,Suppressed*,43
5/13/2020,22729,0,5
5/13/2020,22730,0,1
5/13/2020,22731,0,4
5/13/2020,22732,Suppressed*,6
5/13/2020,22733,6,29
5/13/2020,22734,15,68
5/13/2020,22735,Suppressed*,22
5/13/2020,22736,Suppressed*,8
5/13/2020,22737,Suppressed*,36
5/13/2020,22738,Suppressed*,22
5/13/2020,22740,Suppressed*,22
5/13/2020,22741,0,5
5/13/2020,22742,6,36
5/13/2020,22743,0,1
5/13/2020,22747,0,13
5/13/2020,22749,0,3
5/13/2020,22801,424,885
5/13/2020,22802,360,826
5/13/2020,22807,Suppressed*,2
5/13/2020,22810,Suppressed*,11
5/13/2020,22811,Suppressed*,13
5/13/2020,22812,13,140
5/13/2020,22815,48,150
5/13/2020,22820,0,1
5/13/2020,22821,15,67
5/13/2020,22824,44,53
5/13/2020,22827,29,201
5/13/2020,22830,13,31
5/13/2020,22831,Suppressed*,11
5/13/2020,22832,Suppressed*,16
5/13/2020,22834,0,17
5/13/2020,22835,84,197
5/13/2020,22840,Suppressed*,58
5/13/2020,22841,7,42
5/13/2020,22842,45,77
5/13/2020,22843,Suppressed*,26
5/13/2020,22844,26,84
5/13/2020,22845,0,1
5/13/2020,22846,7,45
5/13/2020,22847,Suppressed*,10
5/13/2020,22849,11,77
5/13/2020,22850,Suppressed*,22
5/13/2020,22851,40,93
5/13/2020,22853,35,110
5/13/2020,22901,83,944
5/13/2020,22902,26,563
5/13/2020,22903,40,679
5/13/2020,22904,0,5
5/13/2020,22911,14,363
5/13/2020,22920,Suppressed*,34
5/13/2020,22922,Suppressed*,36
5/13/2020,22923,5,96
5/13/2020,22931,0,7
5/13/2020,22932,11,162
5/13/2020,22935,Suppressed*,22
5/13/2020,22936,Suppressed*,89
5/13/2020,22937,Suppressed*,35
5/13/2020,22938,Suppressed*,15
5/13/2020,22939,Suppressed*,57
5/13/2020,22940,Suppressed*,20
5/13/2020,22942,6,227
5/13/2020,22943,0,7
5/13/2020,22946,Suppressed*,4
5/13/2020,22947,Suppressed*,84
5/13/2020,22948,0,1
5/13/2020,22949,0,24
5/13/2020,22952,0,24
5/13/2020,22958,Suppressed*,28
5/13/2020,22959,Suppressed*,43
5/13/2020,22960,17,264
5/13/2020,22963,24,356
5/13/2020,22964,0,4
5/13/2020,22967,Suppressed*,21
5/13/2020,22968,7,182
5/13/2020,22969,Suppressed*,25
5/13/2020,22971,0,38
5/13/2020,22972,Suppressed*,18
5/13/2020,22973,5,144
5/13/2020,22974,5,114
5/13/2020,22976,0,7
5/13/2020,22980,29,353
5/13/2020,22989,0,3
5/13/2020,23002,16,238
5/13/2020,23004,9,36
5/13/2020,23005,24,223
5/13/2020,23009,10,105
5/13/2020,23011,Suppressed*,23
5/13/2020,23015,8,74
5/13/2020,23021,0,4
5/13/2020,23022,5,27
5/13/2020,23023,Suppressed*,5
5/13/2020,23024,18,137
5/13/2020,23025,0,6
5/13/2020,23027,Suppressed*,34
5/13/2020,23030,15,98
5/13/2020,23032,0,1
5/13/2020,23035,Suppressed*,19
5/13/2020,23038,6,30
5/13/2020,23039,Suppressed*,20
5/13/2020,23040,8,93
5/13/2020,23043,Suppressed*,14
5/13/2020,23045,0,2
5/13/2020,23047,0,17
5/13/2020,23050,Suppressed*,8
5/13/2020,23055,36,58
5/13/2020,23056,0,2
5/13/2020,23059,39,514
5/13/2020,23060,74,638
5/13/2020,23061,16,275
5/13/2020,23062,Suppressed*,50
5/13/2020,23063,53,173
5/13/2020,23064,0,2
5/13/2020,23065,Suppressed*,24
5/13/2020,23066,0,3
5/13/2020,23068,0,4
5/13/2020,23069,Suppressed*,47
5/13/2020,23070,0,5
5/13/2020,23071,Suppressed*,13
5/13/2020,23072,7,175
5/13/2020,23075,104,261
5/13/2020,23076,0,10
5/13/2020,23079,0,1
5/13/2020,23083,Suppressed*,38
5/13/2020,23084,5,62
5/13/2020,23085,Suppressed*,4
5/13/2020,23086,Suppressed*,32
5/13/2020,23089,8,113
5/13/2020,23091,0,8
