"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
6/2/2020,20105,84,910
6/2/2020,20106,30,138
6/2/2020,20109,924,2931
6/2/2020,20110,1210,3724
6/2/2020,20111,746,2315
6/2/2020,20112,168,1145
6/2/2020,20115,33,198
6/2/2020,20117,7,78
6/2/2020,20118,Suppressed*,51
6/2/2020,20119,21,144
6/2/2020,20120,255,1362
6/2/2020,20121,189,922
6/2/2020,20124,52,425
6/2/2020,20129,7,31
6/2/2020,20130,0,8
6/2/2020,20132,47,465
6/2/2020,20135,5,94
6/2/2020,20136,153,971
6/2/2020,20137,12,57
6/2/2020,20139,Suppressed*,9
6/2/2020,20141,14,183
6/2/2020,20143,Suppressed*,37
6/2/2020,20144,Suppressed*,22
6/2/2020,20147,301,2208
6/2/2020,20148,136,1194
6/2/2020,20151,230,915
6/2/2020,20152,136,1131
6/2/2020,20155,200,1399
6/2/2020,20158,12,114
6/2/2020,20164,819,2651
6/2/2020,20165,217,1422
6/2/2020,20166,122,637
6/2/2020,20169,84,796
6/2/2020,20170,767,2262
6/2/2020,20171,241,1210
6/2/2020,20175,155,1192
6/2/2020,20176,484,2085
6/2/2020,20180,17,211
6/2/2020,20181,34,330
6/2/2020,20184,Suppressed*,35
6/2/2020,20186,57,657
6/2/2020,20187,60,522
6/2/2020,20190,187,1198
6/2/2020,20191,252,1124
6/2/2020,20194,30,340
6/2/2020,20197,5,73
6/2/2020,20198,6,51
6/2/2020,22003,1062,3541
6/2/2020,22015,340,1566
6/2/2020,22025,99,700
6/2/2020,22026,188,943
6/2/2020,22027,42,111
6/2/2020,22030,341,2229
6/2/2020,22031,331,1792
6/2/2020,22032,113,889
6/2/2020,22033,215,1306
6/2/2020,22035,Suppressed*,11
6/2/2020,22039,53,495
6/2/2020,22041,635,2437
6/2/2020,22042,650,2145
6/2/2020,22043,192,844
6/2/2020,22044,226,786
6/2/2020,22046,170,872
6/2/2020,22060,13,142
6/2/2020,22066,65,502
6/2/2020,22079,268,1383
6/2/2020,22101,115,1324
6/2/2020,22102,95,882
6/2/2020,22124,52,509
6/2/2020,22125,Suppressed*,36
6/2/2020,22134,16,70
6/2/2020,22150,672,2529
6/2/2020,22151,249,886
6/2/2020,22152,170,967
6/2/2020,22153,132,961
6/2/2020,22172,127,523
6/2/2020,22180,175,909
6/2/2020,22181,50,377
6/2/2020,22182,95,802
6/2/2020,22191,1309,5141
6/2/2020,22192,546,3250
6/2/2020,22193,1210,4926
6/2/2020,22201,189,1300
6/2/2020,22202,175,923
6/2/2020,22203,285,1164
6/2/2020,22204,864,3286
6/2/2020,22205,118,993
6/2/2020,22206,149,909
6/2/2020,22207,243,1379
6/2/2020,22209,74,501
6/2/2020,22211,Suppressed*,15
6/2/2020,22213,16,112
6/2/2020,22214,0,2
6/2/2020,22301,67,624
6/2/2020,22302,201,1245
6/2/2020,22303,175,762
6/2/2020,22304,585,3091
6/2/2020,22305,553,1770
6/2/2020,22306,740,2361
6/2/2020,22307,61,417
6/2/2020,22308,60,341
6/2/2020,22309,530,1729
6/2/2020,22310,257,1147
6/2/2020,22311,393,1505
6/2/2020,22312,464,1773
6/2/2020,22314,168,1470
6/2/2020,22315,91,829
6/2/2020,22401,150,1164
6/2/2020,22405,107,1030
6/2/2020,22406,79,821
6/2/2020,22407,360,2093
6/2/2020,22408,125,978
6/2/2020,22427,7,82
6/2/2020,22432,Suppressed*,24
6/2/2020,22433,Suppressed*,7
6/2/2020,22435,Suppressed*,70
6/2/2020,22436,0,15
6/2/2020,22437,Suppressed*,22
6/2/2020,22438,Suppressed*,8
6/2/2020,22443,23,221
6/2/2020,22448,Suppressed*,23
6/2/2020,22454,Suppressed*,37
6/2/2020,22460,Suppressed*,43
6/2/2020,22469,9,61
6/2/2020,22473,18,159
6/2/2020,22476,Suppressed*,6
6/2/2020,22480,0,29
6/2/2020,22482,Suppressed*,99
6/2/2020,22485,68,749
6/2/2020,22488,Suppressed*,31
6/2/2020,22503,5,154
6/2/2020,22504,0,7
6/2/2020,22508,45,471
6/2/2020,22509,Suppressed*,1
6/2/2020,22511,5,29
6/2/2020,22514,7,56
6/2/2020,22520,32,162
6/2/2020,22529,Suppressed*,8
6/2/2020,22530,0,2
6/2/2020,22534,Suppressed*,62
6/2/2020,22535,Suppressed*,18
6/2/2020,22538,0,9
6/2/2020,22539,Suppressed*,65
6/2/2020,22542,5,76
6/2/2020,22546,42,408
6/2/2020,22548,0,3
6/2/2020,22551,68,604
6/2/2020,22553,34,459
6/2/2020,22554,357,2014
6/2/2020,22556,178,989
6/2/2020,22560,35,476
6/2/2020,22567,6,117
6/2/2020,22572,276,550
6/2/2020,22576,0,43
6/2/2020,22578,Suppressed*,55
6/2/2020,22579,Suppressed*,7
6/2/2020,22580,12,138
6/2/2020,22601,205,7186
6/2/2020,22602,136,318
6/2/2020,22603,77,194
6/2/2020,22610,8,19
6/2/2020,22611,13,113
6/2/2020,22620,7,38
6/2/2020,22623,Suppressed*,2
6/2/2020,22624,Suppressed*,15
6/2/2020,22625,6,22
6/2/2020,22627,0,14
6/2/2020,22630,137,506
6/2/2020,22637,Suppressed*,12
6/2/2020,22639,0,9
6/2/2020,22640,Suppressed*,7
6/2/2020,22641,0,1
6/2/2020,22642,19,70
6/2/2020,22643,0,8
6/2/2020,22644,46,45
6/2/2020,22645,19,43
6/2/2020,22646,0,6
6/2/2020,22650,6,13
6/2/2020,22652,6,16
6/2/2020,22654,Suppressed*,5
