"﻿Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-06-22,24471,7,86
2020-06-22,24323,Suppressed*,19
2020-06-22,24646,0,15
2020-06-22,24354,19,449
2020-06-22,23894,Suppressed*,40
2020-06-22,22401,215,1979
2020-06-22,22182,121,1281
2020-06-22,24630,0,147
2020-06-22,23140,22,383
2020-06-22,23839,Suppressed*,53
2020-06-22,24477,29,422
2020-06-22,20176,683,3932
2020-06-22,20137,16,114
2020-06-22,24649,0,50
2020-06-22,22947,8,245
2020-06-22,23851,43,1399
2020-06-22,22601,299,10158
2020-06-22,22509,Suppressed*,7
2020-06-22,22015,369,2304
2020-06-22,23690,0,123
2020-06-22,24348,10,164
2020-06-22,22637,Suppressed*,29
2020-06-22,20139,Suppressed*,13
2020-06-22,24176,Suppressed*,34
2020-06-22,23314,16,380
2020-06-22,24421,Suppressed*,121
2020-06-22,20198,6,104
2020-06-22,22976,0,16
2020-06-22,22435,Suppressed*,134
2020-06-22,24605,Suppressed*,300
2020-06-22,24340,9,127
2020-06-22,23221,43,1039
2020-06-22,23336,10,143
2020-06-22,22044,270,1127
2020-06-22,24065,Suppressed*,77
2020-06-22,22851,71,214
2020-06-22,22181,63,653
2020-06-22,24014,61,384
2020-06-22,23237,329,2254
2020-06-22,24266,Suppressed*,272
2020-06-22,24531,8,296
2020-06-22,23942,14,107
2020-06-22,23883,5,106
2020-06-22,23231,173,2710
2020-06-22,24078,47,341
2020-06-22,23460,Suppressed*,32
2020-06-22,24102,0,20
2020-06-22,22611,23,239
2020-06-22,23967,Suppressed*,60
2020-06-22,23923,8,150
2020-06-22,24378,Suppressed*,27
2020-06-22,24416,12,189
2020-06-22,24375,0,18
2020-06-22,24651,0,364
2020-06-22,22576,0,72
2020-06-22,22066,75,811
2020-06-22,23486,Suppressed*,8
2020-06-22,23701,151,1753
2020-06-22,24011,0,11949
2020-06-22,23806,0,180
2020-06-22,23551,0,7
2020-06-22,23875,46,783
2020-06-22,23821,Suppressed*,164
2020-06-22,23846,Suppressed*,43
2020-06-22,23156,5,65
2020-06-22,20169,94,1205
2020-06-22,24541,36,1157
2020-06-22,23898,10,105
2020-06-22,23876,0,12
2020-06-22,22640,Suppressed*,12
2020-06-22,23669,80,2311
2020-06-22,22035,Suppressed*,39
2020-06-22,24301,13,573
2020-06-22,23917,12,238
2020-06-22,23503,95,1364
2020-06-22,22939,12,329
2020-06-22,24216,10,100
2020-06-22,24538,Suppressed*,208
2020-06-22,24473,0,24
2020-06-22,20166,194,1054
2020-06-22,22041,728,3147
2020-06-22,24631,0,34
2020-06-22,22193,1474,7232
2020-06-22,20135,10,151
2020-06-22,22201,216,2012
2020-06-22,23434,222,3690
2020-06-22,20144,Suppressed*,38
2020-06-22,23303,19,116
2020-06-22,24350,Suppressed*,31
2020-06-22,23395,18,79
2020-06-22,24598,Suppressed*,74
2020-06-22,20120,327,2117
2020-06-22,22812,29,454
2020-06-22,20180,25,379
2020-06-22,24079,Suppressed*,29
2020-06-22,22134,18,118
2020-06-22,23059,94,1889
2020-06-22,24374,0,28
2020-06-22,23461,Suppressed*,61
2020-06-22,24016,13,203
2020-06-22,22508,57,793
2020-06-22,23139,52,1278
2020-06-22,23837,53,232
2020-06-22,22802,511,2170
2020-06-22,24445,0,52
2020-06-22,23021,0,12
2020-06-22,24503,17,922
2020-06-22,22952,5,110
2020-06-22,22042,786,3163
2020-06-22,22973,11,476
2020-06-22,24258,0,36
2020-06-22,24382,19,539
2020-06-22,22656,21,101
2020-06-22,22211,Suppressed*,19
2020-06-22,20191,311,1716
2020-06-22,24211,10,629
2020-06-22,23930,25,416
2020-06-22,20110,1450,6156
2020-06-22,22438,Suppressed*,38
2020-06-22,22844,43,240
2020-06-22,23602,82,1552
2020-06-22,24589,0,104
2020-06-22,24603,Suppressed*,18
2020-06-22,22719,0,10
2020-06-22,23102,9,169
2020-06-22,22315,105,1313
2020-06-22,23228,286,2735
2020-06-22,24517,Suppressed*,285
2020-06-22,22749,0,16
2020-06-22,22902,139,1629
2020-06-22,24248,Suppressed*,75
2020-06-22,22650,Suppressed*,18
2020-06-22,23888,10,120
2020-06-22,24151,25,584
2020-06-22,20117,8,118
2020-06-22,20170,1008,3500
2020-06-22,22967,Suppressed*,78
2020-06-22,23976,Suppressed*,25
2020-06-22,23229,239,2592
2020-06-22,23603,5,114
2020-06-22,23513,96,1590
2020-06-22,24558,7,315
2020-06-22,23032,0,15
2020-06-22,22204,980,4925
2020-06-22,22191,1537,7252
2020-06-22,24139,9,37
2020-06-22,23845,0,25
2020-06-22,23056,0,3
2020-06-22,23150,97,923
2020-06-22,22949,0,89
2020-06-22,24013,21,122
2020-06-22,20121,226,1419
2020-06-22,24459,6,26
2020-06-22,23462,205,3893
2020-06-22,20190,217,1707
2020-06-22,24601,0,2
2020-06-22,20106,38,245
2020-06-22,24595,0,10
2020-06-22,23422,7,32
2020-06-22,22824,81,186
2020-06-22,23966,10,180
2020-06-22,22932,22,444
2020-06-22,22202,206,1469
2020-06-22,23188,156,2407
2020-06-22,23702,34,542
