"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/24/2020,20105,110,1490
6/24/2020,20106,39,249
6/24/2020,20109,1141,4377
6/24/2020,20110,1459,6248
6/24/2020,20111,932,3573
6/24/2020,20112,217,1765
6/24/2020,20115,39,332
6/24/2020,20117,8,118
6/24/2020,20118,Suppressed*,95
6/24/2020,20119,28,238
6/24/2020,20120,334,2188
6/24/2020,20121,232,1462
6/24/2020,20124,66,748
6/24/2020,20129,7,61
6/24/2020,20130,0,20
6/24/2020,20132,65,954
6/24/2020,20135,10,158
6/24/2020,20136,190,1560
6/24/2020,20137,16,117
6/24/2020,20139,Suppressed*,13
6/24/2020,20141,21,355
6/24/2020,20143,Suppressed*,64
6/24/2020,20144,Suppressed*,43
6/24/2020,20147,384,4068
6/24/2020,20148,187,2345
6/24/2020,20151,272,1437
6/24/2020,20152,170,1765
6/24/2020,20155,246,2228
6/24/2020,20158,17,236
6/24/2020,20164,1180,4499
6/24/2020,20165,286,3006
6/24/2020,20166,196,1085
6/24/2020,20169,95,1245
6/24/2020,20170,1024,3597
6/24/2020,20171,297,2047
6/24/2020,20175,230,2430
6/24/2020,20176,701,4100
6/24/2020,20180,25,391
6/24/2020,20181,42,535
6/24/2020,20184,Suppressed*,51
6/24/2020,20186,75,1276
6/24/2020,20187,74,968
6/24/2020,20190,218,1752
6/24/2020,20191,319,1780
6/24/2020,20194,36,565
6/24/2020,20197,7,146
6/24/2020,20198,6,107
6/24/2020,22003,1242,5155
6/24/2020,22015,371,2377
6/24/2020,22025,119,1079
6/24/2020,22026,243,1529
6/24/2020,22027,55,167
6/24/2020,22030,402,3457
6/24/2020,22031,399,2653
6/24/2020,22032,130,1413
6/24/2020,22033,255,2114
6/24/2020,22035,Suppressed*,39
6/24/2020,22039,59,845
6/24/2020,22041,730,3202
6/24/2020,22042,799,3254
6/24/2020,22043,241,1364
6/24/2020,22044,269,1156
6/24/2020,22046,202,1290
6/24/2020,22060,15,190
6/24/2020,22066,76,849
6/24/2020,22079,306,2016
6/24/2020,22101,128,2040
6/24/2020,22102,126,1404
6/24/2020,22124,63,861
6/24/2020,22125,Suppressed*,56
6/24/2020,22134,18,118
6/24/2020,22150,768,3472
6/24/2020,22151,279,1295
6/24/2020,22152,203,1503
6/24/2020,22153,166,1573
6/24/2020,22172,151,815
6/24/2020,22180,218,1511
6/24/2020,22181,64,677
6/24/2020,22182,122,1326
6/24/2020,22191,1584,7499
6/24/2020,22192,695,5236
6/24/2020,22193,1496,7428
6/24/2020,22201,216,2066
6/24/2020,22202,210,1514
6/24/2020,22203,326,1898
6/24/2020,22204,981,5009
6/24/2020,22205,138,1482
6/24/2020,22206,174,1447
6/24/2020,22207,272,2299
6/24/2020,22209,85,766
6/24/2020,22211,Suppressed*,19
6/24/2020,22213,18,181
6/24/2020,22214,0,3
6/24/2020,22301,82,914
6/24/2020,22302,237,2317
6/24/2020,22303,211,1098
6/24/2020,22304,668,4206
6/24/2020,22305,589,2190
6/24/2020,22306,847,3156
6/24/2020,22307,74,674
6/24/2020,22308,69,581
6/24/2020,22309,632,2469
6/24/2020,22310,288,1717
6/24/2020,22311,439,2268
6/24/2020,22312,568,2574
6/24/2020,22314,196,2106
6/24/2020,22315,106,1374
6/24/2020,22401,224,2014
6/24/2020,22405,138,1783
6/24/2020,22406,115,1447
6/24/2020,22407,576,4420
6/24/2020,22408,191,1772
6/24/2020,22427,15,239
