"Report Date","ZIP Code","Number of Cases","Number of Testing Encounters"
2020-05-14,20105,61,457
2020-05-14,20106,25,93
2020-05-14,20109,527,1356
2020-05-14,20110,588,1496
2020-05-14,20111,417,1104
2020-05-14,20112,100,613
2020-05-14,20115,18,116
2020-05-14,20117,7,49
2020-05-14,20118,Suppressed*,47
2020-05-14,20119,14,83
2020-05-14,20120,137,803
2020-05-14,20121,95,496
2020-05-14,20124,31,285
2020-05-14,20129,7,27
2020-05-14,20130,0,8
2020-05-14,20132,24,280
2020-05-14,20135,5,55
2020-05-14,20136,83,564
2020-05-14,20137,Suppressed*,21
2020-05-14,20139,Suppressed*,5
2020-05-14,20141,7,111
2020-05-14,20143,0,22
2020-05-14,20144,Suppressed*,13
2020-05-14,20147,194,1151
2020-05-14,20148,82,726
2020-05-14,20151,99,412
2020-05-14,20152,62,439
2020-05-14,20155,130,739
2020-05-14,20158,7,64
2020-05-14,20164,390,1083
2020-05-14,20165,122,681
2020-05-14,20166,63,312
2020-05-14,20169,51,464
2020-05-14,20170,358,1055
2020-05-14,20171,176,734
2020-05-14,20175,70,611
2020-05-14,20176,202,1014
2020-05-14,20180,9,133
2020-05-14,20181,24,188
2020-05-14,20184,Suppressed*,29
2020-05-14,20186,37,363
2020-05-14,20187,35,327
2020-05-14,20190,114,536
2020-05-14,20191,151,693
2020-05-14,20194,18,220
2020-05-14,20197,Suppressed*,55
2020-05-14,20198,Suppressed*,37
2020-05-14,22003,626,1771
2020-05-14,22015,238,944
2020-05-14,22025,66,392
2020-05-14,22026,98,479
2020-05-14,22027,39,76
2020-05-14,22030,165,1110
2020-05-14,22031,192,839
2020-05-14,22032,84,560
2020-05-14,22033,130,726
2020-05-14,22035,0,4
2020-05-14,22039,44,326
2020-05-14,22041,427,1015
2020-05-14,22042,360,1098
2020-05-14,22043,133,539
2020-05-14,22044,151,409
2020-05-14,22046,97,446
2020-05-14,22060,11,80
2020-05-14,22066,34,426
2020-05-14,22079,175,854
2020-05-14,22101,85,838
2020-05-14,22102,75,660
2020-05-14,22124,32,327
2020-05-14,22125,0,14
2020-05-14,22134,13,46
2020-05-14,22150,463,1150
2020-05-14,22151,160,522
2020-05-14,22152,120,579
2020-05-14,22153,100,581
2020-05-14,22172,75,270
2020-05-14,22180,98,583
2020-05-14,22181,27,264
2020-05-14,22182,62,529
2020-05-14,22191,767,2532
2020-05-14,22192,312,1616
2020-05-14,22193,692,2417
2020-05-14,22201,142,949
2020-05-14,22202,121,620
2020-05-14,22203,187,614
2020-05-14,22204,601,1762
2020-05-14,22205,81,499
2020-05-14,22206,106,554
2020-05-14,22207,189,968
2020-05-14,22209,50,349
2020-05-14,22211,Suppressed*,10
2020-05-14,22213,10,69
2020-05-14,22214,0,2
2020-05-14,22301,46,377
2020-05-14,22302,129,518
2020-05-14,22303,98,475
2020-05-14,22304,393,1549
2020-05-14,22305,393,787
2020-05-14,22306,440,1152
2020-05-14,22307,43,282
2020-05-14,22308,27,215
2020-05-14,22309,345,979
2020-05-14,22310,177,735
2020-05-14,22311,251,710
2020-05-14,22312,273,909
2020-05-14,22314,134,914
2020-05-14,22315,65,515
2020-05-14,22401,75,561
2020-05-14,22405,60,604
2020-05-14,22406,47,457
2020-05-14,22407,167,1155
2020-05-14,22408,55,542
2020-05-14,22427,Suppressed*,53
2020-05-14,22432,Suppressed*,14
2020-05-14,22433,Suppressed*,6
2020-05-14,22435,Suppressed*,48
2020-05-14,22436,0,10
2020-05-14,22437,Suppressed*,17
2020-05-14,22438,Suppressed*,4
2020-05-14,22443,11,119
2020-05-14,22448,Suppressed*,14
2020-05-14,22454,Suppressed*,25
2020-05-14,22460,Suppressed*,19
2020-05-14,22469,Suppressed*,32
2020-05-14,22473,7,88
2020-05-14,22476,Suppressed*,4
2020-05-14,22480,0,22
2020-05-14,22482,Suppressed*,65
2020-05-14,22485,43,472
2020-05-14,22488,Suppressed*,20
2020-05-14,22503,Suppressed*,90
2020-05-14,22504,0,3
2020-05-14,22508,20,230
2020-05-14,22511,Suppressed*,11
2020-05-14,22514,Suppressed*,29
2020-05-14,22520,27,110
2020-05-14,22529,0,5
2020-05-14,22530,0,1
2020-05-14,22534,0,37
2020-05-14,22535,0,9
2020-05-14,22538,0,10
2020-05-14,22539,Suppressed*,49
2020-05-14,22542,Suppressed*,28
2020-05-14,22546,25,218
2020-05-14,22548,0,3
2020-05-14,22551,48,356
2020-05-14,22553,15,269
2020-05-14,22554,206,1238
2020-05-14,22556,107,617
2020-05-14,22560,24,143
2020-05-14,22567,Suppressed*,72
2020-05-14,22572,190,368
2020-05-14,22576,0,30
2020-05-14,22578,0,40
2020-05-14,22579,Suppressed*,4
2020-05-14,22580,5,89
2020-05-14,22601,80,213
2020-05-14,22602,81,204
2020-05-14,22603,33,88
2020-05-14,22610,7,13
2020-05-14,22611,9,84
2020-05-14,22620,Suppressed*,14
2020-05-14,22623,Suppressed*,0
2020-05-14,22624,Suppressed*,12
2020-05-14,22625,Suppressed*,15
2020-05-14,22627,0,10
2020-05-14,22630,68,169
2020-05-14,22637,Suppressed*,8
2020-05-14,22639,0,3
2020-05-14,22640,Suppressed*,5
2020-05-14,22641,0,1
2020-05-14,22642,14,51
2020-05-14,22643,0,5
2020-05-14,22644,30,35
2020-05-14,22645,14,32
2020-05-14,22646,0,5
2020-05-14,22650,Suppressed*,12
2020-05-14,22652,Suppressed*,12
2020-05-14,22654,Suppressed*,8
2020-05-14,22655,46,155
2020-05-14,22656,Suppressed*,38
2020-05-14,22657,25,89
2020-05-14,22660,5,10
2020-05-14,22663,Suppressed*,4
2020-05-14,22664,76,110
2020-05-14,22701,278,760
2020-05-14,22709,0,16
2020-05-14,22711,0,2
2020-05-14,22712,49,226
2020-05-14,22713,5,23
2020-05-14,22714,5,22
2020-05-14,22715,Suppressed*,14
2020-05-14,22716,0,5
2020-05-14,22718,Suppressed*,12
2020-05-14,22719,0,3
2020-05-14,22720,0,7
2020-05-14,22723,0,2
2020-05-14,22724,6,37
2020-05-14,22726,Suppressed*,13
2020-05-14,22727,14,102
2020-05-14,22728,Suppressed*,43
2020-05-14,22729,0,6
2020-05-14,22730,0,1
2020-05-14,22731,0,4
2020-05-14,22732,Suppressed*,7
2020-05-14,22733,6,29
2020-05-14,22734,15,71
2020-05-14,22735,Suppressed*,24
2020-05-14,22736,Suppressed*,8
2020-05-14,22737,Suppressed*,38
2020-05-14,22738,Suppressed*,22
2020-05-14,22740,Suppressed*,23
2020-05-14,22741,0,5
2020-05-14,22742,7,38
2020-05-14,22743,0,1
2020-05-14,22747,0,14
2020-05-14,22749,0,4
2020-05-14,22801,431,900
2020-05-14,22802,364,839
2020-05-14,22807,Suppressed*,2
2020-05-14,22810,Suppressed*,11
2020-05-14,22811,Suppressed*,13
2020-05-14,22812,13,141
2020-05-14,22815,50,152
2020-05-14,22820,0,1
2020-05-14,22821,15,70
2020-05-14,22824,44,55
2020-05-14,22827,29,206
2020-05-14,22830,13,31
2020-05-14,22831,Suppressed*,11
2020-05-14,22832,Suppressed*,16
2020-05-14,22834,0,17
2020-05-14,22835,84,195
2020-05-14,22840,Suppressed*,60
2020-05-14,22841,8,43
2020-05-14,22842,47,80
2020-05-14,22843,Suppressed*,26
2020-05-14,22844,26,85
2020-05-14,22845,0,1
2020-05-14,22846,6,47
2020-05-14,22847,Suppressed*,11
2020-05-14,22849,11,77
2020-05-14,22850,5,24
2020-05-14,22851,43,95
2020-05-14,22853,36,113
2020-05-14,22901,86,977
2020-05-14,22902,26,583
2020-05-14,22903,41,689
2020-05-14,22904,0,5
2020-05-14,22911,14,378
2020-05-14,22920,Suppressed*,34
2020-05-14,22922,Suppressed*,36
2020-05-14,22923,5,98
2020-05-14,22931,0,7
2020-05-14,22932,11,166
2020-05-14,22935,Suppressed*,23
2020-05-14,22936,Suppressed*,90
2020-05-14,22937,Suppressed*,38
2020-05-14,22938,Suppressed*,16
2020-05-14,22939,Suppressed*,60
2020-05-14,22940,Suppressed*,20
2020-05-14,22942,6,234
2020-05-14,22943,0,7
2020-05-14,22946,Suppressed*,4
2020-05-14,22947,Suppressed*,86
2020-05-14,22948,0,1
2020-05-14,22949,0,24
2020-05-14,22952,0,24
2020-05-14,22958,Suppressed*,29
2020-05-14,22959,Suppressed*,46
2020-05-14,22960,17,276
2020-05-14,22963,24,367
2020-05-14,22964,0,4
2020-05-14,22967,Suppressed*,22
2020-05-14,22968,7,184
2020-05-14,22969,Suppressed*,28
2020-05-14,22971,0,38
2020-05-14,22972,Suppressed*,19
2020-05-14,22973,5,149
2020-05-14,22974,5,117
2020-05-14,22976,0,7
2020-05-14,22980,29,357
2020-05-14,22989,0,3
2020-05-14,23002,16,246
2020-05-14,23004,10,38
2020-05-14,23005,25,235
2020-05-14,23009,11,109
