"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-07,Southside,"Not Reported",96,19,7
2020-05-07,"Lord Fairfax","Hispanic or Latino",131,14,1
2020-05-07,"Eastern Shore","Not Hispanic or Latino",460,27,8
2020-05-07,Portsmouth,"Hispanic or Latino",5,2,0
2020-05-07,Fairfax,"Not Reported",1420,94,77
2020-05-07,Richmond,"Hispanic or Latino",79,9,1
2020-05-07,Chesapeake,"Not Reported",100,9,2
2020-05-07,Arlington,"Hispanic or Latino",252,75,4
2020-05-07,"West Piedmont","Not Hispanic or Latino",37,5,1
2020-05-07,Fairfax,"Not Hispanic or Latino",1551,429,123
2020-05-07,Piedmont,"Hispanic or Latino",16,0,0
2020-05-07,Crater,"Not Hispanic or Latino",128,35,7
2020-05-07,Chickahominy,"Not Hispanic or Latino",126,46,19
2020-05-07,"New River","Not Hispanic or Latino",48,11,1
2020-05-07,"Lord Fairfax","Not Reported",182,8,3
2020-05-07,Rappahannock,"Not Reported",235,20,1
2020-05-07,"Central Shenandoah","Not Reported",202,2,4
2020-05-07,"Central Virginia","Not Hispanic or Latino",43,7,1
2020-05-07,Lenowisco,"Not Hispanic or Latino",21,9,1
2020-05-07,"Cumberland Plateau","Not Hispanic or Latino",15,2,0
2020-05-07,"Western Tidewater","Not Hispanic or Latino",289,51,23
2020-05-07,"New River","Not Reported",32,1,0
2020-05-07,Chesterfield,"Not Reported",503,18,17
2020-05-07,Chesterfield,"Hispanic or Latino",57,1,0
2020-05-07,Hampton,"Not Hispanic or Latino",93,26,3
2020-05-07,Chesapeake,"Not Hispanic or Latino",197,54,6
2020-05-07,Peninsula,"Hispanic or Latino",25,7,1
2020-05-07,Arlington,"Not Reported",684,68,13
2020-05-07,Roanoke,"Not Hispanic or Latino",57,6,1
2020-05-07,"Lord Fairfax","Not Hispanic or Latino",321,32,11
2020-05-07,"Eastern Shore","Hispanic or Latino",101,2,2
2020-05-07,"Mount Rogers","Not Reported",8,2,0
2020-05-07,"Three Rivers","Not Hispanic or Latino",186,19,2
2020-05-07,"Thomas Jefferson","Not Reported",30,1,0
2020-05-07,"Three Rivers","Not Reported",101,6,3
2020-05-07,Arlington,"Not Hispanic or Latino",312,79,35
2020-05-07,Alleghany,"Not Hispanic or Latino",86,15,3
2020-05-07,Loudoun,"Not Reported",347,6,5
2020-05-07,Fairfax,"Hispanic or Latino",2145,323,18
2020-05-07,Peninsula,"Not Reported",74,3,3
2020-05-07,Crater,"Hispanic or Latino",5,0,0
2020-05-07,Piedmont,"Not Hispanic or Latino",218,18,3
2020-05-07,Henrico,"Hispanic or Latino",52,11,2
2020-05-07,Alexandria,"Not Hispanic or Latino",334,69,21
2020-05-07,"Central Virginia","Hispanic or Latino",11,1,1
2020-05-07,Alleghany,"Not Reported",40,1,0
2020-05-07,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-07,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-07,Chesterfield,"Not Hispanic or Latino",228,42,15
2020-05-07,Pittsylvania-Danville,"Not Hispanic or Latino",42,16,2
2020-05-07,"Mount Rogers","Hispanic or Latino",43,0,0
2020-05-07,Richmond,"Not Reported",131,12,1
2020-05-07,Peninsula,"Not Hispanic or Latino",292,95,24
2020-05-07,Chesapeake,"Hispanic or Latino",14,5,1
2020-05-07,Southside,"Hispanic or Latino",1,0,0
2020-05-07,"Thomas Jefferson","Not Hispanic or Latino",282,59,13
2020-05-07,Norfolk,"Not Hispanic or Latino",197,42,5
2020-05-07,Portsmouth,"Not Reported",103,7,1
2020-05-07,Norfolk,"Not Reported",54,2,0
2020-05-07,"Three Rivers","Hispanic or Latino",19,0,0
2020-05-07,"Eastern Shore","Not Reported",51,0,0
2020-05-07,Alleghany,"Hispanic or Latino",3,0,0
2020-05-07,Henrico,"Not Reported",436,26,25
2020-05-07,Henrico,"Not Hispanic or Latino",537,109,82
2020-05-07,Loudoun,"Not Hispanic or Latino",398,66,19
2020-05-07,Hampton,"Not Reported",33,2,0
2020-05-07,"Rappahannock Rapidan","Not Hispanic or Latino",90,14,5
2020-05-07,Alexandria,"Not Reported",263,7,4
2020-05-07,Rappahannock,"Not Hispanic or Latino",240,54,10
2020-05-07,"Western Tidewater","Not Reported",170,2,1
2020-05-07,"Cumberland Plateau","Not Reported",13,0,0
2020-05-07,Alexandria,"Hispanic or Latino",463,51,4
2020-05-07,"Virginia Beach","Not Hispanic or Latino",324,70,15
2020-05-07,"Prince William","Hispanic or Latino",927,164,6
2020-05-07,"Virginia Beach","Not Reported",105,8,1
2020-05-07,"Central Shenandoah","Hispanic or Latino",387,20,2
2020-05-07,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-07,"Mount Rogers","Not Hispanic or Latino",79,14,4
2020-05-07,Piedmont,"Not Reported",112,8,0
2020-05-07,Southside,"Not Hispanic or Latino",47,7,3
2020-05-07,"Thomas Jefferson","Hispanic or Latino",16,0,0
2020-05-07,Pittsylvania-Danville,"Not Reported",13,4,0
