"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-16,Southside,323,45,26
2020-06-16,Chesapeake,678,102,16
2020-06-16,"Thomas Jefferson",717,81,19
2020-06-16,Roanoke,270,11,10
2020-06-16,"Eastern Shore",1271,102,41
2020-06-16,"Mount Rogers",573,63,22
2020-06-16,Chickahominy,570,102,35
2020-06-16,"New River",152,18,4
2020-06-16,"Central Virginia",280,17,4
2020-06-16,Piedmont,912,73,7
2020-06-16,"Lord Fairfax",1749,148,62
2020-06-16,Crater,1253,117,21
2020-06-16,Hampton,246,37,5
2020-06-16,Alexandria,2168,224,47
2020-06-16,Fairfax,13228,1527,441
2020-06-16,Richmond,1848,191,29
2020-06-16,Arlington,2363,407,125
2020-06-16,"Rappahannock Rapidan",1372,103,18
2020-06-16,Rappahannock,2166,192,30
2020-06-16,Pittsylvania-Danville,136,32,3
2020-06-16,"Prince William",8326,753,147
2020-06-16,"Cumberland Plateau",36,2,0
2020-06-16,Portsmouth,387,59,12
2020-06-16,"Virginia Beach",909,110,27
2020-06-16,"West Piedmont",341,33,5
2020-06-16,"Three Rivers",586,46,10
2020-06-16,Alleghany,278,27,14
2020-06-16,Lenowisco,46,16,4
2020-06-16,Norfolk,681,84,7
2020-06-16,"Western Tidewater",704,78,46
2020-06-16,Henrico,2311,240,137
2020-06-16,"Central Shenandoah",1798,146,31
2020-06-16,Loudoun,3439,206,76
2020-06-16,Chesterfield,2429,128,56
2020-06-16,Peninsula,785,123,33
