"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-08,Southside,"Not Reported",99,20,7
2020-05-08,"Lord Fairfax","Hispanic or Latino",137,14,1
2020-05-08,"Eastern Shore","Not Hispanic or Latino",475,29,10
2020-05-08,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-08,Fairfax,"Not Reported",1454,91,75
2020-05-08,Richmond,"Hispanic or Latino",84,10,1
2020-05-08,Chesapeake,"Not Reported",97,9,2
2020-05-08,Arlington,"Hispanic or Latino",258,75,5
2020-05-08,"West Piedmont","Not Hispanic or Latino",38,5,1
2020-05-08,Fairfax,"Not Hispanic or Latino",1647,455,139
2020-05-08,Piedmont,"Hispanic or Latino",18,0,0
2020-05-08,Crater,"Not Hispanic or Latino",130,37,7
2020-05-08,Chickahominy,"Not Hispanic or Latino",131,48,19
2020-05-08,"New River","Not Hispanic or Latino",49,11,1
2020-05-08,"Lord Fairfax","Not Reported",184,8,3
2020-05-08,Rappahannock,"Not Reported",239,20,1
2020-05-08,"Central Shenandoah","Not Reported",206,2,5
2020-05-08,"Central Virginia","Not Hispanic or Latino",47,8,1
2020-05-08,Lenowisco,"Not Hispanic or Latino",21,9,2
2020-05-08,"Cumberland Plateau","Not Hispanic or Latino",15,2,0
2020-05-08,"Western Tidewater","Not Hispanic or Latino",292,52,23
2020-05-08,"New River","Not Reported",31,1,0
2020-05-08,Chesterfield,"Not Reported",520,16,15
2020-05-08,Chesterfield,"Hispanic or Latino",70,2,0
2020-05-08,Hampton,"Not Hispanic or Latino",93,26,3
2020-05-08,Chesapeake,"Not Hispanic or Latino",205,54,6
2020-05-08,Peninsula,"Hispanic or Latino",26,7,1
2020-05-08,Arlington,"Not Reported",697,69,15
2020-05-08,Roanoke,"Not Hispanic or Latino",61,6,1
2020-05-08,"Lord Fairfax","Not Hispanic or Latino",343,33,13
2020-05-08,"Eastern Shore","Hispanic or Latino",102,2,2
2020-05-08,"Mount Rogers","Not Reported",8,2,0
2020-05-08,"Three Rivers","Not Hispanic or Latino",186,19,3
2020-05-08,"Thomas Jefferson","Not Reported",31,1,0
2020-05-08,"Three Rivers","Not Reported",105,9,3
2020-05-08,Arlington,"Not Hispanic or Latino",326,83,37
2020-05-08,Alleghany,"Not Hispanic or Latino",89,15,3
2020-05-08,Loudoun,"Not Reported",357,6,5
2020-05-08,Fairfax,"Hispanic or Latino",2313,350,20
2020-05-08,Peninsula,"Not Reported",82,2,2
2020-05-08,Crater,"Hispanic or Latino",5,0,0
2020-05-08,Piedmont,"Not Hispanic or Latino",222,20,3
2020-05-08,Henrico,"Hispanic or Latino",53,12,2
2020-05-08,Alexandria,"Not Hispanic or Latino",349,69,21
2020-05-08,"Central Virginia","Hispanic or Latino",12,1,1
2020-05-08,Alleghany,"Not Reported",37,1,0
2020-05-08,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-08,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-08,Chesterfield,"Not Hispanic or Latino",234,46,17
2020-05-08,Pittsylvania-Danville,"Not Hispanic or Latino",43,17,2
2020-05-08,"Mount Rogers","Hispanic or Latino",45,0,0
2020-05-08,Richmond,"Not Reported",143,12,2
2020-05-08,Peninsula,"Not Hispanic or Latino",299,96,26
2020-05-08,Chesapeake,"Hispanic or Latino",14,5,1
2020-05-08,Southside,"Hispanic or Latino",1,0,0
2020-05-08,"Thomas Jefferson","Not Hispanic or Latino",288,59,13
2020-05-08,Norfolk,"Not Hispanic or Latino",203,44,5
2020-05-08,Portsmouth,"Not Reported",102,7,1
2020-05-08,Norfolk,"Not Reported",50,2,0
2020-05-08,"Three Rivers","Hispanic or Latino",20,0,0
2020-05-08,"Eastern Shore","Not Reported",35,0,0
2020-05-08,Alleghany,"Hispanic or Latino",6,1,0
2020-05-08,Henrico,"Not Reported",438,24,24
2020-05-08,Henrico,"Not Hispanic or Latino",541,112,84
2020-05-08,Loudoun,"Not Hispanic or Latino",408,71,22
2020-05-08,Hampton,"Not Reported",37,2,0
2020-05-08,"Rappahannock Rapidan","Not Hispanic or Latino",93,14,5
2020-05-08,Alexandria,"Not Reported",282,7,4
2020-05-08,Rappahannock,"Not Hispanic or Latino",242,55,10
2020-05-08,"Western Tidewater","Not Reported",171,2,1
2020-05-08,"Cumberland Plateau","Not Reported",13,0,0
2020-05-08,Alexandria,"Hispanic or Latino",479,53,4
2020-05-08,"Virginia Beach","Not Hispanic or Latino",335,72,15
2020-05-08,"Prince William","Hispanic or Latino",977,171,7
2020-05-08,"Virginia Beach","Not Reported",107,7,1
2020-05-08,"Central Shenandoah","Hispanic or Latino",411,20,2
2020-05-08,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-08,"Mount Rogers","Not Hispanic or Latino",80,14,4
2020-05-08,Piedmont,"Not Reported",110,8,1
2020-05-08,Southside,"Not Hispanic or Latino",48,7,3
2020-05-08,"Thomas Jefferson","Hispanic or Latino",18,1,0
2020-05-08,Pittsylvania-Danville,"Not Reported",13,4,0
2020-05-08,Norfolk,"Hispanic or Latino",21,4,0
2020-05-08,Portsmouth,"Not Hispanic or Latino",86,28,7
2020-05-08,"West Piedmont","Not Reported",11,2,0
2020-05-08,Richmond,"Not Hispanic or Latino",267,63,15
2020-05-08,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-08,"Prince William","Not Reported",1400,11,0
2020-05-08,"Rappahannock Rapidan","Not Reported",170,7,2
2020-05-08,Chickahominy,"Hispanic or Latino",4,1,0
2020-05-08,Lenowisco,"Not Reported",20,5,1
2020-05-08,"New River","Hispanic or Latino",0,0,0
2020-05-08,Crater,"Not Reported",133,26,7
2020-05-08,Chickahominy,"Not Reported",146,13,3
2020-05-08,Loudoun,"Hispanic or Latino",305,32,2
2020-05-08,"Rappahannock Rapidan","Hispanic or Latino",198,17,2
2020-05-08,Roanoke,"Not Reported",20,0,0
2020-05-08,Rappahannock,"Hispanic or Latino",226,36,0
2020-05-08,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-08,"Virginia Beach","Hispanic or Latino",27,5,1
2020-05-08,"Prince William","Not Hispanic or Latino",566,125,43
2020-05-08,"Central Virginia","Not Reported",95,3,0
2020-05-08,"Central Shenandoah","Not Hispanic or Latino",390,35,16
2020-05-08,Hampton,"Hispanic or Latino",5,0,0
2020-05-08,Roanoke,"Hispanic or Latino",10,0,0
