Report Date,FIPS,Health District,Locality,Total Cases,Hospitalized,Deaths
2020-04-22,51720,Lenowisco,Norton,2,1,0
2020-04-22,51680,Central Virginia,Lynchburg,43,4,1
2020-04-22,51735,Peninsula,Poquoson,6,2,0
2020-04-22,51021,Mount Rogers,Bland,0,0,0
2020-04-22,51171,Lord Fairfax,Shenandoah,53,8,0
2020-04-22,51107,Loudoun,Loudoun,475,61,9
2020-04-22,51081,Crater,Greensville,24,4,4
2020-04-22,51169,Lenowisco,Scott,5,1,1
2020-04-22,51620,Western Tidewater,Franklin City,14,0,0
2020-04-22,51025,Southside,Brunswick,13,3,0
2020-04-22,51029,Piedmont,Buckingham,27,6,0
2020-04-22,51137,Rappahannock Rapidan,Orange,22,3,0
2020-04-22,51101,Three Rivers,King William,2,0,0
2020-04-22,51153,Prince William,Prince William,924,101,17
2020-04-22,51033,Rappahannock,Caroline,20,3,0
2020-04-22,51185,Cumberland Plateau,Tazewell,4,0,0
2020-04-22,51085,Chickahominy,Hanover,97,20,6
2020-04-22,51600,Fairfax,Fairfax City,25,2,1
2020-04-22,51175,Western Tidewater,Southampton,19,3,1
2020-04-22,51145,Chesterfield,Powhatan,9,0,0
2020-04-22,51027,Cumberland Plateau,Buchanan,12,0,0
2020-04-22,51159,Three Rivers,Richmond County,53,4,0
2020-04-22,51059,Fairfax,Fairfax,2256,405,66
2020-04-22,51540,Thomas Jefferson,Charlottesville,44,11,2
2020-04-22,51135,Piedmont,Nottoway,8,0,0
2020-04-22,51031,Central Virginia,Campbell,10,0,0
2020-04-22,51079,Thomas Jefferson,Greene,9,2,1
2020-04-22,51113,Rappahannock Rapidan,Madison,12,1,0
2020-04-22,51077,Mount Rogers,Grayson,0,0,0
2020-04-22,51073,Three Rivers,Gloucester,21,4,1
2020-04-22,51177,Rappahannock,Spotsylvania,83,20,3
2020-04-22,51109,Thomas Jefferson,Louisa,37,8,0
2020-04-22,51760,Richmond,Richmond City,250,41,10
2020-04-22,51001,Eastern Shore,Accomack,59,15,1
2020-04-22,51530,Central Shenandoah,Buena Vista City,5,0,0
2020-04-22,51117,Southside,Mecklenburg,69,17,1
2020-04-22,51193,Three Rivers,Westmoreland,12,0,0
2020-04-22,51800,Western Tidewater,Suffolk,126,28,3
