"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-04,Southside,"Not Reported",61,9,2
2020-05-04,Chesapeake,White,103,21,1
2020-05-04,"New River",Other,0,0,0
2020-05-04,Norfolk,"Black or African American",144,28,2
2020-05-04,"Central Shenandoah",Other,128,6,1
2020-05-04,Southside,Other,21,0,2
2020-05-04,Pittsylvania-Danville,Other,0,0,0
2020-05-04,"Cumberland Plateau",White,16,2,0
2020-05-04,"Rappahannock Rapidan","Black or African American",13,2,0
2020-05-04,Fairfax,"Not Reported",1266,88,64
2020-05-04,Chesapeake,"Not Reported",52,3,1
2020-05-04,"Thomas Jefferson",White,185,23,8
2020-05-04,Richmond,Other,52,10,0
2020-05-04,Peninsula,"Black or African American",92,29,7
2020-05-04,Henrico,Other,57,6,3
2020-05-04,"Cumberland Plateau","Black or African American",11,0,0
2020-05-04,Loudoun,Other,173,28,2
2020-05-04,Crater,Other,2,1,1
2020-05-04,Arlington,"Black or African American",76,20,9
2020-05-04,Alexandria,"Black or African American",146,33,4
2020-05-04,Richmond,"Black or African American",225,49,15
2020-05-04,"Lord Fairfax","Not Reported",51,1,0
2020-05-04,Fairfax,"Black or African American",340,89,9
2020-05-04,"Thomas Jefferson","Black or African American",98,35,5
2020-05-04,"West Piedmont",White,33,4,0
2020-05-04,Rappahannock,"Not Reported",233,24,1
2020-05-04,"Central Shenandoah","Not Reported",177,1,1
2020-05-04,Peninsula,White,206,64,17
2020-05-04,"Rappahannock Rapidan",White,140,16,5
2020-05-04,"Prince William",White,521,127,18
2020-05-04,"New River","Not Reported",28,1,0
2020-05-04,Chesterfield,"Not Reported",284,3,7
2020-05-04,Alleghany,Other,1,0,0
2020-05-04,Lenowisco,White,31,13,1
2020-05-04,"Western Tidewater",White,126,18,10
2020-05-04,Hampton,Other,5,1,0
2020-05-04,Pittsylvania-Danville,White,24,12,2
2020-05-04,Roanoke,"Black or African American",13,3,0
2020-05-04,Alleghany,"Black or African American",5,1,0
2020-05-04,Richmond,"Not Reported",61,1,0
2020-05-04,"Central Virginia",Other,1,0,0
2020-05-04,Rappahannock,Other,85,13,0
2020-05-04,Roanoke,Other,1,0,0
2020-05-04,Piedmont,"Black or African American",97,17,1
2020-05-04,Chesterfield,Other,38,0,0
2020-05-04,Portsmouth,"Black or African American",87,24,6
2020-05-04,Portsmouth,"Not Reported",45,2,1
2020-05-04,Norfolk,"Not Reported",23,0,0
2020-05-04,"Eastern Shore",White,146,6,2
2020-05-04,"Eastern Shore","Not Reported",58,0,0
2020-05-04,Roanoke,White,48,2,0
2020-05-04,"Three Rivers",Other,11,1,0
2020-05-04,Fairfax,Other,1735,351,35
2020-05-04,Henrico,"Not Reported",150,0,1
2020-05-04,"Lord Fairfax",Other,58,4,0
2020-05-04,Piedmont,Other,2,0,0
2020-05-04,Lenowisco,"Black or African American",0,0,0
2020-05-04,Arlington,White,275,54,19
2020-05-04,Hampton,"Black or African American",78,22,1
2020-05-04,Alexandria,White,320,44,17
2020-05-04,Hampton,"Not Reported",21,1,0
2020-05-04,"Mount Rogers",White,102,14,4
2020-05-04,Alexandria,"Not Reported",324,12,4
2020-05-04,Chickahominy,"Black or African American",43,18,6
2020-05-04,Chesapeake,"Black or African American",102,34,4
2020-05-04,"Western Tidewater","Not Reported",107,1,1
2020-05-04,"Cumberland Plateau","Not Reported",0,0,0
2020-05-04,"Western Tidewater",Other,13,1,1
2020-05-04,Alleghany,White,81,14,3
2020-05-04,"Prince William",Other,490,74,4
2020-05-04,Arlington,"Not Reported",605,64,7
2020-05-04,"West Piedmont","Black or African American",5,1,0
2020-05-04,Peninsula,Other,16,6,1
2020-05-04,Norfolk,Other,10,2,0
2020-05-04,"Lord Fairfax","Black or African American",21,2,0
2020-05-04,"Mount Rogers","Not Reported",6,1,0
2020-05-04,"Central Virginia","Black or African American",11,0,0
2020-05-04,"West Piedmont",Other,2,1,1
2020-05-04,Portsmouth,White,40,7,1
2020-05-04,"Thomas Jefferson","Not Reported",12,0,0
2020-05-04,"Three Rivers","Not Reported",79,4,1
2020-05-04,"Virginia Beach","Black or African American",100,17,2
2020-05-04,"Prince William","Black or African American",226,48,13
2020-05-04,Loudoun,"Not Reported",340,4,2
2020-05-04,Loudoun,White,396,58,14
2020-05-04,Peninsula,"Not Reported",61,3,0
2020-05-04,Pittsylvania-Danville,"Black or African American",21,6,0
2020-05-04,Henrico,White,363,59,56
2020-05-04,Richmond,White,81,12,1
2020-05-04,Southside,"Black or African American",21,7,1
2020-05-04,Chickahominy,White,108,27,11
2020-05-04,"Thomas Jefferson",Other,24,2,0
2020-05-04,"Virginia Beach",Other,43,16,2
2020-05-04,"Central Shenandoah","Black or African American",42,2,1
2020-05-04,Chesterfield,White,186,23,16
2020-05-04,"Central Virginia",White,39,5,1
2020-05-04,Rappahannock,White,200,43,8
2020-05-04,"New River",White,44,8,1
2020-05-04,"Mount Rogers",Other,6,1,0
2020-05-04,Crater,White,43,12,5
2020-05-04,Alleghany,"Not Reported",34,1,0
2020-05-04,Arlington,Other,183,56,12
2020-05-04,Piedmont,White,73,3,2
2020-05-04,"Cumberland Plateau",Other,0,0,0
2020-05-04,Loudoun,"Black or African American",52,6,0
2020-05-04,"Virginia Beach",White,224,48,11
2020-05-04,Chickahominy,Other,6,4,0
2020-05-04,"New River","Black or African American",6,1,0
2020-05-04,"Virginia Beach","Not Reported",72,2,0
2020-05-04,"Rappahannock Rapidan",Other,23,9,0
2020-05-04,Piedmont,"Not Reported",76,3,0
2020-05-04,Portsmouth,Other,11,2,0
2020-05-04,Pittsylvania-Danville,"Not Reported",7,2,0
2020-05-04,"West Piedmont","Not Reported",6,0,0
2020-05-04,Norfolk,White,62,15,2
2020-05-04,Hampton,White,24,4,0
2020-05-04,"Western Tidewater","Black or African American",193,30,6
2020-05-04,"Prince William","Not Reported",1270,17,0
2020-05-04,Fairfax,White,1343,256,96
2020-05-04,Lenowisco,Other,1,0,0
2020-05-04,"Rappahannock Rapidan","Not Reported",221,5,2
2020-05-04,"Three Rivers","Black or African American",75,5,0
2020-05-04,Henrico,"Black or African American",394,72,45
2020-05-04,Lenowisco,"Not Reported",9,1,1
2020-05-04,Chesapeake,Other,27,5,3
2020-05-04,Crater,"Not Reported",68,3,1
2020-05-04,Chickahominy,"Not Reported",107,4,2
2020-05-04,"Eastern Shore","Black or African American",347,19,4
2020-05-04,Alexandria,Other,150,21,1
2020-05-04,Chesterfield,"Black or African American",165,27,7
2020-05-04,Roanoke,"Not Reported",19,0,0
2020-05-04,Rappahannock,"Black or African American",77,16,2
2020-05-04,"Lord Fairfax",White,381,35,5
2020-05-04,"Three Rivers",White,91,13,1
2020-05-04,"Central Virginia","Not Reported",96,3,0
2020-05-04,"Eastern Shore",Other,13,1,1
2020-05-04,Crater,"Black or African American",143,43,7
2020-05-04,"Mount Rogers","Black or African American",0,0,0
2020-05-04,"Central Shenandoah",White,514,37,15
2020-05-04,Southside,White,37,9,5
,,,,,
,,,,,
