"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-03,Southside,"Not Reported",4,0,0
2020-07-03,Chesapeake,Female,560,77,10
2020-07-03,Richmond,Female,1074,101,8
2020-07-03,Roanoke,Male,214,7,3
2020-07-03,Fairfax,"Not Reported",105,3,3
2020-07-03,"Thomas Jefferson",Female,512,53,13
2020-07-03,Chesapeake,"Not Reported",1,0,0
2020-07-03,"Cumberland Plateau",Male,27,1,0
2020-07-03,"Eastern Shore",Female,658,59,23
2020-07-03,"Lord Fairfax","Not Reported",7,0,0
2020-07-03,Rappahannock,"Not Reported",6,1,0
2020-07-03,"Central Shenandoah","Not Reported",1,0,0
2020-07-03,Peninsula,Male,474,64,13
2020-07-03,Norfolk,Male,487,58,8
2020-07-03,Alexandria,Female,1201,108,30
2020-07-03,Lenowisco,Male,28,8,3
2020-07-03,Pittsylvania-Danville,Female,126,21,2
2020-07-03,"New River","Not Reported",3,0,0
2020-07-03,Chesterfield,"Not Reported",77,0,2
2020-07-03,Loudoun,Male,2037,154,34
2020-07-03,"Rappahannock Rapidan",Female,716,44,9
2020-07-03,Piedmont,Female,306,41,4
2020-07-03,Richmond,Male,1135,124,20
2020-07-03,Crater,Female,647,81,22
2020-07-03,Portsmouth,Female,255,43,11
2020-07-03,Arlington,"Not Reported",1,0,0
2020-07-03,"Mount Rogers","Not Reported",2,0,0
2020-07-03,"Thomas Jefferson","Not Reported",0,0,0
2020-07-03,"Three Rivers","Not Reported",18,0,0
2020-07-03,Hampton,Male,157,26,3
2020-07-03,Alleghany,Male,245,21,5
2020-07-03,Roanoke,Female,244,7,7
2020-07-03,Loudoun,"Not Reported",16,0,1
2020-07-03,Fairfax,Female,7128,725,251
2020-07-03,"Western Tidewater",Male,413,55,30
2020-07-03,Peninsula,"Not Reported",4,0,0
2020-07-03,"New River",Male,130,14,4
2020-07-03,"Central Shenandoah",Male,975,81,19
2020-07-03,Southside,Male,168,25,12
2020-07-03,Chesterfield,Male,1569,78,35
2020-07-03,Arlington,Female,1231,191,63
2020-07-03,Rappahannock,Male,1170,124,26
2020-07-03,"Central Virginia",Male,215,9,4
2020-07-03,Alleghany,"Not Reported",3,0,0
2020-07-03,Henrico,Male,1177,135,76
2020-07-03,"Thomas Jefferson",Male,448,46,12
2020-07-03,"Lord Fairfax",Male,985,95,35
2020-07-03,"Three Rivers",Male,431,18,2
2020-07-03,Richmond,"Not Reported",39,2,2
2020-07-03,Pittsylvania-Danville,Male,95,20,1
2020-07-03,Portsmouth,"Not Reported",3,0,0
2020-07-03,Norfolk,"Not Reported",0,0,0
2020-07-03,Chesapeake,Male,411,66,11
2020-07-03,Chickahominy,Female,369,56,19
2020-07-03,"Prince William",Male,4627,449,98
2020-07-03,"Eastern Shore","Not Reported",9,0,0
2020-07-03,"Eastern Shore",Male,646,54,19
2020-07-03,"Rappahannock Rapidan",Male,739,64,12
2020-07-03,Henrico,"Not Reported",8,0,1
2020-07-03,"Cumberland Plateau",Female,38,1,0
2020-07-03,"West Piedmont",Male,234,22,4
2020-07-03,Hampton,"Not Reported",3,0,0
2020-07-03,Alexandria,"Not Reported",6,0,0
2020-07-03,"Western Tidewater","Not Reported",2,0,0
2020-07-03,"Cumberland Plateau","Not Reported",0,0,0
2020-07-03,"Virginia Beach",Male,576,65,16
2020-07-03,Alleghany,Female,283,10,10
2020-07-03,Lenowisco,Female,27,9,1
2020-07-03,"Virginia Beach","Not Reported",9,0,0
2020-07-03,"Western Tidewater",Female,426,33,25
2020-07-03,"Mount Rogers",Male,335,50,18
2020-07-03,"Lord Fairfax",Female,1068,88,34
2020-07-03,Piedmont,"Not Reported",5,0,0
2020-07-03,Alexandria,Male,1131,130,27
2020-07-03,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-03,"West Piedmont","Not Reported",5,0,0
2020-07-03,Loudoun,Female,2060,125,56
2020-07-03,Hampton,Female,194,15,2
2020-07-03,Henrico,Female,1444,123,80
2020-07-03,"Prince William","Not Reported",67,1,0
2020-07-03,Chickahominy,Male,296,55,20
2020-07-03,"Rappahannock Rapidan","Not Reported",2,1,1
2020-07-03,Peninsula,Female,541,63,21
2020-07-03,Lenowisco,"Not Reported",0,0,0
2020-07-03,Crater,"Not Reported",13,1,0
2020-07-03,Chickahominy,"Not Reported",4,0,0
2020-07-03,Portsmouth,Male,268,30,7
2020-07-03,"New River",Female,119,8,1
2020-07-03,Rappahannock,Female,1313,101,18
2020-07-03,"Central Virginia",Female,203,7,1
2020-07-03,Roanoke,"Not Reported",7,0,0
2020-07-03,"West Piedmont",Female,262,23,3
2020-07-03,"Mount Rogers",Female,406,24,14
2020-07-03,Piedmont,Male,754,48,9
2020-07-03,Chesterfield,Female,1557,71,36
2020-07-03,Fairfax,Male,6856,940,255
2020-07-03,Crater,Male,902,72,16
2020-07-03,"Central Virginia","Not Reported",0,0,0
2020-07-03,"Prince William",Female,4612,370,72
2020-07-03,"Virginia Beach",Female,669,56,14
2020-07-03,Norfolk,Female,513,53,3
2020-07-03,"Three Rivers",Female,199,32,7
2020-07-03,Arlington,Male,1268,230,69
2020-07-03,"Central Shenandoah",Female,1135,92,21
2020-07-03,Southside,Female,242,24,18
