Note,Description
1,All data is preliminary and subject to change over time.
2,Hospitalization status at time case was investigated by VDH. This underrepresents the total number of hospitalizations in Virginia.
Source,Cases – Virginia Electronic Disease Surveillance System (VEDSS)
