Report Date,FIPS,Locality,Health District,Total Cases,Hospitalized,Deaths
2020-04-21,51001,Accomack,Eastern Shore,52,15,1
2020-04-21,51005,Alleghany,Alleghany,5,4,0
2020-04-21,51007,Amelia,Piedmont,15,6,1
2020-04-21,51017,Bath,Central Shenandoah,0,0,0
2020-04-21,51023,Botetourt,Alleghany,25,9,3
2020-04-21,51041,Chesterfield,Chesterfield,346,29,7
2020-04-21,51045,Craig,Alleghany,2,0,0
2020-04-21,51051,Dickenson,Cumberland Plateau,0,0,0
2020-04-21,51059,Fairfax,Fairfax,2077,379,64
2020-04-21,51061,Fauquier,Rappahannock Rapidan,49,5,1
2020-04-21,51063,Floyd,New River,1,0,0
2020-04-21,51065,Fluvanna,Thomas Jefferson,68,12,4
2020-04-21,51067,Franklin County,West Piedmont,16,2,0
2020-04-21,51069,Frederick,Lord Fairfax,83,9,0
2020-04-21,51071,Giles,New River,4,0,0
2020-04-21,51073,Gloucester,Three Rivers,21,4,1
2020-04-21,51075,Goochland,Chickahominy,62,7,3
2020-04-21,51089,Henry,West Piedmont,10,2,1
2020-04-21,51095,James City,Peninsula,146,51,12
2020-04-21,51099,King George,Rappahannock,19,11,2
2020-04-21,51101,King William,Three Rivers,2,0,0
2020-04-21,51103,Lancaster,Three Rivers,1,1,0
2020-04-21,51107,Loudoun,Loudoun,468,59,8
2020-04-21,51117,Mecklenburg,Southside,68,16,1
2020-04-21,51121,Montgomery,New River,48,6,0
2020-04-21,51125,Nelson,Thomas Jefferson,6,0,0
2020-04-21,51135,Nottoway,Piedmont,8,0,0
2020-04-21,51137,Orange,Rappahannock Rapidan,21,3,0
2020-04-21,51139,Page,Lord Fairfax,14,0,0
2020-04-21,51147,Prince Edward,Piedmont,19,3,2
2020-04-21,51157,Rappahannock,Rappahannock Rapidan,1,0,0
2020-04-21,51159,Richmond County,Three Rivers,53,4,0
2020-04-21,51161,Roanoke County,Alleghany,25,0,0
2020-04-21,51169,Scott,Lenowisco,5,1,1
2020-04-21,51171,Shenandoah,Lord Fairfax,45,8,0
2020-04-21,51173,Smyth,Mount Rogers,13,4,0
2020-04-21,51175,Southampton,Western Tidewater,18,3,1
2020-04-21,51177,Spotsylvania,Rappahannock,79,18,2
