"﻿Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-09,24471,10,108
2020-07-09,24323,Suppressed*,29
2020-07-09,24646,0,16
2020-07-09,24354,24,1100
2020-07-09,23894,Suppressed*,52
2020-07-09,22401,253,2567
2020-07-09,22182,131,1731
2020-07-09,24630,0,229
2020-07-09,23140,22,512
2020-07-09,23839,Suppressed*,69
2020-07-09,24477,36,608
2020-07-09,20176,813,5498
2020-07-09,20137,15,144
2020-07-09,24649,0,63
2020-07-09,22947,9,375
2020-07-09,23851,64,2106
2020-07-09,22601,343,11805
2020-07-09,22509,Suppressed*,6
2020-07-09,22015,395,2983
2020-07-09,23690,Suppressed*,182
2020-07-09,24348,13,1269
2020-07-09,22637,Suppressed*,67
2020-07-09,20139,Suppressed*,16
2020-07-09,24176,6,49
2020-07-09,23314,24,513
2020-07-09,24421,7,179
2020-07-09,20198,7,142
2020-07-09,22976,0,17
2020-07-09,22435,6,193
2020-07-09,24605,9,708
2020-07-09,24340,9,171
2020-07-09,23221,52,1498
2020-07-09,23336,10,187
2020-07-09,22044,277,1384
2020-07-09,24065,6,129
2020-07-09,22851,75,306
2020-07-09,22181,70,909
2020-07-09,24014,93,633
2020-07-09,23237,412,2842
2020-07-09,24266,7,322
2020-07-09,24531,18,1349
2020-07-09,23942,17,126
2020-07-09,23883,5,143
2020-07-09,23231,212,3472
2020-07-09,24078,68,481
2020-07-09,23460,Suppressed*,48
2020-07-09,24102,Suppressed*,38
2020-07-09,22611,29,514
2020-07-09,23967,Suppressed*,76
2020-07-09,23923,8,179
2020-07-09,24378,Suppressed*,61
2020-07-09,24416,16,347
2020-07-09,24375,0,56
2020-07-09,24651,0,482
2020-07-09,22576,0,112
2020-07-09,22066,82,1087
2020-07-09,23486,Suppressed*,8
2020-07-09,23701,182,2227
2020-07-09,24011,0,17980
2020-07-09,23806,0,176
2020-07-09,23551,0,12
2020-07-09,23875,55,979
2020-07-09,23821,5,225
2020-07-09,23846,Suppressed*,61
2020-07-09,23156,5,96
2020-07-09,20169,108,1649
2020-07-09,24541,52,1574
2020-07-09,23898,13,163
2020-07-09,23876,0,15
2020-07-09,22640,Suppressed*,13
2020-07-09,23669,129,3004
2020-07-09,22035,Suppressed*,39
2020-07-09,24301,17,726
2020-07-09,23917,13,312
2020-07-09,23503,146,1908
2020-07-09,22939,14,526
2020-07-09,24216,10,149
2020-07-09,24538,5,251
2020-07-09,24473,0,35
2020-07-09,20166,217,1301
2020-07-09,22041,757,3571
2020-07-09,24631,0,38
2020-07-09,22193,1614,8749
2020-07-09,20135,11,226
2020-07-09,22201,226,2704
2020-07-09,23434,297,4959
2020-07-09,20144,Suppressed*,52
2020-07-09,23303,19,137
2020-07-09,24350,Suppressed*,43
2020-07-09,23395,18,105
2020-07-09,24598,6,93
2020-07-09,20120,366,2817
2020-07-09,22812,40,625
2020-07-09,20180,32,574
2020-07-09,24079,Suppressed*,46
2020-07-09,22134,22,154
2020-07-09,23059,109,2491
2020-07-09,24374,Suppressed*,44
2020-07-09,23461,Suppressed*,93
2020-07-09,24016,30,546
2020-07-09,22508,60,1028
2020-07-09,23139,66,1650
2020-07-09,23837,59,355
2020-07-09,22802,541,2782
2020-07-09,24445,Suppressed*,73
2020-07-09,23021,0,12
2020-07-09,24503,51,1263
2020-07-09,22952,5,149
2020-07-09,22042,829,3884
2020-07-09,22973,22,712
2020-07-09,24258,0,41
2020-07-09,24382,25,1007
2020-07-09,22656,21,162
2020-07-09,22211,Suppressed*,21
2020-07-09,20191,330,2190
2020-07-09,24211,12,851
2020-07-09,23930,33,528
2020-07-09,20110,1558,7120
2020-07-09,22438,Suppressed*,44
2020-07-09,22844,54,426
2020-07-09,23602,116,2751
2020-07-09,24589,Suppressed*,133
2020-07-09,24603,13,48
2020-07-09,22719,0,13
2020-07-09,23102,10,234
2020-07-09,22315,119,1797
2020-07-09,23228,329,3610
2020-07-09,24517,11,402
2020-07-09,22749,0,16
2020-07-09,22902,208,2504
2020-07-09,24248,5,106
2020-07-09,22650,Suppressed*,26
2020-07-09,23888,13,167
2020-07-09,24151,46,884
2020-07-09,20117,10,164
