"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/19/2020,20105,143,2255
7/19/2020,20106,49,343
7/19/2020,20109,1266,5735
7/19/2020,20110,1626,7887
7/19/2020,20111,1035,4758
7/19/2020,20112,264,2601
7/19/2020,20115,40,491
7/19/2020,20117,11,192
7/19/2020,20118,5,152
7/19/2020,20119,35,334
7/19/2020,20120,392,3306
7/19/2020,20121,272,2164
7/19/2020,20124,79,1174
7/19/2020,20129,11,87
7/19/2020,20130,0,27
7/19/2020,20132,89,1604
7/19/2020,20135,12,259
7/19/2020,20136,250,2315
7/19/2020,20137,15,165
7/19/2020,20139,Suppressed*,18
7/19/2020,20141,33,607
7/19/2020,20143,5,99
7/19/2020,20144,Suppressed*,58
7/19/2020,20147,548,6370
7/19/2020,20148,268,3751
7/19/2020,20151,314,2049
7/19/2020,20152,245,2669
7/19/2020,20155,309,3342
7/19/2020,20158,27,410
7/19/2020,20164,1308,5894
7/19/2020,20165,367,4453
7/19/2020,20166,229,1484
7/19/2020,20169,119,1933
7/19/2020,20170,1100,4934
7/19/2020,20171,328,3278
7/19/2020,20175,302,3590
7/19/2020,20176,904,6356
7/19/2020,20180,39,695
7/19/2020,20181,54,819
7/19/2020,20184,Suppressed*,79
7/19/2020,20186,108,1713
7/19/2020,20187,115,1342
7/19/2020,20190,227,2508
7/19/2020,20191,334,2523
7/19/2020,20194,42,861
7/19/2020,20197,14,238
7/19/2020,20198,8,162
7/19/2020,22003,1346,6804
7/19/2020,22015,425,3462
7/19/2020,22025,129,1530
7/19/2020,22026,284,2141
7/19/2020,22027,59,235
7/19/2020,22030,455,5002
7/19/2020,22031,441,3818
7/19/2020,22032,151,2177
7/19/2020,22033,296,3156
7/19/2020,22035,Suppressed*,40
7/19/2020,22039,93,1385
7/19/2020,22041,777,3894
7/19/2020,22042,865,4349
7/19/2020,22043,265,1925
7/19/2020,22044,281,1551
7/19/2020,22046,217,1876
7/19/2020,22060,30,346
7/19/2020,22066,89,1279
7/19/2020,22079,364,2824
7/19/2020,22101,149,2800
7/19/2020,22102,143,2054
7/19/2020,22124,72,1350
7/19/2020,22125,Suppressed*,81
7/19/2020,22134,23,186
7/19/2020,22150,801,4500
7/19/2020,22151,299,1761
7/19/2020,22152,238,2242
7/19/2020,22153,206,2375
7/19/2020,22172,188,1153
7/19/2020,22180,241,2231
7/19/2020,22181,77,1124
7/19/2020,22182,143,2069
7/19/2020,22185,0,Suppressed*
7/19/2020,22191,1862,10316
7/19/2020,22192,857,7249
7/19/2020,22193,1682,9905
7/19/2020,22201,235,3281
7/19/2020,22202,235,2518
