"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
5/26/2020,20105,76,661
5/26/2020,20106,29,112
5/26/2020,20109,789,2293
5/26/2020,20110,1037,2658
5/26/2020,20111,641,1843
5/26/2020,20112,137,908
5/26/2020,20115,28,163
5/26/2020,20117,7,64
5/26/2020,20118,Suppressed*,36
5/26/2020,20119,21,122
5/26/2020,20120,220,1087
5/26/2020,20121,163,751
5/26/2020,20124,42,332
5/26/2020,20129,7,29
5/26/2020,20130,0,7
5/26/2020,20132,44,391
5/26/2020,20135,5,78
5/26/2020,20136,135,754
5/26/2020,20137,8,44
5/26/2020,20139,Suppressed*,9
5/26/2020,20141,12,163
5/26/2020,20143,Suppressed*,27
5/26/2020,20144,Suppressed*,18
5/26/2020,20147,276,1853
5/26/2020,20148,109,1009
5/26/2020,20151,184,650
5/26/2020,20152,131,665
5/26/2020,20155,173,1010
5/26/2020,20158,12,90
5/26/2020,20164,694,1926
5/26/2020,20165,176,996
5/26/2020,20166,108,498
5/26/2020,20169,74,598
5/26/2020,20170,643,1698
5/26/2020,20171,218,980
5/26/2020,20175,124,820
5/26/2020,20176,342,1556
5/26/2020,20180,15,180
5/26/2020,20181,32,275
5/26/2020,20184,Suppressed*,34
5/26/2020,20186,54,447
5/26/2020,20187,53,433
5/26/2020,20190,162,754
5/26/2020,20191,225,926
5/26/2020,20194,27,269
5/26/2020,20197,Suppressed*,53
5/26/2020,20198,5,44
5/26/2020,22003,870,2515
5/26/2020,22015,306,1208
5/26/2020,22025,91,562
5/26/2020,22026,151,753
5/26/2020,22027,41,83
5/26/2020,22030,286,1483
5/26/2020,22031,275,1162
5/26/2020,22032,102,723
5/26/2020,22033,184,989
5/26/2020,22035,0,6
5/26/2020,22039,49,408
5/26/2020,22041,563,1687
5/26/2020,22042,547,1594
5/26/2020,22043,174,692
5/26/2020,22044,195,573
5/26/2020,22046,137,565
5/26/2020,22060,13,107
5/26/2020,22066,54,435
5/26/2020,22079,235,1117
5/26/2020,22101,103,888
5/26/2020,22102,88,727
5/26/2020,22124,49,393
5/26/2020,22125,Suppressed*,31
5/26/2020,22134,14,60
5/26/2020,22150,598,1659
5/26/2020,22151,214,707
5/26/2020,22152,154,775
5/26/2020,22153,119,765
5/26/2020,22172,110,424
5/26/2020,22180,148,724
5/26/2020,22181,40,322
5/26/2020,22182,90,649
5/26/2020,22191,1132,4009
5/26/2020,22192,480,2434
5/26/2020,22193,1073,3953
5/26/2020,22201,176,1067
5/26/2020,22202,165,741
5/26/2020,22203,268,942
5/26/2020,22204,755,2336
5/26/2020,22205,110,810
5/26/2020,22206,142,679
5/26/2020,22207,222,1107
5/26/2020,22209,66,404
5/26/2020,22211,Suppressed*,14
5/26/2020,22213,15,86
5/26/2020,22214,0,2
5/26/2020,22301,64,431
5/26/2020,22302,181,665
5/26/2020,22303,148,602
5/26/2020,22304,524,1973
5/26/2020,22305,506,1200
5/26/2020,22306,646,1736
5/26/2020,22307,49,337
5/26/2020,22308,57,273
