"Report Date","ZIP Code","Number of Cases","Total Number of People Tested"
2020-05-07,20105,49,335
2020-05-07,20106,19,62
2020-05-07,20109,374,885
2020-05-07,20110,387,981
2020-05-07,20111,277,712
2020-05-07,20112,71,423
2020-05-07,20115,15,88
2020-05-07,20117,7,39
2020-05-07,20118,Suppressed*,33
2020-05-07,20119,8,58
2020-05-07,20120,85,561
2020-05-07,20121,66,330
2020-05-07,20124,26,213
2020-05-07,20129,7,23
2020-05-07,20130,0,8
2020-05-07,20132,20,200
2020-05-07,20135,5,42
2020-05-07,20136,67,398
2020-05-07,20137,0,14
2020-05-07,20139,Suppressed*,5
2020-05-07,20141,7,80
2020-05-07,20143,0,17
2020-05-07,20144,Suppressed*,10
2020-05-07,20147,167,841
2020-05-07,20148,67,530
2020-05-07,20151,76,288
2020-05-07,20152,52,315
2020-05-07,20155,87,518
2020-05-07,20158,6,45
2020-05-07,20164,270,734
2020-05-07,20165,104,481
2020-05-07,20166,50,215
2020-05-07,20169,39,330
2020-05-07,20170,227,706
2020-05-07,20171,140,532
2020-05-07,20175,54,456
2020-05-07,20176,144,740
2020-05-07,20180,Suppressed*,107
2020-05-07,20181,19,137
2020-05-07,20184,Suppressed*,22
2020-05-07,20186,30,269
2020-05-07,20187,30,251
2020-05-07,20190,92,381
2020-05-07,20191,111,500
2020-05-07,20194,14,147
2020-05-07,20197,Suppressed*,39
2020-05-07,20198,Suppressed*,26
2020-05-07,22003,454,"1,257"
2020-05-07,22015,191,684
2020-05-07,22025,45,279
2020-05-07,22026,83,349
2020-05-07,22027,39,57
2020-05-07,22030,115,766
2020-05-07,22031,138,599
2020-05-07,22032,68,401
2020-05-07,22033,91,506
2020-05-07,22035,0,3
2020-05-07,22039,33,237
2020-05-07,22041,291,702
2020-05-07,22042,248,790
2020-05-07,22043,103,380
2020-05-07,22044,101,289
2020-05-07,22046,88,336
2020-05-07,22060,10,68
2020-05-07,22066,28,325
2020-05-07,22079,128,627
2020-05-07,22101,70,630
2020-05-07,22102,66,498
2020-05-07,22124,27,223
2020-05-07,22125,0,11
2020-05-07,22134,8,36
2020-05-07,22150,357,832
2020-05-07,22151,127,355
2020-05-07,22152,90,429
2020-05-07,22153,77,422
2020-05-07,22172,64,194
2020-05-07,22180,49,378
2020-05-07,22181,20,203
2020-05-07,22182,49,368
2020-05-07,22191,543,"1,816"
2020-05-07,22192,236,"1,219"
