"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-06-28,22732,Suppressed*,18
2020-06-28,22733,17,86
2020-06-28,22734,27,220
2020-06-28,22735,Suppressed*,100
2020-06-28,22736,Suppressed*,26
2020-06-28,22737,7,136
2020-06-28,22738,Suppressed*,51
2020-06-28,22740,Suppressed*,57
2020-06-28,22741,0,14
2020-06-28,22742,20,133
2020-06-28,22743,Suppressed*,4
2020-06-28,22747,Suppressed*,51
2020-06-28,22749,0,16
2020-06-28,22801,664,3130
2020-06-28,22802,529,2457
2020-06-28,22807,Suppressed*,7
2020-06-28,22810,Suppressed*,43
2020-06-28,22811,Suppressed*,35
2020-06-28,22812,36,508
2020-06-28,22815,93,573
2020-06-28,22820,0,5
2020-06-28,22821,30,297
2020-06-28,22824,89,229
2020-06-28,22827,77,726
2020-06-28,22830,16,113
2020-06-28,22831,7,59
2020-06-28,22832,Suppressed*,56
2020-06-28,22834,7,74
2020-06-28,22835,154,601
2020-06-28,22840,17,287
2020-06-28,22841,19,172
2020-06-28,22842,79,265
2020-06-28,22843,6,113
2020-06-28,22844,43,268
2020-06-28,22845,0,6
2020-06-28,22846,14,127
2020-06-28,22847,Suppressed*,35
2020-06-28,22849,37,274
2020-06-28,22850,8,65
2020-06-28,22851,72,243
2020-06-28,22853,64,318
2020-06-28,22901,197,2927
2020-06-28,22902,172,1851
2020-06-28,22903,119,2532
2020-06-28,22904,0,22
2020-06-28,22911,44,1569
2020-06-28,22920,6,193
2020-06-28,22922,6,115
2020-06-28,22923,13,296
2020-06-28,22931,0,18
2020-06-28,22932,23,493
2020-06-28,22935,Suppressed*,71
2020-06-28,22936,6,317
2020-06-28,22937,Suppressed*,84
2020-06-28,22938,Suppressed*,78
2020-06-28,22939,12,449
2020-06-28,22940,Suppressed*,67
2020-06-28,22942,26,705
2020-06-28,22943,Suppressed*,27
2020-06-28,22946,Suppressed*,17
2020-06-28,22947,8,287
2020-06-28,22948,0,9
2020-06-28,22949,0,97
2020-06-28,22952,5,126
2020-06-28,22958,Suppressed*,99
2020-06-28,22959,7,133
2020-06-28,22960,42,953
2020-06-28,22963,32,946
2020-06-28,22964,0,14
2020-06-28,22967,Suppressed*,87
2020-06-28,22968,41,691
2020-06-28,22969,Suppressed*,88
2020-06-28,22971,0,83
2020-06-28,22972,Suppressed*,32
2020-06-28,22973,12,620
2020-06-28,22974,17,302
2020-06-28,22976,0,16
2020-06-28,22980,82,1674
2020-06-28,22989,0,6
2020-06-28,23002,34,894
2020-06-28,23004,12,95
2020-06-28,23005,75,1408
2020-06-28,23009,27,486
2020-06-28,23011,Suppressed*,60
2020-06-28,23015,13,279
2020-06-28,23021,0,12
2020-06-28,23022,8,77
2020-06-28,23023,Suppressed*,27
2020-06-28,23024,39,588
2020-06-28,23025,0,16
2020-06-28,23027,7,98
2020-06-28,23030,32,390
2020-06-28,23032,0,16
2020-06-28,23035,Suppressed*,51
2020-06-28,23038,8,111
2020-06-28,23039,Suppressed*,61
2020-06-28,23040,30,349
2020-06-28,23043,Suppressed*,87
2020-06-28,23045,0,2
2020-06-28,23047,9,147
2020-06-28,23050,Suppressed*,35
2020-06-28,23055,41,95
2020-06-28,23056,0,4
2020-06-28,23059,101,2147
2020-06-28,23060,187,2618
2020-06-28,23061,30,956
2020-06-28,23062,5,126
2020-06-28,23063,59,586
2020-06-28,23064,0,4
2020-06-28,23065,Suppressed*,112
2020-06-28,23066,0,8
2020-06-28,23068,0,12
2020-06-28,23069,10,248
2020-06-28,23070,0,25
2020-06-28,23071,Suppressed*,96
2020-06-28,23072,9,483
2020-06-28,23075,141,952
2020-06-28,23076,0,27
2020-06-28,23079,0,17
2020-06-28,23083,7,154
2020-06-28,23084,9,144
2020-06-28,23085,Suppressed*,19
2020-06-28,23086,6,191
2020-06-28,23089,9,316
2020-06-28,23091,0,22
2020-06-28,23092,0,114
2020-06-28,23093,38,983
2020-06-28,23102,10,190
2020-06-28,23103,24,423
2020-06-28,23106,Suppressed*,63
2020-06-28,23108,0,2
2020-06-28,23109,Suppressed*,111
2020-06-28,23110,0,32
2020-06-28,23111,130,2897
2020-06-28,23112,181,3705
2020-06-28,23113,154,2092
2020-06-28,23114,72,1312
2020-06-28,23115,13,24
2020-06-28,23116,145,2272
2020-06-28,23117,26,707
2020-06-28,23119,Suppressed*,16
2020-06-28,23120,43,744
2020-06-28,23123,16,208
2020-06-28,23124,13,307
2020-06-28,23125,0,7
2020-06-28,23126,Suppressed*,35
2020-06-28,23128,Suppressed*,56
2020-06-28,23129,Suppressed*,21
2020-06-28,23130,Suppressed*,13
2020-06-28,23138,0,25
2020-06-28,23139,59,1428
2020-06-28,23140,22,449
2020-06-28,23141,24,490
2020-06-28,23146,8,175
2020-06-28,23148,Suppressed*,117
2020-06-28,23149,7,245
2020-06-28,23150,100,1033
2020-06-28,23153,5,98
2020-06-28,23156,5,71
2020-06-28,23160,9,72
2020-06-28,23161,0,5
2020-06-28,23163,0,8
2020-06-28,23168,12,456
2020-06-28,23169,Suppressed*,64
2020-06-28,23173,Suppressed*,7
2020-06-28,23175,Suppressed*,149
2020-06-28,23176,0,35
2020-06-28,23177,0,42
2020-06-28,23180,0,20
2020-06-28,23181,5,394
2020-06-28,23185,174,3168
2020-06-28,23187,Suppressed*,21
2020-06-28,23188,163,2655
2020-06-28,23192,18,438
2020-06-28,23219,28,783
2020-06-28,23220,99,2569
2020-06-28,23221,45,1210
2020-06-28,23222,158,2319
2020-06-28,23223,402,5126
2020-06-28,23224,906,5913
2020-06-28,23225,496,4722
2020-06-28,23226,233,2404
2020-06-28,23227,178,2640
2020-06-28,23228,316,3023
2020-06-28,23229,258,3083
2020-06-28,23230,72,2969
2020-06-28,23231,187,3026
2020-06-28,23233,155,2369
2020-06-28,23234,1054,5021
2020-06-28,23235,266,3002
2020-06-28,23236,155,2266
2020-06-28,23237,366,2479
2020-06-28,23238,278,2320
2020-06-28,23250,0,4
2020-06-28,23294,162,1416
2020-06-28,23301,96,261
2020-06-28,23302,Suppressed*,18
2020-06-28,23303,19,118
2020-06-28,23304,Suppressed*,14
2020-06-28,23306,27,134
2020-06-28,23307,17,63
2020-06-28,23308,51,217
2020-06-28,23310,31,266
2020-06-28,23313,Suppressed*,9
2020-06-28,23314,18,431
2020-06-28,23315,Suppressed*,81
2020-06-28,23316,14,87
2020-06-28,23320,271,6416
2020-06-28,23321,94,2036
2020-06-28,23322,135,4636
2020-06-28,23323,168,2226
2020-06-28,23324,141,1238
2020-06-28,23325,69,999
2020-06-28,23336,10,155
2020-06-28,23337,0,21
2020-06-28,23347,18,77
2020-06-28,23350,75,347
2020-06-28,23354,15,48
2020-06-28,23356,Suppressed*,85
2020-06-28,23357,42,101
2020-06-28,23358,0,5
2020-06-28,23359,14,55
2020-06-28,23389,Suppressed*,8
2020-06-28,23395,18,85
2020-06-28,23398,5,22
2020-06-28,23401,6,32
2020-06-28,23405,10,69
2020-06-28,23407,63,151
2020-06-28,23408,Suppressed*,11
2020-06-28,23409,Suppressed*,9
2020-06-28,23410,66,260
2020-06-28,23413,81,303
2020-06-28,23414,34,81
2020-06-28,23415,38,225
2020-06-28,23416,12,96
2020-06-28,23417,86,331
2020-06-28,23418,69,189
2020-06-28,23420,90,294
2020-06-28,23421,182,852
2020-06-28,23422,7,34
2020-06-28,23423,Suppressed*,17
2020-06-28,23426,5,13
2020-06-28,23427,5,20
2020-06-28,23430,59,956
2020-06-28,23432,7,77
2020-06-28,23433,0,61
2020-06-28,23434,236,4103
2020-06-28,23435,141,1874
2020-06-28,23436,Suppressed*,50
2020-06-28,23437,7,255
2020-06-28,23438,Suppressed*,122
2020-06-28,23440,0,7
2020-06-28,23441,41,81
2020-06-28,23442,29,175
2020-06-28,23451,91,2922
2020-06-28,23452,162,3759
2020-06-28,23453,69,1884
2020-06-28,23454,172,3688
2020-06-28,23455,86,2857
2020-06-28,23456,126,4165
2020-06-28,23457,9,203
2020-06-28,23459,18,126
2020-06-28,23460,Suppressed*,35
2020-06-28,23461,Suppressed*,75
2020-06-28,23462,228,4382
2020-06-28,23464,141,4232
2020-06-28,23480,Suppressed*,24
2020-06-28,23486,Suppressed*,8
2020-06-28,23487,75,454
2020-06-28,23488,8,33
2020-06-28,23502,76,2052
2020-06-28,23503,99,1538
2020-06-28,23504,107,1797
2020-06-28,23505,84,2179
2020-06-28,23507,24,1107
2020-06-28,23508,49,830
2020-06-28,23509,54,1859
2020-06-28,23510,54,1097
2020-06-28,23511,12,416
2020-06-28,23513,115,1824
2020-06-28,23517,24,311
2020-06-28,23518,88,1777
2020-06-28,23523,31,444
2020-06-28,23551,0,9
2020-06-28,23601,49,2184
2020-06-28,23602,86,2222
2020-06-28,23603,7,128
2020-06-28,23604,17,57
2020-06-28,23605,46,669
2020-06-28,23606,85,1279
2020-06-28,23607,51,1062
2020-06-28,23608,148,2112
2020-06-28,23651,Suppressed*,23
2020-06-28,23661,34,693
2020-06-28,23662,19,596
2020-06-28,23663,18,552
2020-06-28,23664,11,437
2020-06-28,23665,6,79
2020-06-28,23666,143,2540
2020-06-28,23669,88,2527
2020-06-28,23690,Suppressed*,136
2020-06-28,23691,0,12
2020-06-28,23692,36,755
2020-06-28,23693,22,759
2020-06-28,23696,0,123
2020-06-28,23701,161,1942
2020-06-28,23702,40,615
2020-06-28,23703,100,1934
2020-06-28,23704,87,1432
2020-06-28,23707,54,859
2020-06-28,23708,6,358
2020-06-28,23709,0,131
2020-06-28,23801,30,248
2020-06-28,23803,240,3117
2020-06-28,23805,109,2605
2020-06-28,23806,0,176
2020-06-28,23821,Suppressed*,193
2020-06-28,23824,24,550
2020-06-28,23827,Suppressed*,74
2020-06-28,23828,Suppressed*,25
2020-06-28,23829,81,819
2020-06-28,23830,7,127
2020-06-28,23831,212,2845
2020-06-28,23832,345,3247
2020-06-28,23833,12,147
2020-06-28,23834,190,2340
2020-06-28,23836,71,938
2020-06-28,23837,53,273
2020-06-28,23838,49,1062
2020-06-28,23839,Suppressed*,56
2020-06-28,23840,7,132
2020-06-28,23841,24,303
2020-06-28,23842,22,439
2020-06-28,23843,Suppressed*,44
2020-06-28,23844,Suppressed*,33
2020-06-28,23845,0,37
2020-06-28,23846,Suppressed*,47
2020-06-28,23847,402,1384
2020-06-28,23850,Suppressed*,81
2020-06-28,23851,45,1522
2020-06-28,23856,8,83
2020-06-28,23857,Suppressed*,56
2020-06-28,23860,267,3115
2020-06-28,23866,7,138
2020-06-28,23867,36,193
2020-06-28,23868,71,2151
2020-06-28,23872,9,154
2020-06-28,23874,0,77
2020-06-28,23875,52,860
2020-06-28,23876,0,15
2020-06-28,23878,Suppressed*,74
2020-06-28,23879,11,45
2020-06-28,23881,5,119
2020-06-28,23882,12,153
2020-06-28,23883,5,112
2020-06-28,23884,Suppressed*,0
2020-06-28,23885,5,176
2020-06-28,23887,Suppressed*,23
2020-06-28,23888,12,137
2020-06-28,23889,Suppressed*,61
2020-06-28,23890,90,338
2020-06-28,23891,67,161
2020-06-28,23893,Suppressed*,30
2020-06-28,23894,Suppressed*,47
2020-06-28,23897,Suppressed*,37
2020-06-28,23898,10,134
2020-06-28,23899,Suppressed*,28
2020-06-28,23901,126,1238
2020-06-28,23915,5,498
2020-06-28,23917,12,272
2020-06-28,23919,5,219
2020-06-28,23920,9,263
2020-06-28,23921,10,153
2020-06-28,23922,55,2036
2020-06-28,23923,8,164
2020-06-28,23924,98,579
2020-06-28,23927,67,410
2020-06-28,23930,31,456
2020-06-28,23934,Suppressed*,60
2020-06-28,23936,505,650
2020-06-28,23937,6,157
2020-06-28,23938,Suppressed*,41
2020-06-28,23942,14,110
2020-06-28,23943,0,6
2020-06-28,23944,Suppressed*,294
2020-06-28,23947,8,300
2020-06-28,23950,14,296
2020-06-28,23952,Suppressed*,26
2020-06-28,23954,Suppressed*,171
2020-06-28,23958,19,253
2020-06-28,23959,0,67
2020-06-28,23960,31,208
2020-06-28,23962,Suppressed*,57
2020-06-28,23963,0,16
2020-06-28,23964,0,85
2020-06-28,23966,12,197
2020-06-28,23967,Suppressed*,62
2020-06-28,23968,Suppressed*,66
2020-06-28,23970,23,753
2020-06-28,23974,12,368
2020-06-28,23976,Suppressed*,27
2020-06-28,24011,0,13873
2020-06-28,24012,188,956
2020-06-28,24013,22,161
2020-06-28,24014,67,460
2020-06-28,24015,32,430
2020-06-28,24016,14,371
2020-06-28,24017,50,1045
2020-06-28,24018,67,915
2020-06-28,24019,77,772
2020-06-28,24053,5,74
2020-06-28,24054,46,308
2020-06-28,24055,54,630
2020-06-28,24058,0,11
2020-06-28,24059,0,17
2020-06-28,24060,67,1034
2020-06-28,24064,Suppressed*,101
2020-06-28,24065,Suppressed*,96
2020-06-28,24066,Suppressed*,61
2020-06-28,24067,Suppressed*,34
2020-06-28,24069,9,92
2020-06-28,24070,Suppressed*,41
2020-06-28,24072,Suppressed*,30
2020-06-28,24073,48,1787
2020-06-28,24076,Suppressed*,37
2020-06-28,24077,Suppressed*,16
2020-06-28,24078,52,381
2020-06-28,24079,Suppressed*,37
2020-06-28,24082,0,14
2020-06-28,24083,11,165
2020-06-28,24084,17,424
2020-06-28,24085,10,47
2020-06-28,24086,0,0
2020-06-28,24087,8,108
2020-06-28,24088,Suppressed*,58
2020-06-28,24089,5,97
2020-06-28,24090,12,69
2020-06-28,24091,12,141
2020-06-28,24092,Suppressed*,45
2020-06-28,24093,0,2
2020-06-28,24095,5,83
2020-06-28,24101,5,110
2020-06-28,24102,0,28
2020-06-28,24104,Suppressed*,167
2020-06-28,24105,Suppressed*,6
2020-06-28,24112,140,2012
2020-06-28,24120,5,38
2020-06-28,24121,6,330
2020-06-28,24122,Suppressed*,46
2020-06-28,24124,Suppressed*,96
2020-06-28,24127,5,147
2020-06-28,24128,6,35
2020-06-28,24131,0,5
2020-06-28,24132,0,10
2020-06-28,24133,5,92
2020-06-28,24134,Suppressed*,207
2020-06-28,24136,0,50
2020-06-28,24137,Suppressed*,49
2020-06-28,24138,Suppressed*,45
2020-06-28,24139,9,40
2020-06-28,24141,16,418
2020-06-28,24142,0,7
2020-06-28,24147,Suppressed*,22
2020-06-28,24148,28,340
2020-06-28,24149,Suppressed*,63
2020-06-28,24150,Suppressed*,9
2020-06-28,24151,31,665
2020-06-28,24153,92,3764
2020-06-28,24161,0,15
2020-06-28,24162,9,78
2020-06-28,24165,Suppressed*,71
2020-06-28,24167,Suppressed*,6
2020-06-28,24168,5,45
2020-06-28,24171,26,238
2020-06-28,24174,Suppressed*,105
2020-06-28,24175,15,140
2020-06-28,24176,Suppressed*,40
2020-06-28,24179,43,381
2020-06-28,24184,9,66
2020-06-28,24185,0,23
2020-06-28,24201,Suppressed*,642
2020-06-28,24202,9,386
2020-06-28,24210,24,620
2020-06-28,24211,10,724
2020-06-28,24216,10,109
2020-06-28,24217,0,6
2020-06-28,24219,9,644
2020-06-28,24220,0,17
2020-06-28,24221,Suppressed*,15
2020-06-28,24224,6,114
2020-06-28,24225,0,41
2020-06-28,24226,0,39
2020-06-28,24228,Suppressed*,180
2020-06-28,24230,0,166
2020-06-28,24236,6,64
2020-06-28,24237,0,18
2020-06-28,24239,0,11
2020-06-28,24243,0,72
2020-06-28,24244,5,327
2020-06-28,24245,0,32
2020-06-28,24246,0,12
2020-06-28,24248,Suppressed*,82
2020-06-28,24250,0,29
2020-06-28,24251,Suppressed*,296
2020-06-28,24256,0,66
2020-06-28,24258,0,37
2020-06-28,24260,0,123
2020-06-28,24263,Suppressed*,239
2020-06-28,24265,0,21
2020-06-28,24266,Suppressed*,288
2020-06-28,24269,0,8
2020-06-28,24270,Suppressed*,16
2020-06-28,24271,0,92
2020-06-28,24272,0,9
2020-06-28,24273,6,448
2020-06-28,24277,Suppressed*,205
2020-06-28,24279,Suppressed*,98
2020-06-28,24280,0,17
2020-06-28,24281,0,77
2020-06-28,24282,0,19
2020-06-28,24283,0,72
2020-06-28,24290,0,58
2020-06-28,24292,0,15
2020-06-28,24293,5,311
2020-06-28,24301,14,649
2020-06-28,24311,0,60
2020-06-28,24312,Suppressed*,69
2020-06-28,24313,Suppressed*,28
2020-06-28,24314,0,68
2020-06-28,24315,Suppressed*,129
2020-06-28,24316,0,2
2020-06-28,24317,12,160
2020-06-28,24318,0,18
2020-06-28,24319,8,180
2020-06-28,24322,0,8
2020-06-28,24323,Suppressed*,25
2020-06-28,24324,0,76
2020-06-28,24325,Suppressed*,24
2020-06-28,24326,6,42
2020-06-28,24328,11,63
2020-06-28,24330,37,180
2020-06-28,24333,326,1247
2020-06-28,24340,9,147
2020-06-28,24343,95,474
2020-06-28,24347,Suppressed*,57
2020-06-28,24348,10,182
2020-06-28,24350,Suppressed*,33
2020-06-28,24351,0,18
2020-06-28,24352,5,36
2020-06-28,24354,20,821
2020-06-28,24360,11,238
2020-06-28,24361,Suppressed*,131
2020-06-28,24363,Suppressed*,30
2020-06-28,24366,Suppressed*,34
2020-06-28,24368,7,310
2020-06-28,24370,Suppressed*,148
2020-06-28,24374,0,38
2020-06-28,24375,0,33
2020-06-28,24377,0,7
2020-06-28,24378,Suppressed*,37
2020-06-28,24380,Suppressed*,45
2020-06-28,24381,23,139
2020-06-28,24382,23,828
2020-06-28,24401,87,1973
2020-06-28,24411,0,2
2020-06-28,24412,0,2
2020-06-28,24413,0,8
2020-06-28,24415,0,1
2020-06-28,24416,14,300
2020-06-28,24421,5,138
2020-06-28,24422,9,246
2020-06-28,24426,20,554
2020-06-28,24430,Suppressed*,117
2020-06-28,24431,10,146
2020-06-28,24432,Suppressed*,15
2020-06-28,24433,0,3
2020-06-28,24435,6,63
2020-06-28,24437,0,44
2020-06-28,24439,Suppressed*,60
2020-06-28,24440,8,110
2020-06-28,24441,43,388
2020-06-28,24442,0,4
2020-06-28,24445,0,56
2020-06-28,24448,Suppressed*,20
2020-06-28,24450,14,748
2020-06-28,24457,Suppressed*,34
2020-06-28,24458,Suppressed*,14
2020-06-28,24459,6,27
2020-06-28,24460,0,55
2020-06-28,24464,0,4
2020-06-28,24465,Suppressed*,52
2020-06-28,24467,8,83
2020-06-28,24471,9,94
2020-06-28,24472,Suppressed*,120
2020-06-28,24473,0,28
2020-06-28,24474,0,13
2020-06-28,24476,Suppressed*,21
2020-06-28,24477,30,484
2020-06-28,24479,Suppressed*,65
2020-06-28,24482,12,213
2020-06-28,24483,Suppressed*,19
2020-06-28,24484,0,13
2020-06-28,24485,Suppressed*,19
2020-06-28,24486,26,202
2020-06-28,24487,0,8
2020-06-28,24501,40,1676
2020-06-28,24502,59,1964
2020-06-28,24503,35,1049
2020-06-28,24504,9,537
2020-06-28,24517,7,344
2020-06-28,24520,Suppressed*,95
2020-06-28,24521,8,585
2020-06-28,24522,26,481
2020-06-28,24523,44,1698
2020-06-28,24526,Suppressed*,101
2020-06-28,24527,6,123
2020-06-28,24528,Suppressed*,157
2020-06-28,24529,Suppressed*,109
2020-06-28,24530,0,45
2020-06-28,24531,12,333
2020-06-28,24534,5,83
2020-06-28,24536,0,9
2020-06-28,24538,5,225
2020-06-28,24539,0,16
2020-06-28,24540,56,1413
2020-06-28,24541,40,1291
2020-06-28,24549,6,147
2020-06-28,24550,11,360
2020-06-28,24551,30,1150
2020-06-28,24553,Suppressed*,103
2020-06-28,24554,Suppressed*,171
2020-06-28,24555,5,61
2020-06-28,24556,Suppressed*,180
2020-06-28,24557,15,333
2020-06-28,24558,9,338
2020-06-28,24562,0,34
2020-06-28,24563,Suppressed*,281
2020-06-28,24565,Suppressed*,49
2020-06-28,24566,7,49
2020-06-28,24569,0,38
