"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
2020-05-19,20105,65,452
2020-05-19,20106,28,92
2020-05-19,20109,619,1550
2020-05-19,20110,752,1754
2020-05-19,20111,483,1210
2020-05-19,20112,122,655
2020-05-19,20115,23,119
2020-05-19,20117,7,44
2020-05-19,20118,Suppressed*,28
2020-05-19,20119,15,88
2020-05-19,20120,165,776
2020-05-19,20121,117,524
2020-05-19,20124,34,249
2020-05-19,20129,7,24
2020-05-19,20130,0,6
2020-05-19,20132,27,243
2020-05-19,20135,5,52
2020-05-19,20136,94,531
2020-05-19,20137,Suppressed*,25
2020-05-19,20139,Suppressed*,6
2020-05-19,20141,9,99
2020-05-19,20143,0,17
2020-05-19,20144,Suppressed*,11
2020-05-19,20147,215,1349
2020-05-19,20148,87,666
2020-05-19,20151,126,461
2020-05-19,20152,67,429
2020-05-19,20155,142,716
2020-05-19,20158,9,53
2020-05-19,20164,466,1224
2020-05-19,20165,138,663
2020-05-19,20166,75,328
2020-05-19,20169,57,384
2020-05-19,20170,439,1172
2020-05-19,20171,194,747
2020-05-19,20175,76,513
2020-05-19,20176,237,947
2020-05-19,20180,9,119
2020-05-19,20181,26,194
2020-05-19,20184,Suppressed*,22
2020-05-19,20186,42,352
2020-05-19,20187,40,314
2020-05-19,20190,132,571
2020-05-19,20191,176,712
2020-05-19,20194,22,198
2020-05-19,20197,Suppressed*,45
2020-05-19,20198,Suppressed*,33
2020-05-19,22003,714,1923
2020-05-19,22015,266,966
2020-05-19,22025,71,407
2020-05-19,22026,114,559
2020-05-19,22027,41,73
2020-05-19,22030,216,1108
2020-05-19,22031,224,894
2020-05-19,22032,88,527
2020-05-19,22033,146,739
2020-05-19,22035,0,4
2020-05-19,22039,49,315
2020-05-19,22041,487,1179
2020-05-19,22042,431,1214
2020-05-19,22043,152,535
2020-05-19,22044,170,450
2020-05-19,22046,103,422
2020-05-19,22060,12,80
2020-05-19,22066,38,333
2020-05-19,22079,199,906
2020-05-19,22101,92,686
2020-05-19,22102,78,575
2020-05-19,22124,37,302
2020-05-19,22125,Suppressed*,22
2020-05-19,22134,13,52
2020-05-19,22150,517,1258
2020-05-19,22151,183,554
2020-05-19,22152,131,582
2020-05-19,22153,110,604
2020-05-19,22172,81,307
2020-05-19,22180,118,562
2020-05-19,22181,31,259
2020-05-19,22182,71,489
2020-05-19,22191,920,3003
2020-05-19,22192,374,1750
2020-05-19,22193,822,2797
2020-05-19,22201,161,863
2020-05-19,22202,133,591
2020-05-19,22203,220,616
2020-05-19,22204,670,1895
2020-05-19,22205,96,494
2020-05-19,22206,125,558
2020-05-19,22207,202,899
2020-05-19,22209,55,316
2020-05-19,22211,Suppressed*,12
2020-05-19,22213,11,68
2020-05-19,22214,0,2
2020-05-19,22301,54,355
2020-05-19,22302,159,536
2020-05-19,22303,116,490
2020-05-19,22304,459,1599
2020-05-19,22305,436,846
2020-05-19,22306,504,1304
2020-05-19,22307,46,268
2020-05-19,22308,52,194
2020-05-19,22309,394,1081
2020-05-19,22310,195,739
2020-05-19,22311,291,803
2020-05-19,22312,316,989
2020-05-19,22314,143,847
2020-05-19,22315,68,511
2020-05-19,22401,94,603
2020-05-19,22405,66,611
2020-05-19,22406,55,483
2020-05-19,22407,204,1296
2020-05-19,22408,68,571
2020-05-19,22427,Suppressed*,59
2020-05-19,22432,Suppressed*,14
2020-05-19,22433,Suppressed*,6
2020-05-19,22435,Suppressed*,55
2020-05-19,22436,0,11
2020-05-19,22437,Suppressed*,16
2020-05-19,22438,Suppressed*,4
2020-05-19,22443,11,132
2020-05-19,22448,Suppressed*,15
2020-05-19,22454,Suppressed*,28
2020-05-19,22460,Suppressed*,23
2020-05-19,22469,Suppressed*,34
2020-05-19,22473,11,103
2020-05-19,22476,Suppressed*,4
2020-05-19,22480,0,22
2020-05-19,22482,Suppressed*,73
2020-05-19,22485,47,497
2020-05-19,22488,Suppressed*,22
2020-05-19,22503,Suppressed*,102
2020-05-19,22504,0,4
2020-05-19,22508,29,278
2020-05-19,22511,Suppressed*,19
2020-05-19,22514,Suppressed*,27
2020-05-19,22520,28,121
2020-05-19,22529,0,7
2020-05-19,22530,0,1
2020-05-19,22534,Suppressed*,40
2020-05-19,22535,0,11
2020-05-19,22538,0,6
2020-05-19,22539,Suppressed*,49
2020-05-19,22542,Suppressed*,36
2020-05-19,22546,26,254
2020-05-19,22548,0,3
2020-05-19,22551,56,412
2020-05-19,22553,15,277
2020-05-19,22554,255,1253
2020-05-19,22556,117,599
2020-05-19,22560,28,160
2020-05-19,22567,Suppressed*,77
2020-05-19,22572,250,454
2020-05-19,22576,0,32
2020-05-19,22578,0,41
2020-05-19,22579,Suppressed*,4
2020-05-19,22580,7,91
2020-05-19,22601,99,217
2020-05-19,22602,90,184
2020-05-19,22603,34,86
2020-05-19,22610,7,12
2020-05-19,22611,10,87
2020-05-19,22620,Suppressed*,18
2020-05-19,22623,Suppressed*,0
2020-05-19,22624,Suppressed*,11
2020-05-19,22625,5,12
2020-05-19,22627,0,9
2020-05-19,22630,80,167
2020-05-19,22637,Suppressed*,5
2020-05-19,22639,0,4
2020-05-19,22640,Suppressed*,5
2020-05-19,22641,0,1
2020-05-19,22642,15,50
2020-05-19,22643,0,5
2020-05-19,22644,40,37
2020-05-19,22645,15,26
2020-05-19,22646,0,3
2020-05-19,22650,Suppressed*,11
2020-05-19,22652,Suppressed*,15
2020-05-19,22654,Suppressed*,5
2020-05-19,22655,58,111
2020-05-19,22656,7,33
2020-05-19,22657,29,87
2020-05-19,22660,7,10
2020-05-19,22663,Suppressed*,5
2020-05-19,22664,108,122
2020-05-19,22701,385,933
2020-05-19,22709,0,16
2020-05-19,22711,0,1
2020-05-19,22712,68,263
2020-05-19,22713,6,23
2020-05-19,22714,9,28
2020-05-19,22715,Suppressed*,15
2020-05-19,22716,Suppressed*,9
2020-05-19,22718,Suppressed*,12
2020-05-19,22719,0,4
2020-05-19,22720,0,10
2020-05-19,22723,0,3
2020-05-19,22724,6,35
2020-05-19,22726,Suppressed*,16
2020-05-19,22727,17,121
2020-05-19,22728,Suppressed*,48
2020-05-19,22729,Suppressed*,9
2020-05-19,22730,0,1
2020-05-19,22731,Suppressed*,4
2020-05-19,22732,Suppressed*,7
2020-05-19,22733,11,36
2020-05-19,22734,19,88
2020-05-19,22735,Suppressed*,31
2020-05-19,22736,Suppressed*,10
2020-05-19,22737,Suppressed*,45
2020-05-19,22738,Suppressed*,24
2020-05-19,22740,Suppressed*,21
2020-05-19,22741,0,5
2020-05-19,22742,12,42
2020-05-19,22743,0,1
2020-05-19,22747,0,14
2020-05-19,22749,0,4
2020-05-19,22801,460,992
2020-05-19,22802,375,951
2020-05-19,22807,Suppressed*,2
2020-05-19,22810,Suppressed*,12
2020-05-19,22811,Suppressed*,16
2020-05-19,22812,13,160
2020-05-19,22815,49,174
2020-05-19,22820,0,2
2020-05-19,22821,16,86
2020-05-19,22824,47,62
2020-05-19,22827,37,240
2020-05-19,22830,14,37
2020-05-19,22831,Suppressed*,13
2020-05-19,22832,Suppressed*,17
2020-05-19,22834,Suppressed*,18
2020-05-19,22835,100,231
2020-05-19,22840,Suppressed*,68
2020-05-19,22841,8,50
2020-05-19,22842,49,90
2020-05-19,22843,Suppressed*,28
2020-05-19,22844,29,96
