"﻿Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/17/2020,24471,11,127
7/17/2020,24323,Suppressed*,34
7/17/2020,24646,0,25
7/17/2020,24354,33,1183
7/17/2020,23894,Suppressed*,60
7/17/2020,22401,279,2960
7/17/2020,22182,138,1995
7/17/2020,24630,0,279
7/17/2020,23140,28,594
7/17/2020,23839,5,77
7/17/2020,24477,44,743
7/17/2020,20176,879,6169
7/17/2020,20137,15,161
7/17/2020,24649,Suppressed*,76
7/17/2020,22947,11,446
7/17/2020,23851,87,2450
7/17/2020,22601,374,12901
7/17/2020,22509,Suppressed*,8
7/17/2020,22015,412,3365
7/17/2020,23690,7,236
7/17/2020,24348,13,1303
7/17/2020,22637,6,98
7/17/2020,20139,Suppressed*,17
7/17/2020,24176,7,61
7/17/2020,23314,31,631
7/17/2020,24421,7,210
7/17/2020,20198,7,159
7/17/2020,22976,Suppressed*,20
7/17/2020,22435,13,263
7/17/2020,24605,10,889
7/17/2020,24340,10,205
7/17/2020,23221,57,1777
7/17/2020,23336,10,213
7/17/2020,22044,282,1518
7/17/2020,24065,7,168
7/17/2020,22851,84,370
7/17/2020,22181,74,1079
7/17/2020,24014,97,841
7/17/2020,23237,427,3192
7/17/2020,24266,14,395
7/17/2020,24531,26,1539
7/17/2020,23942,19,142
7/17/2020,23883,6,163
7/17/2020,23231,248,4064
7/17/2020,24078,77,557
7/17/2020,23460,Suppressed*,67
7/17/2020,24102,Suppressed*,50
7/17/2020,22611,31,608
7/17/2020,23967,Suppressed*,86
7/17/2020,23923,10,203
7/17/2020,24378,Suppressed*,64
7/17/2020,24416,25,426
7/17/2020,24375,0,62
7/17/2020,24651,Suppressed*,587
7/17/2020,22576,Suppressed*,144
7/17/2020,22066,89,1247
7/17/2020,23486,Suppressed*,12
7/17/2020,23701,245,2766
7/17/2020,24011,0,21743
7/17/2020,23806,0,177
7/17/2020,23551,Suppressed*,16
7/17/2020,23875,61,1115
7/17/2020,23821,5,247
7/17/2020,23846,Suppressed*,69
7/17/2020,23156,5,108
7/17/2020,20169,117,1885
7/17/2020,24541,84,1971
7/17/2020,23898,19,199
7/17/2020,23876,0,19
7/17/2020,22640,Suppressed*,17
7/17/2020,23669,187,3508
7/17/2020,22035,Suppressed*,40
7/17/2020,24301,23,977
7/17/2020,23917,13,343
7/17/2020,23503,199,2432
7/17/2020,22939,15,587
7/17/2020,24216,10,169
7/17/2020,24538,6,295
7/17/2020,24473,0,38
7/17/2020,20166,225,1453
7/17/2020,22041,765,3836
7/17/2020,24631,Suppressed*,968
7/17/2020,22193,1667,9670
7/17/2020,20135,12,250
7/17/2020,22201,230,3161
7/17/2020,23434,400,6017
7/17/2020,20144,Suppressed*,56
7/17/2020,23303,19,148
7/17/2020,24350,Suppressed*,58
7/17/2020,23395,18,108
7/17/2020,24598,6,119
7/17/2020,20120,384,3217
7/17/2020,22812,44,711
7/17/2020,20180,39,669
7/17/2020,24079,Suppressed*,52
7/17/2020,22134,23,179
7/17/2020,23059,122,2839
7/17/2020,24374,Suppressed*,45
7/17/2020,23461,Suppressed*,111
7/17/2020,24016,36,649
7/17/2020,22508,68,1140
7/17/2020,23139,76,1889
7/17/2020,23837,65,416
7/17/2020,22802,557,3196
7/17/2020,24445,Suppressed*,154
7/17/2020,23021,0,12
7/17/2020,24503,62,1715
7/17/2020,22952,6,174
7/17/2020,22042,858,4277
7/17/2020,22973,25,773
7/17/2020,24258,0,52
7/17/2020,24382,29,1155
7/17/2020,22656,26,234
7/17/2020,22211,Suppressed*,21
7/17/2020,20191,339,2464
7/17/2020,24211,18,1045
7/17/2020,23930,35,583
7/17/2020,20110,1611,7744
7/17/2020,22438,Suppressed*,57
7/17/2020,22844,74,548
7/17/2020,23602,193,3371
7/17/2020,24589,Suppressed*,159
7/17/2020,24603,13,61
7/17/2020,22719,0,15
7/17/2020,23102,13,282
7/17/2020,22315,132,2038
7/17/2020,23228,410,4359
7/17/2020,24517,15,472
7/17/2020,22749,0,17
7/17/2020,22902,223,2934
7/17/2020,24248,9,132
7/17/2020,22650,Suppressed*,31
7/17/2020,23888,29,227
7/17/2020,24151,50,1032
7/17/2020,20117,11,188
7/17/2020,20170,1098,4799
7/17/2020,22967,Suppressed*,157
7/17/2020,23976,Suppressed*,37
7/17/2020,23229,311,4345
7/17/2020,23603,18,214
7/17/2020,23513,290,2971
7/17/2020,24558,18,497
7/17/2020,23032,0,31
7/17/2020,22204,1095,6465
7/17/2020,22191,1846,10015
7/17/2020,24139,9,57
7/17/2020,23845,Suppressed*,47
7/17/2020,23056,0,12
7/17/2020,23150,109,1312
7/17/2020,22949,0,138
7/17/2020,24013,31,297
7/17/2020,20121,270,2103
7/17/2020,24459,6,44
7/17/2020,23462,486,6678
7/17/2020,20190,222,2415
7/17/2020,24601,0,Suppressed*
7/17/2020,20106,49,329
7/17/2020,24595,0,13
7/17/2020,23422,7,53
7/17/2020,22824,95,344
7/17/2020,23966,15,255
7/17/2020,22932,25,743
7/17/2020,22202,231,2407
7/17/2020,23188,228,4302
7/17/2020,23702,95,945
7/17/2020,23130,Suppressed*,13
7/17/2020,23350,76,433
7/17/2020,24553,Suppressed*,135
7/17/2020,22958,8,136
7/17/2020,24562,Suppressed*,45
7/17/2020,23175,Suppressed*,181
7/17/2020,23120,55,1023
7/17/2020,23129,Suppressed*,31
7/17/2020,24347,5,80
7/17/2020,24271,0,120
7/17/2020,22203,351,2592
7/17/2020,24322,0,8
7/17/2020,23831,261,3702
7/17/2020,24504,14,688
7/17/2020,22663,14,69
7/17/2020,23063,62,693
7/17/2020,23236,191,2955
7/17/2020,23108,0,6
7/17/2020,23117,34,908
7/17/2020,23161,0,6
7/17/2020,23947,10,386
7/17/2020,22443,38,718
7/17/2020,22529,Suppressed*,25
7/17/2020,22642,28,205
7/17/2020,20164,1301,5796
7/17/2020,24292,0,23
7/17/2020,24485,Suppressed*,27
7/17/2020,22720,Suppressed*,57
7/17/2020,22301,96,1299
7/17/2020,23420,90,363
7/17/2020,24171,36,356
7/17/2020,24381,32,218
7/17/2020,24450,35,1324
7/17/2020,23426,5,14
7/17/2020,23962,Suppressed*,70
7/17/2020,22937,5,121
7/17/2020,23023,Suppressed*,29
7/17/2020,22302,259,2966
7/17/2020,24269,0,9
7/17/2020,23487,96,717
7/17/2020,24077,5,46
7/17/2020,23829,83,857
7/17/2020,23320,431,9392
7/17/2020,23661,72,1229
7/17/2020,20119,36,327
7/17/2020,23857,5,76
7/17/2020,24133,5,128
7/17/2020,23454,331,6069
