"Report Date","ZIP Code","Number of Cases","Total Number of People Tested"
2020-05-08,20105,49,364
2020-05-08,20106,18,66
2020-05-08,20109,387,938
2020-05-08,20110,405,1050
2020-05-08,20111,294,758
2020-05-08,20112,75,445
2020-05-08,20115,15,90
2020-05-08,20117,7,39
2020-05-08,20118,Suppressed*,35
2020-05-08,20119,8,60
2020-05-08,20120,92,584
2020-05-08,20121,72,363
2020-05-08,20124,28,224
2020-05-08,20129,7,23
2020-05-08,20130,0,8
2020-05-08,20132,20,210
2020-05-08,20135,5,44
2020-05-08,20136,69,413
2020-05-08,20137,0,15
2020-05-08,20139,Suppressed*,5
2020-05-08,20141,7,83
2020-05-08,20143,0,18
2020-05-08,20144,Suppressed*,11
2020-05-08,20147,171,880
2020-05-08,20148,69,564
2020-05-08,20151,80,308
2020-05-08,20152,54,328
2020-05-08,20155,91,549
2020-05-08,20158,6,51
2020-05-08,20164,282,786
2020-05-08,20165,104,507
2020-05-08,20166,50,227
2020-05-08,20169,39,355
2020-05-08,20170,251,766
2020-05-08,20171,150,567
2020-05-08,20175,55,481
2020-05-08,20176,149,778
2020-05-08,20180,5,111
2020-05-08,20181,20,142
2020-05-08,20184,Suppressed*,24
2020-05-08,20186,30,283
2020-05-08,20187,32,260
2020-05-08,20190,94,404
2020-05-08,20191,123,529
2020-05-08,20194,14,160
2020-05-08,20197,Suppressed*,42
2020-05-08,20198,Suppressed*,27
2020-05-08,22003,481,"1,352"
2020-05-08,22015,199,725
2020-05-08,22025,46,292
2020-05-08,22026,83,361
2020-05-08,22027,39,58
2020-05-08,22030,122,812
2020-05-08,22031,145,622
2020-05-08,22032,71,424
2020-05-08,22033,93,543
2020-05-08,22035,0,4
2020-05-08,22039,36,248
2020-05-08,22041,315,736
2020-05-08,22042,258,832
2020-05-08,22043,106,409
2020-05-08,22044,106,310
2020-05-08,22046,89,352
2020-05-08,22060,10,69
2020-05-08,22066,31,341
2020-05-08,22079,135,656
2020-05-08,22101,75,656
2020-05-08,22102,67,514
2020-05-08,22124,28,236
2020-05-08,22125,0,12
2020-05-08,22134,8,38
2020-05-08,22150,374,881
2020-05-08,22151,128,390
2020-05-08,22152,92,446
2020-05-08,22153,82,445
2020-05-08,22172,64,204
2020-05-08,22180,54,407
2020-05-08,22181,20,210
2020-05-08,22182,49,394
2020-05-08,22191,554,"1,897"
2020-05-08,22192,243,"1,273"
2020-05-08,22193,491,"1,762"
2020-05-08,22201,123,740
2020-05-08,22202,103,501
2020-05-08,22203,162,480
2020-05-08,22204,486,"1,366"
2020-05-08,22205,68,387
2020-05-08,22206,98,441
2020-05-08,22207,176,767
2020-05-08,22209,44,267
2020-05-08,22211,Suppressed*,8
2020-05-08,22213,10,54
2020-05-08,22214,0,2
2020-05-08,22301,36,295
2020-05-08,22302,107,397
2020-05-08,22303,77,375
2020-05-08,22304,311,"1,185"
2020-05-08,22305,330,608
2020-05-08,22306,329,885
2020-05-08,22307,36,215
2020-05-08,22308,23,150
2020-05-08,22309,267,741
2020-05-08,22310,139,592
2020-05-08,22311,200,552
2020-05-08,22312,211,690
2020-05-08,22314,115,724
2020-05-08,22315,55,391
2020-05-08,22401,52,439
2020-05-08,22405,48,452
2020-05-08,22406,36,353
2020-05-08,22407,139,870
2020-05-08,22408,43,429
2020-05-08,22427,Suppressed*,41
2020-05-08,22432,0,11
2020-05-08,22433,Suppressed*,3
2020-05-08,22435,Suppressed*,39
2020-05-08,22436,0,6
2020-05-08,22437,Suppressed*,14
2020-05-08,22438,Suppressed*,2
2020-05-08,22443,9,81
2020-05-08,22448,Suppressed*,8
2020-05-08,22454,0,12
2020-05-08,22460,Suppressed*,15
2020-05-08,22469,Suppressed*,26
2020-05-08,22473,Suppressed*,65
2020-05-08,22476,Suppressed*,1
2020-05-08,22480,0,17
2020-05-08,22482,Suppressed*,49
2020-05-08,22485,37,273
2020-05-08,22488,Suppressed*,16
2020-05-08,22503,Suppressed*,67
2020-05-08,22504,0,2
2020-05-08,22508,19,180
2020-05-08,22511,Suppressed*,9
2020-05-08,22514,Suppressed*,22
2020-05-08,22520,23,82
2020-05-08,22529,0,5
2020-05-08,22534,0,25
2020-05-08,22535,0,8
2020-05-08,22538,0,6
2020-05-08,22539,Suppressed*,34
2020-05-08,22542,0,20
2020-05-08,22546,23,180
2020-05-08,22548,0,3
2020-05-08,22551,42,284
2020-05-08,22553,12,212
2020-05-08,22554,173,953
2020-05-08,22556,86,453
2020-05-08,22560,15,95
2020-05-08,22567,Suppressed*,48
2020-05-08,22572,178,305
2020-05-08,22576,0,25
2020-05-08,22578,0,31
2020-05-08,22579,0,2
2020-05-08,22580,5,73
2020-05-08,22601,66,156
2020-05-08,22602,59,157
2020-05-08,22603,27,79
2020-05-08,22610,7,10
2020-05-08,22611,9,66
2020-05-08,22620,Suppressed*,12
2020-05-08,22623,Suppressed*,0
2020-05-08,22624,Suppressed*,10
2020-05-08,22625,Suppressed*,10
2020-05-08,22627,0,7
2020-05-08,22630,59,129
2020-05-08,22637,0,5
2020-05-08,22639,0,2
2020-05-08,22640,Suppressed*,4
2020-05-08,22641,0,1
2020-05-08,22642,12,36
2020-05-08,22643,0,5
2020-05-08,22644,23,26
2020-05-08,22645,12,24
2020-05-08,22646,0,2
2020-05-08,22650,Suppressed*,12
2020-05-08,22652,Suppressed*,9
2020-05-08,22654,Suppressed*,6
2020-05-08,22655,36,98
2020-05-08,22656,Suppressed*,33
2020-05-08,22657,22,79
2020-05-08,22660,5,9
2020-05-08,22663,Suppressed*,4
2020-05-08,22664,63,70
2020-05-08,22701,196,535
2020-05-08,22709,0,14
2020-05-08,22712,39,176
2020-05-08,22713,5,13
2020-05-08,22714,Suppressed*,14
2020-05-08,22715,Suppressed*,14
2020-05-08,22716,0,5
2020-05-08,22718,Suppressed*,8
2020-05-08,22719,0,3
2020-05-08,22720,0,5
2020-05-08,22723,0,2
2020-05-08,22724,6,25
2020-05-08,22726,Suppressed*,10
2020-05-08,22727,11,76
2020-05-08,22728,Suppressed*,31
2020-05-08,22729,0,5
2020-05-08,22730,0,1
2020-05-08,22731,0,2
2020-05-08,22732,Suppressed*,5
2020-05-08,22733,6,24
2020-05-08,22734,10,51
2020-05-08,22735,Suppressed*,17
2020-05-08,22736,Suppressed*,6
2020-05-08,22737,Suppressed*,27
2020-05-08,22738,Suppressed*,19
2020-05-08,22740,0,18
2020-05-08,22741,0,4
2020-05-08,22742,6,29
2020-05-08,22747,0,8
2020-05-08,22749,0,1
2020-05-08,22801,394,748
2020-05-08,22802,327,708
2020-05-08,22807,Suppressed*,2
2020-05-08,22810,Suppressed*,7
2020-05-08,22811,Suppressed*,9
2020-05-08,22812,12,109
2020-05-08,22815,37,129
2020-05-08,22820,0,1
2020-05-08,22821,12,47
2020-05-08,22824,34,40
2020-05-08,22827,26,167
2020-05-08,22830,12,26
2020-05-08,22831,Suppressed*,6
2020-05-08,22832,Suppressed*,12
2020-05-08,22834,0,11
2020-05-08,22835,74,179
2020-05-08,22840,Suppressed*,51
2020-05-08,22841,7,33
2020-05-08,22842,39,61
2020-05-08,22843,Suppressed*,23
2020-05-08,22844,23,65
2020-05-08,22846,6,36
2020-05-08,22847,0,8
2020-05-08,22849,9,68
2020-05-08,22850,Suppressed*,18
2020-05-08,22851,35,87
2020-05-08,22853,32,90
2020-05-08,22901,78,830
2020-05-08,22902,24,473
2020-05-08,22903,39,588
2020-05-08,22904,0,5
2020-05-08,22911,14,308
2020-05-08,22920,Suppressed*,29
2020-05-08,22922,Suppressed*,34
2020-05-08,22923,5,78
2020-05-08,22931,0,7
2020-05-08,22932,9,131
2020-05-08,22935,Suppressed*,15
2020-05-08,22936,Suppressed*,71
2020-05-08,22937,Suppressed*,31
2020-05-08,22938,Suppressed*,15
2020-05-08,22939,Suppressed*,46
2020-05-08,22940,Suppressed*,17
2020-05-08,22942,5,188
2020-05-08,22943,0,5
2020-05-08,22946,Suppressed*,3
2020-05-08,22947,Suppressed*,69
2020-05-08,22948,0,1
2020-05-08,22949,0,21
2020-05-08,22952,0,23
2020-05-08,22958,Suppressed*,22
2020-05-08,22959,Suppressed*,40
2020-05-08,22960,15,220
2020-05-08,22963,23,294
2020-05-08,22964,0,1
2020-05-08,22967,0,18
2020-05-08,22968,6,153
2020-05-08,22969,Suppressed*,22
2020-05-08,22971,0,35
2020-05-08,22972,Suppressed*,11
2020-05-08,22973,Suppressed*,112
2020-05-08,22974,6,100
2020-05-08,22976,0,7
2020-05-08,22980,28,292
2020-05-08,22989,0,2
2020-05-08,23002,16,196
2020-05-08,23004,8,31
2020-05-08,23005,17,179
2020-05-08,23009,9,78
2020-05-08,23011,Suppressed*,17
2020-05-08,23015,Suppressed*,54
2020-05-08,23021,0,4
2020-05-08,23022,5,26
2020-05-08,23023,Suppressed*,5
2020-05-08,23024,18,102
2020-05-08,23025,0,6
2020-05-08,23027,Suppressed*,22
2020-05-08,23030,13,72
2020-05-08,23032,0,1
2020-05-08,23035,Suppressed*,14
2020-05-08,23038,6,27
2020-05-08,23039,Suppressed*,17
2020-05-08,23040,6,69
2020-05-08,23043,Suppressed*,10
2020-05-08,23045,0,1
2020-05-08,23047,0,16
2020-05-08,23050,Suppressed*,6
2020-05-08,23055,36,53
2020-05-08,23056,0,2
2020-05-08,23059,36,407
2020-05-08,23060,63,515
2020-05-08,23061,16,209
2020-05-08,23062,Suppressed*,41
2020-05-08,23063,53,153
2020-05-08,23064,0,2
2020-05-08,23065,Suppressed*,18
2020-05-08,23066,0,2
2020-05-08,23068,0,4
2020-05-08,23069,Suppressed*,36
2020-05-08,23070,0,5
2020-05-08,23071,Suppressed*,11
2020-05-08,23072,6,141
2020-05-08,23075,101,227
2020-05-08,23076,0,8
2020-05-08,23079,0,1
2020-05-08,23083,Suppressed*,29
2020-05-08,23084,5,48
2020-05-08,23085,0,4
2020-05-08,23086,Suppressed*,20
2020-05-08,23089,7,97
2020-05-08,23091,0,8
2020-05-08,23092,0,5
2020-05-08,23093,23,280
2020-05-08,23102,6,26
2020-05-08,23103,13,84
2020-05-08,23106,Suppressed*,12
2020-05-08,23109,0,20
2020-05-08,23110,0,11
2020-05-08,23111,55,477
2020-05-08,23112,77,642
2020-05-08,23113,57,423
2020-05-08,23114,30,263
2020-05-08,23115,0,3
2020-05-08,23116,63,490
2020-05-08,23117,Suppressed*,150
2020-05-08,23119,Suppressed*,0
2020-05-08,23120,20,179
2020-05-08,23123,16,73
2020-05-08,23124,Suppressed*,48
2020-05-08,23126,0,3
2020-05-08,23128,Suppressed*,16
2020-05-08,23129,0,2
2020-05-08,23130,Suppressed*,4
2020-05-08,23138,0,2
2020-05-08,23139,19,329
2020-05-08,23140,14,87
2020-05-08,23141,10,92
2020-05-08,23146,5,29
2020-05-08,23148,0,18
2020-05-08,23149,Suppressed*,46
2020-05-08,23150,25,166
2020-05-08,23153,Suppressed*,17
2020-05-08,23156,Suppressed*,17
2020-05-08,23160,0,6
2020-05-08,23161,0,1
2020-05-08,23163,0,1
2020-05-08,23168,8,165
2020-05-08,23169,0,9
2020-05-08,23173,0,1
2020-05-08,23175,Suppressed*,12
2020-05-08,23176,0,1
2020-05-08,23177,0,10
2020-05-08,23180,0,2
2020-05-08,23181,0,78
2020-05-08,23185,103,980
2020-05-08,23187,0,13
2020-05-08,23188,118,998
2020-05-08,23192,8,70
2020-05-08,23219,11,75
2020-05-08,23220,50,371
2020-05-08,23221,13,156
2020-05-08,23222,61,362
2020-05-08,23223,176,893
2020-05-08,23224,152,718
2020-05-08,23225,118,732
2020-05-08,23226,61,279
2020-05-08,23227,42,377
2020-05-08,23228,71,556
2020-05-08,23229,50,458
2020-05-08,23230,8,96
2020-05-08,23231,93,530
2020-05-08,23233,94,534
2020-05-08,23234,151,659
2020-05-08,23235,78,611
2020-05-08,23236,42,441
2020-05-08,23237,56,340
2020-05-08,23238,209,490
2020-05-08,23250,0,2
2020-05-08,23294,30,260
2020-05-08,23301,40,82
