Date,Total COVID-19 Patients,ICU Patients,Vent Patients,PPE,Capacity,Surge Capacity,Beds Occupied
07/08/20,971,230,98,0,16476,19771.2,12794
07/18/20,1166,254,108,0,16476,19771.2,12758
06/13/20,959,295,142,0,16476,19771.2,12545
06/08/20,1173,308,160,0,16476,19771.2,12049
04/20/20,1296,396,237,6,16476,19771.2,10515
05/09/20,1593,367,198,0,16476,19771.2,11778
06/25/20,854,237,104,0,16476,19771.2,12852
07/29/20,1350,276,155,0,16476,19771.2,12829
04/26/20,1436,387,217,2,16476,19771.2,11156
06/27/20,819,234,103,0,16476,19771.2,12629
05/22/20,1459,366,207,0,16476,19771.2,12287
06/07/20,1186,316,165,0,16476,19771.2,12102
04/30/20,1550,372,208,2,16476,19771.2,11377
04/18/20,1307,398,230,6,16476,19771.2,10379
05/10/20,1555,351,187,0,16476,19771.2,11790
07/19/20,1186,249,127,0,16476,19771.2,12656
05/27/20,1459,390,203,0,16476,19771.2,12176
04/22/20,1374,419,244,3,16476,19771.2,10957
08/06/20,1349,284,157,0,16476,19771.2,12953
05/20/20,1536,370,202,0,16476,19771.2,12212
08/02/20,1172,267,138,0,16476,19771.2,12765
06/12/20,1026,297,143,0,16476,19771.2,12684
06/10/20,1155,296,139,2,16476,19771.2,12594
05/24/20,1351,354,192,0,16476,19771.2,11904
08/05/20,1304,283,144,0,16476,19771.2,12915
06/30/20,902,230,98,0,16476,19771.2,12567
06/11/20,1069,273,138,0,16476,19771.2,12642
05/28/20,1502,416,195,0,16476,19771.2,12396
04/14/20,1282,422,276,7,16476,19771.2,10485
06/18/20,857,241,129,0,16476,19771.2,12594
05/07/20,1613,371,203,0,16476,19771.2,11793
04/25/20,1405,357,223,3,16476,19771.2,11123
04/17/20,1308,400,224,6,16476,19771.2,10889
06/24/20,886,235,107,0,16476,19771.2,12714
05/12/20,1529,364,201,0,16476,19771.2,11692
05/05/20,1496,361,189,0,16476,19771.2,11750
04/16/20,1337,427,238,6,16476,19771.2,10933
05/08/20,1625,378,199,0,16476,19771.2,11841
06/19/20,862,251,121,0,16476,19771.2,12613
06/14/20,958,334,155,0,16476,19771.2,12330
07/20/20,1158,265,125,0,16476,19771.2,12599
07/04/20,808,207,99,0,16476,19771.2,12452
06/01/20,1371,347,188,0,16476,19771.2,12056
05/11/20,1504,362,194,0,16476,19771.2,11829
06/23/20,847,245,126,0,16476,19771.2,12152
05/18/20,1502,361,194,0,16476,19771.2,12087
07/21/20,1189,258,127,2,16476,19771.2,12711
07/11/20,1020,230,97,0,16476,19771.2,12946
07/22/20,1157,253,136,1,16476,19771.2,12921
07/30/20,1357,284,147,0,16476,19771.2,13049
07/31/20,1334,279,145,0,16476,19771.2,12871
07/27/20,1200,260,140,0,16476,19771.2,12642
08/03/20,1205,271,151,0,16476,19771.2,12721
07/12/20,1045,228,101,0,16476,19771.2,12777
07/02/20,888,206,95,0,16476,19771.2,12718
05/13/20,1526,374,202,0,16476,19771.2,11930
06/26/20,854,219,99,0,16476,19771.2,12680
05/04/20,1463,348,192,0,16476,19771.2,11459
05/19/20,1497,377,199,0,16476,19771.2,12065
06/05/20,1205,320,161,0,16476,19771.2,12233
05/25/20,1376,349,182,0,16476,19771.2,11968
07/06/20,783,194,86,0,16476,19771.2,12237
05/30/20,1471,372,194,0,16476,19771.2,12146
05/26/20,1403,366,190,0,16476,19771.2,11960
05/06/20,1594,396,192,0,16476,19771.2,11715
07/17/20,1171,247,118,0,16476,19771.2,12942
07/13/20,1129,243,105,0,16476,19771.2,12677
08/01/20,1256,275,150,0,16476,19771.2,12896
05/16/20,1505,381,189,0,16476,19771.2,11999
05/31/20,1458,371,196,0,16476,19771.2,11684
05/02/20,1426,375,202,1,16476,19771.2,11406
07/28/20,1294,261,153,0,16476,19771.2,12652
08/04/20,1255,282,144,0,16476,19771.2,12706
07/07/20,902,221,105,0,16476,19771.2,12424
06/09/20,1169,311,155,0,16476,19771.2,12137
06/03/20,1311,313,185,0,16476,19771.2,12314
04/28/20,1508,376,217,2,16476,19771.2,11299
06/15/20,902,269,130,0,16476,19771.2,11957
07/05/20,792,202,95,0,16476,19771.2,12182
06/02/20,1362,336,186,0,16476,19771.2,11933
07/03/20,818,207,95,0,16476,19771.2,12748
06/17/20,938,249,120,0,16476,19771.2,12488
07/25/20,1201,266,138,0,16476,19771.2,12827
05/03/20,1413,385,193,0,16476,19771.2,11289
06/04/20,1266,321,171,0,16476,19771.2,12324
06/16/20,904,241,125,0,16476,19771.2,12204
06/21/20,863,243,125,0,16476,19771.2,12283
05/21/20,1491,351,191,0,16476,19771.2,12226
06/22/20,848,240,132,0,16476,19771.2,12155
07/09/20,956,215,93,0,16476,19771.2,12864
07/24/20,1250,274,142,1,16476,19771.2,12980
04/24/20,1399,379,220,4,16476,19771.2,10991
07/01/20,892,205,95,0,16476,19771.2,12830
08/07/20,1372,284,159,0,16476,19771.2,13015
05/14/20,1533,355,201,0,16476,19771.2,12116
04/19/20,1319,388,231,6,16476,19771.2,10623
06/20/20,880,267,133,0,16476,19771.2,12424
07/10/20,1006,234,102,0,16476,19771.2,13013
04/21/20,1331,403,251,4,16476,19771.2,11011
04/23/20,1379,400,249,3,16476,19771.2,11149
04/29/20,1566,387,222,1,16476,19771.2,11324
04/15/20,1298,394,234,6,16476,19771.2,10859
05/29/20,1524,373,193,0,16476,19771.2,12369
05/01/20,1431,366,193,2,16476,19771.2,11295
06/29/20,796,225,101,0,16476,19771.2,12374
06/28/20,818,235,107,0,16476,19771.2,12449
05/23/20,1384,330,213,0,16476,19771.2,12191
05/17/20,1524,379,195,0,16476,19771.2,11926
07/26/20,1174,268,143,0,16476,19771.2,12625
06/06/20,1171,324,169,0,16476,19771.2,12280
07/14/20,1127,249,112,0,16476,19771.2,12705
07/23/20,1218,257,136,1,16476,19771.2,12990
07/15/20,1081,246,113,0,16476,19771.2,12933
07/16/20,1134,248,118,0,16476,19771.2,13014
05/15/20,1511,362,195,0,16476,19771.2,12148
04/27/20,1455,389,217,2,16476,19771.2,11043
