"﻿Report Date","Beds Occupied","Surge Capacity",Capacity,PPE,"ICU Patients","Vent Patients"
4/14/2020,10485,19771.2,16476,7,422,276
4/15/2020,10859,19771.2,16476,6,394,234
4/16/2020,10933,19771.2,16476,6,427,238
4/17/2020,10889,19771.2,16476,6,400,224
4/18/2020,10379,19771.2,16476,6,398,230
4/19/2020,10623,19771.2,16476,6,388,231
4/20/2020,10515,19771.2,16476,6,396,237
4/21/2020,11011,19771.2,16476,4,403,251
4/22/2020,10957,19771.2,16476,3,419,244
4/23/2020,11149,19771.2,16476,3,400,249
4/24/2020,10991,19771.2,16476,4,379,220
4/25/2020,11123,19771.2,16476,3,357,223
4/26/2020,11156,19771.2,16476,2,387,217
4/27/2020,11043,19771.2,16476,2,389,217
4/28/2020,11299,19771.2,16476,2,376,217
4/29/2020,11324,19771.2,16476,1,387,222
4/30/2020,11377,19771.2,16476,2,372,208
5/1/2020,11295,19771.2,16476,2,366,193
5/2/2020,11406,19771.2,16476,1,375,202
5/3/2020,11289,19771.2,16476,0,385,193
5/4/2020,11459,19771.2,16476,0,348,192
