Date,"Total COVID-19 Patients","ICU Patients","Vent Patients",PPE,Capacity,"Surge Capacity","Beds Occupied"
2020-12-27,2495,514,318,0,16476,19771.2,12635
2020-07-01,892,205,95,0,16476,19771.2,12830
2020-10-23,1012,233,113,0,16476,19771.2,13177
2020-11-04,1041,231,102,0,16476,19771.2,13152
2020-08-07,1372,284,159,0,16476,19771.2,13015
2020-05-14,1533,355,201,0,16476,19771.2,12116
2020-08-17,1173,281,158,1,16476,19771.2,12588
2020-08-11,1293,280,148,1,16476,19771.2,12854
2020-09-26,924,202,111,0,16476,19771.2,13016
2020-09-08,1051,240,118,1,16476,19771.2,12512
2020-10-28,1068,252,113,0,16476,19771.2,13171
2020-04-19,1319,388,231,6,16476,19771.2,10623
2020-11-09,1127,214,98,0,16476,19771.2,12746
2020-06-20,880,267,133,0,16476,19771.2,12424
2020-09-12,995,228,113,2,16476,19771.2,12997
2020-10-30,1065,231,107,0,16476,19771.2,13096
2020-11-16,1337,263,118,0,16476,19771.2,12897
2020-07-10,1006,234,102,0,16476,19771.2,13013
2020-09-21,995,217,106,0,16476,19771.2,12691
2020-12-05,1852,407,183,0,16476,19771.2,13164
2020-04-21,1331,403,251,4,16476,19771.2,11011
2020-10-26,1048,230,114,0,16476,19771.2,12824
2020-12-09,2004,429,197,0,16476,19771.2,13241
2021-01-01,2754,557,322,0,16476,19771.2,13193
2020-04-23,1379,400,249,3,16476,19771.2,11149
2020-10-27,1081,230,106,0,16476,19771.2,13047
2020-04-29,1566,387,222,1,16476,19771.2,11324
2020-08-18,1253,300,163,0,16476,19771.2,12679
2020-11-25,1549,361,153,0,16476,19771.2,12943
2020-04-15,1298,394,234,6,16476,19771.2,10859
2020-08-23,1155,251,130,1,16476,19771.2,12561
2020-09-22,940,213,113,0,16476,19771.2,12731
2020-05-29,1524,373,193,0,16476,19771.2,12369
2020-10-31,1026,228,104,0,16476,19771.2,13109
2020-05-01,1431,366,193,2,16476,19771.2,11295
2020-05-17,1524,379,195,0,16476,19771.2,11926
2020-06-28,818,235,107,0,16476,19771.2,12449
2020-05-23,1384,330,213,0,16476,19771.2,12191
2020-06-29,796,225,101,0,16476,19771.2,12374
2020-07-26,1174,268,143,0,16476,19771.2,12625
2020-08-27,1174,264,148,1,16476,19771.2,12968
2020-06-06,1171,324,169,0,16476,19771.2,12280
2020-10-20,937,194,98,0,16476,19771.2,12664
2020-07-14,1127,249,112,0,16476,19771.2,12705
2020-09-23,916,215,113,0,16476,19771.2,13065
2020-07-23,1218,257,136,1,16476,19771.2,12990
2020-09-01,1039,258,130,1,16476,19771.2,12821
2020-07-15,1081,246,113,0,16476,19771.2,12933
2020-08-21,1233,263,142,0,16476,19771.2,13059
2020-07-16,1134,248,118,0,16476,19771.2,13014
2020-11-08,1090,202,90,0,16476,19771.2,12611
2020-11-17,1392,272,103,0,16476,19771.2,12920
2020-08-10,1251,279,159,1,16476,19771.2,12775
2020-05-15,1511,362,195,0,16476,19771.2,12148
2020-04-27,1455,389,217,2,16476,19771.2,11043
