Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",1472,201,1262,9
"San Antonio, TX HCS",1459,60,1340,59
"Houston, TX HCS",1435,39,1345,51
"Phoenix, AZ HCS",1301,45,1187,69
Texas Valley Coastal Bend HCS,1220,63,1081,76
"Atlanta, GA HCS",1219,49,1126,44
"Orlando, FL HCS",1218,51,1147,20
"Columbia, SC HCS",1060,73,941,46
New York Harbor HCS,1033,12,906,115
New Jersey HCS,1007,10,876,121
"New Orleans, LA HCS",996,24,908,64
"Miami, FL HCS",983,33,929,21
"Gainesville, FL HCS",963,68,867,28
"Charleston, SC HCS",892,34,841,17
"Tampa, FL HCS",891,32,820,39
"Bay Pines, FL HCS",830,26,780,24
"Temple, TX HCS",776,60,698,18
"Bronx, NY HCS",772,7,674,91
"Dallas, TX HCS",748,41,675,32
"Washington, DC HCS",745,32,650,63
"Boston, MA HCS",735,12,635,88
"Cleveland, OH HCS",698,45,585,68
"Chicago, IL HCS",689,22,619,48
"Philadelphia, PA HCS",686,18,615,53
"Loma Linda, CA HCS",628,30,586,12
"Long Beach, CA HCS",604,29,560,15
"Las Vegas, NV HCS",599,42,537,20
Middle Tennessee HCS,585,46,518,21
"West Palm Beach, FL HCS",577,21,527,29
"St. Louis, MO HCS",576,75,470,31
"Gulf Coast, MS HCS",571,37,511,23
"Hines, IL HCS",565,42,487,36
"Salisbury, NC HCS",551,45,475,31
"Aurora, CO HCS",544,22,489,33
"Greater Los Angeles, CA HCS",540,21,485,34
Nebraska-W Iowa HCS,502,46,416,40
"Indianapolis, IN HCS",493,20,419,54
"Augusta, GA HCS",482,54,404,24
"Shreveport, LA HCS",471,36,397,38
Central Alabama HCS,470,40,420,10
"Birmingham, AL HCS",461,34,402,25
"Minneapolis, MN HCS",455,46,363,46
Connecticut HCS,453,4,413,36
"Kansas City, MO HCS",451,51,390,10
"Dublin, GA HCS",450,35,407,8
"San Diego, CA HCS",446,27,409,10
"Alexandria, LA HCS",441,8,413,20
"Jackson, MS HCS",433,17,386,30
"Fayetteville, NC HCS",419,34,369,16
"Little Rock, AR HCS",412,43,358,11
Southern Arizona HCS,410,10,363,37
"Richmond, VA HCS",402,33,343,26
"Durham, NC HCS",396,36,340,20
"Baltimore, MD HCS",393,21,341,31
"Milwaukee, WI HCS",392,21,358,13
"Palo Alto, CA HCS",381,29,331,21
"Northport, NY HCS",377,6,324,47
"Hampton, VA HCS",375,28,338,9
"Detroit, MI HCS",367,4,313,50
N. California HCS,367,31,321,15
Western New York HCS,366,10,314,42
"Mountain Home, TN HCS",363,51,298,14
