Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,732,244,416,72
New York Harbor HCS,656,133,436,87
"Bronx, NY HCS",544,81,404,59
"New Orleans, LA HCS",502,26,435,41
"Philadelphia, PA HCS",336,136,178,22
"Boston, MA HCS",332,123,175,34
"Washington, DC HCS",307,102,182,23
"North Chicago, IL HCS",300,134,165,1
"Aurora, CO HCS",267,55,198,14
"Chicago, IL HCS",259,54,190,15
Connecticut HCS,241,69,165,7
"Detroit, MI HCS",221,42,148,31
"Indianapolis, IN HCS",217,65,126,26
"Bedford, MA HCS",216,88,108,20
"Northport, NY HCS",216,57,133,26
"Hudson Valley, NY HCS",209,37,162,10
"Atlanta, GA HCS",199,44,144,11
"Cleveland, OH HCS",184,50,116,18
Western New York HCS,169,58,94,17
"Hines, IL HCS",149,65,75,9
"Ann Arbor, MI HCS",132,30,91,11
"St. Louis, MO HCS",127,45,73,9
"Columbia, SC HCS",125,14,107,4
"Miami, FL HCS",119,21,93,5
"Greater Los Angeles, CA HCS",101,25,69,7
"Minneapolis, MN HCS",101,46,43,12
"Puget Sound, WA HCS",98,28,65,5
"Baltimore, MD HCS",91,60,30,1
"Lebanon, PA HCS",91,31,52,8
"Milwaukee, WI HCS",89,25,59,5
"Kansas City, MO HCS",82,11,68,3
"Orlando, FL HCS",82,15,65,2
"Wilmington, DE HCS",80,26,50,4
"Richmond, VA HCS",79,15,55,9
"Salisbury, NC HCS",78,40,32,6
"Long Beach, CA HCS",73,18,52,3
Nebraska-W Iowa HCS,72,31,34,7
"San Juan, PR HCS",71,3,68,0
"Las Vegas, NV HCS",67,12,54,1
"Shreveport, LA HCS",65,16,41,8
"Wilkes-Barre, PA HCS",65,15,43,7
"Hampton, VA HCS",63,7,53,3
"Louisville, KY HCS",63,23,36,4
Central Western Massachusetts HCS,62,20,40,2
"Houston, TX HCS",62,25,31,6
"Dallas, TX HCS",61,19,38,4
"Durham, NC HCS",59,22,35,2
"Providence, RI HCS",58,19,31,8
"Cincinnati, OH HCS",56,14,40,2
"San Antonio, TX HCS",56,18,34,4
"San Diego, CA HCS",56,14,41,1
Middle Tennessee HCS,55,22,30,3
"Phoenix, AZ HCS",52,16,32,4
"Martinsburg, WV HCS",47,21,23,3
"Spokane, WA HCS",46,35,9,2
"West Palm Beach, FL HCS",44,10,31,3
"Palo Alto, CA HCS",43,13,26,4
"Loma Linda, CA HCS",42,16,26,0
"Little Rock, AR HCS",41,11,27,3
"Pittsburgh, PA HCS",41,13,26,2
"Jackson, MS HCS",38,21,15,2
"Fayetteville, NC HCS",36,11,24,1
N. California HCS,35,4,28,3
"Augusta, GA HCS",34,9,24,1
"Gainesville, FL HCS",34,5,29,0
"Memphis, TN HCS",34,8,24,2
"Oklahoma City, OK HCS",33,13,18,2
"Alexandria, LA HCS",31,12,16,3
"San Francisco, CA HCS",31,5,24,2
Southern Arizona HCS,31,5,22,4
"Albany, NY HCS",30,6,18,6
"Battle Creek, MI HCS",30,19,8,3
"Temple, TX HCS",30,13,16,1
"Muskogee, OK HCS",29,8,18,3
"Bay Pines, FL HCS",28,8,19,1
Northern Indiana HCS,28,9,16,3
"Coatesville, PA HCS",27,13,11,3
"Iowa City, IA HCS",27,10,16,1
"Reno, NV HCS",27,7,18,2
"Asheville, NC HCS",26,12,8,6
Central Iowa HCS,26,15,7,4
"Salt Lake City, UT HCS",26,6,20,0
"Sioux Falls, SD HCS",26,14,12,0
"Birmingham, AL HCS",24,6,14,4
"Dayton, OH HCS",24,5,19,0
Eastern Kansas HCS,23,5,18,0
"El Paso, TX HCS",22,14,8,0
"Portland, OR HCS",22,11,8,3
New Mexico HCS,20,2,14,4
"Tampa, FL HCS",20,5,12,3
Central Alabama HCS,19,3,16,0
"Columbus, OH HCS",19,9,10,0
"Dublin, GA HCS",19,4,15,0
"Saginaw, MI HCS",18,4,14,0
"Fargo, ND HCS",17,11,3,3
"Mountain Home, TN HCS",16,3,13,0
"Butler, PA HCS",15,3,9,3
"Cheyenne, WY HCS",15,5,10,0
"Togus, ME HCS",15,5,9,1
"Amarillo, TX HCS",14,10,4,0
"Charleston, SC HCS",14,8,6,0
"Gulf Coast, MS HCS",14,6,6,2
"Madison, WI HCS",14,3,9,2
"Boise, ID HCS",13,0,12,1
"Chillicothe, OH HCS",13,6,6,1
"Fresno, CA HCS",13,6,7,0
Northern Arizona HCS,13,3,10,0
"St. Cloud, MN HCS",11,8,3,0
"Syracuse, NY HCS",11,4,6,1
"Altoona, PA HCS",9,3,6,0
