Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,822,46,682,94
New York Harbor HCS,722,44,585,93
"Bronx, NY HCS",600,38,494,68
"New Orleans, LA HCS",536,19,474,43
"Philadelphia, PA HCS",454,43,386,25
"Boston, MA HCS",416,34,332,50
"Washington, DC HCS",412,62,315,35
"North Chicago, IL HCS",384,70,312,2
"Chicago, IL HCS",314,38,257,19
Connecticut HCS,300,27,260,13
"Aurora, CO HCS",295,22,252,21
"Detroit, MI HCS",278,18,222,38
"Northport, NY HCS",268,20,220,28
"Indianapolis, IN HCS",267,33,200,34
"Cleveland, OH HCS",261,45,188,28
"Hudson Valley, NY HCS",243,17,215,11
"Bedford, MA HCS",238,11,196,31
Western New York HCS,220,36,155,29
"Atlanta, GA HCS",215,6,193,16
"Hines, IL HCS",205,34,156,15
"Baltimore, MD HCS",184,32,143,9
"Minneapolis, MN HCS",171,36,111,24
"St. Louis, MO HCS",168,21,133,14
"Columbia, SC HCS",152,10,133,9
"Miami, FL HCS",149,20,123,6
"Ann Arbor, MI HCS",146,8,124,14
"Houston, TX HCS",140,19,113,8
"Lebanon, PA HCS",123,15,94,14
"Wilmington, DE HCS",123,17,96,10
Nebraska-W Iowa HCS,121,28,79,14
"Puget Sound, WA HCS",121,13,100,8
"Richmond, VA HCS",115,31,75,9
"Greater Los Angeles, CA HCS",114,12,95,7
"Jackson, MS HCS",103,27,71,5
"Orlando, FL HCS",103,15,86,2
"Milwaukee, WI HCS",102,13,83,6
"Salisbury, NC HCS",101,17,69,15
"Kansas City, MO HCS",99,12,83,4
"Dallas, TX HCS",98,14,77,7
"Fayetteville, NC HCS",96,35,57,4
"Long Beach, CA HCS",95,14,77,4
"Providence, RI HCS",93,2,76,15
"Shreveport, LA HCS",93,16,67,10
"West Palm Beach, FL HCS",89,29,52,8
"Wilkes-Barre, PA HCS",86,12,64,10
"Martinsburg, WV HCS",84,17,60,7
"Durham, NC HCS",83,15,62,6
"Louisville, KY HCS",79,12,60,7
"San Diego, CA HCS",78,14,63,1
"Las Vegas, NV HCS",77,7,69,1
"Phoenix, AZ HCS",76,13,55,8
"San Juan, PR HCS",73,1,72,0
Central Western Massachusetts HCS,72,2,66,4
"San Antonio, TX HCS",71,9,55,7
"Hampton, VA HCS",70,4,62,4
"Cincinnati, OH HCS",66,9,55,2
"Little Rock, AR HCS",66,14,47,5
Middle Tennessee HCS,66,8,55,3
"Coatesville, PA HCS",65,14,41,10
"Loma Linda, CA HCS",62,8,53,1
"Pittsburgh, PA HCS",60,5,52,3
"Battle Creek, MI HCS",55,11,40,4
"Spokane, WA HCS",53,2,45,6
"Birmingham, AL HCS",52,15,30,7
"Portland, OR HCS",52,11,37,4
"Palo Alto, CA HCS",50,6,37,7
Central Iowa HCS,49,17,28,4
Northern Indiana HCS,48,14,30,4
"Augusta, GA HCS",47,9,35,3
New Mexico HCS,47,7,33,7
"Sioux Falls, SD HCS",47,15,30,2
"Bay Pines, FL HCS",46,12,32,2
"Alexandria, LA HCS",45,7,34,4
"Dublin, GA HCS",45,3,42,0
"Memphis, TN HCS",44,8,31,5
Central Alabama HCS,43,18,25,0
"El Paso, TX HCS",42,17,25,0
"Columbus, OH HCS",41,9,30,2
"Gainesville, FL HCS",41,3,37,1
"Albany, NY HCS",40,6,28,6
N. California HCS,40,4,33,3
Southern Arizona HCS,40,5,28,7
"Salt Lake City, UT HCS",39,11,28,0
"Temple, TX HCS",39,8,29,2
"Oklahoma City, OK HCS",38,3,31,4
"San Francisco, CA HCS",38,4,32,2
"Iowa City, IA HCS",35,6,27,2
"Fargo, ND HCS",34,12,17,5
"Asheville, NC HCS",33,4,21,8
"Dayton, OH HCS",33,6,27,0
"Reno, NV HCS",33,3,27,3
"Tampa, FL HCS",33,4,25,4
"Muskogee, OK HCS",31,3,23,5
"St. Cloud, MN HCS",28,8,19,1
"Saginaw, MI HCS",27,5,22,0
Eastern Kansas HCS,26,4,22,0
"Charleston, SC HCS",25,2,23,0
"Fresno, CA HCS",24,7,17,0
"Gulf Coast, MS HCS",24,5,17,2
"Madison, WI HCS",24,4,17,3
"Manchester, NH HCS",24,2,20,2
"Tuscaloosa, AL HCS",23,14,9,0
"Amarillo, TX HCS",22,4,18,0
"Togus, ME HCS",20,4,15,1
"Mountain Home, TN HCS",19,3,16,0
"Syracuse, NY HCS",18,7,9,2
"Chillicothe, OH HCS",17,0,16,1
"Boise, ID HCS",16,2,13,1
"Cheyenne, WY HCS",16,1,15,0
Northern Arizona HCS,13,0,13,0
"Butler, PA HCS",12,1,8,3
"Finger Lakes, NY HCS",12,2,10,0
"Walla Walla, WA HCS",12,4,7,1
"White River Junction, VT HCS",12,1,9,2
"Huntington, WV HCS",10,1,8,1
"Salem, VA HCS",10,2,8,0
Texas Valley Coastal Bend HCS,10,2,6,2
"Wichita, KS HCS",10,0,9,1
"Columbia, MO HCS",9,4,4,1
"Anchorage, AK HCS",8,0,8,0
"Big Spring, TX HCS",8,1,7,0
"Danville, IL HCS",8,1,7,0
"Fayetteville, AR HCS",8,3,3,2
"Honolulu, HI HCS",8,0,8,0
"Lexington, KY HCS",8,0,8,0
"Altoona, PA HCS",6,0,6,0
"Erie, PA HCS",6,1,4,1
"Grand Junction, CO HCS",5,0,3,2
Montana HCS,5,0,4,1
"Clarksburg, WV HCS",4,0,4,0
"Tomah, WI HCS",4,1,3,0
"Poplar Bluff, MO HCS",3,0,3,0
"Roseburg, OR HCS",3,0,3,0
"Black Hills, SD HCS",2,1,1,0
"Beckley, WV HCS",1,0,1,0
"Iron Mountain, MI HCS",1,0,1,0
"Marion, IL HCS",1,0,1,0
"Sheridan, WY HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
