Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,822,24,702,96
New York Harbor HCS,723,24,606,93
"Bronx, NY HCS",600,22,509,69
"New Orleans, LA HCS",535,8,483,44
"Philadelphia, PA HCS",466,25,412,29
"Washington, DC HCS",423,37,347,39
"Boston, MA HCS",416,16,348,52
"North Chicago, IL HCS",384,36,345,3
"Chicago, IL HCS",317,25,272,20
Connecticut HCS,302,16,269,17
"Aurora, CO HCS",295,7,267,21
"Detroit, MI HCS",278,7,232,39
"Indianapolis, IN HCS",273,21,216,36
"Northport, NY HCS",269,8,232,29
"Cleveland, OH HCS",264,30,204,30
"Hudson Valley, NY HCS",245,8,226,11
"Bedford, MA HCS",238,5,202,31
Western New York HCS,220,19,170,31
"Atlanta, GA HCS",215,4,195,16
"Hines, IL HCS",207,19,172,16
"Baltimore, MD HCS",188,19,156,13
"Minneapolis, MN HCS",173,29,116,28
"St. Louis, MO HCS",171,16,140,15
"Miami, FL HCS",154,16,132,6
"Columbia, SC HCS",153,4,140,9
"Ann Arbor, MI HCS",150,7,129,14
"Houston, TX HCS",142,7,126,9
"Lebanon, PA HCS",129,11,104,14
Nebraska-W Iowa HCS,127,20,91,16
"Wilmington, DE HCS",124,7,107,10
"Puget Sound, WA HCS",121,5,108,8
"Richmond, VA HCS",118,26,83,9
"Greater Los Angeles, CA HCS",115,7,100,8
"Orlando, FL HCS",106,14,90,2
"Jackson, MS HCS",103,22,74,7
"Milwaukee, WI HCS",102,6,90,6
"Salisbury, NC HCS",102,8,79,15
"Dallas, TX HCS",99,12,80,7
"Kansas City, MO HCS",99,8,87,4
"Fayetteville, NC HCS",97,23,69,5
"Long Beach, CA HCS",97,8,85,4
"Providence, RI HCS",94,2,77,15
"Shreveport, LA HCS",93,11,72,10
"West Palm Beach, FL HCS",90,24,57,9
"Wilkes-Barre, PA HCS",89,9,70,10
"Martinsburg, WV HCS",87,9,71,7
"Durham, NC HCS",83,5,72,6
"San Diego, CA HCS",81,9,71,1
"Louisville, KY HCS",79,6,66,7
"Las Vegas, NV HCS",77,4,72,1
"Phoenix, AZ HCS",77,10,59,8
Central Western Massachusetts HCS,73,1,68,4
"San Juan, PR HCS",73,1,72,0
"San Antonio, TX HCS",71,4,60,7
"Hampton, VA HCS",70,2,64,4
"Cincinnati, OH HCS",69,8,59,2
"Coatesville, PA HCS",68,8,50,10
"Little Rock, AR HCS",67,6,56,5
Middle Tennessee HCS,66,4,59,3
"Loma Linda, CA HCS",63,6,56,1
"Pittsburgh, PA HCS",62,2,57,3
"Battle Creek, MI HCS",58,3,49,6
"Portland, OR HCS",53,5,44,4
"Spokane, WA HCS",53,0,47,6
"Birmingham, AL HCS",52,10,34,8
New Mexico HCS,51,4,38,9
"Salt Lake City, UT HCS",51,23,28,0
"Augusta, GA HCS",50,9,38,3
"Bay Pines, FL HCS",50,8,40,2
Central Iowa HCS,50,9,37,4
Northern Indiana HCS,50,6,40,4
"Palo Alto, CA HCS",50,3,40,7
"Sioux Falls, SD HCS",48,6,40,2
"Alexandria, LA HCS",45,3,38,4
"Dublin, GA HCS",45,3,42,0
"Memphis, TN HCS",44,2,37,5
Central Alabama HCS,43,7,36,0
"El Paso, TX HCS",43,3,40,0
"Gainesville, FL HCS",43,4,38,1
"Columbus, OH HCS",42,5,35,2
"Albany, NY HCS",40,3,31,6
N. California HCS,40,2,35,3
Southern Arizona HCS,40,4,29,7
"Oklahoma City, OK HCS",39,3,31,5
"Temple, TX HCS",39,2,35,2
"San Francisco, CA HCS",38,1,34,3
"Fargo, ND HCS",36,12,18,6
"Iowa City, IA HCS",35,5,28,2
"Asheville, NC HCS",34,1,25,8
"Dayton, OH HCS",34,4,29,1
"Reno, NV HCS",33,1,29,3
"Tampa, FL HCS",33,4,25,4
"Muskogee, OK HCS",31,1,25,5
"St. Cloud, MN HCS",30,7,22,1
"Saginaw, MI HCS",28,1,26,1
Eastern Kansas HCS,27,2,25,0
"Tuscaloosa, AL HCS",27,17,10,0
"Charleston, SC HCS",25,1,24,0
"Madison, WI HCS",25,3,19,3
"Fresno, CA HCS",24,2,22,0
"Gulf Coast, MS HCS",24,4,18,2
"Manchester, NH HCS",24,1,19,4
"Amarillo, TX HCS",23,2,21,0
"Togus, ME HCS",20,2,17,1
"Mountain Home, TN HCS",19,0,19,0
"Syracuse, NY HCS",19,7,10,2
"Chillicothe, OH HCS",17,0,16,1
"Boise, ID HCS",16,0,15,1
"Cheyenne, WY HCS",16,1,15,0
"Butler, PA HCS",13,2,8,3
"Finger Lakes, NY HCS",13,1,12,0
Northern Arizona HCS,13,0,13,0
"Walla Walla, WA HCS",12,1,10,1
"White River Junction, VT HCS",12,1,9,2
"Salem, VA HCS",11,2,9,0
"Columbia, MO HCS",10,3,6,1
