Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,879,17,757,105
New York Harbor HCS,776,23,657,96
"Bronx, NY HCS",672,18,573,81
"New Orleans, LA HCS",561,9,504,48
"Washington, DC HCS",525,45,426,54
"North Chicago, IL HCS",524,65,452,7
"Philadelphia, PA HCS",522,19,470,33
"Boston, MA HCS",517,19,431,67
"Chicago, IL HCS",397,11,361,25
Connecticut HCS,378,18,334,26
"Aurora, CO HCS",336,11,299,26
"Atlanta, GA HCS",317,32,263,22
"Cleveland, OH HCS",316,19,258,39
"Northport, NY HCS",311,9,269,33
"Indianapolis, IN HCS",308,13,254,41
"Detroit, MI HCS",301,16,246,39
"Hines, IL HCS",296,12,260,24
"Bedford, MA HCS",269,9,227,33
"Hudson Valley, NY HCS",256,4,239,13
"Columbia, SC HCS",253,39,201,13
Western New York HCS,251,12,205,34
"Miami, FL HCS",234,55,172,7
"Baltimore, MD HCS",231,18,196,17
"Phoenix, AZ HCS",215,92,108,15
"St. Louis, MO HCS",211,17,177,17
"Houston, TX HCS",208,41,160,9
"Minneapolis, MN HCS",196,10,154,32
"San Antonio, TX HCS",178,87,84,7
Nebraska-W Iowa HCS,173,24,128,21
"Long Beach, CA HCS",168,38,124,6
"Ann Arbor, MI HCS",164,7,140,17
"Richmond, VA HCS",164,16,135,13
"Orlando, FL HCS",163,46,113,4
"Greater Los Angeles, CA HCS",162,26,127,9
"Lebanon, PA HCS",160,18,125,17
"Dallas, TX HCS",153,26,117,10
"Bay Pines, FL HCS",150,71,76,3
"Salisbury, NC HCS",150,26,107,17
"Fayetteville, NC HCS",149,6,134,9
"West Palm Beach, FL HCS",149,21,115,13
"Puget Sound, WA HCS",147,16,123,8
"Wilmington, DE HCS",145,11,122,12
"Jackson, MS HCS",140,17,110,13
"Milwaukee, WI HCS",138,14,117,7
"Providence, RI HCS",135,9,109,17
"Shreveport, LA HCS",126,20,94,12
"San Diego, CA HCS",124,20,101,3
"Durham, NC HCS",119,21,92,6
"Loma Linda, CA HCS",118,23,91,4
"Dublin, GA HCS",116,13,101,2
"Kansas City, MO HCS",116,9,102,5
Central Western Massachusetts HCS,115,9,98,8
Central Alabama HCS,111,36,71,4
"Wilkes-Barre, PA HCS",109,9,87,13
"Tampa, FL HCS",106,43,58,5
"Las Vegas, NV HCS",105,17,87,1
Middle Tennessee HCS,102,24,75,3
"Martinsburg, WV HCS",101,8,82,11
Southern Arizona HCS,98,42,49,7
"Louisville, KY HCS",97,11,79,7
"Birmingham, AL HCS",96,20,65,11
"Charleston, SC HCS",94,43,51,0
"Salt Lake City, UT HCS",93,16,74,3
"Temple, TX HCS",93,31,59,3
"Little Rock, AR HCS",86,13,67,6
"Augusta, GA HCS",83,19,57,7
"Hampton, VA HCS",80,9,66,5
"Coatesville, PA HCS",79,1,68,10
New Mexico HCS,79,12,55,12
"Battle Creek, MI HCS",77,4,64,9
"Cincinnati, OH HCS",77,3,71,3
"San Juan, PR HCS",76,2,74,0
"Pittsburgh, PA HCS",75,6,66,3
"Portland, OR HCS",75,9,61,5
"Gainesville, FL HCS",73,15,55,3
"Memphis, TN HCS",69,7,57,5
Central Iowa HCS,67,9,52,6
Northern Indiana HCS,67,9,53,5
"Alexandria, LA HCS",66,7,55,4
"Columbus, OH HCS",64,4,56,4
"Oklahoma City, OK HCS",60,8,45,7
"El Paso, TX HCS",59,4,48,7
"Palo Alto, CA HCS",59,6,46,7
