Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,746,212,462,72
New York Harbor HCS,676,123,464,89
"Bronx, NY HCS",553,78,415,60
"New Orleans, LA HCS",507,23,443,41
"Boston, MA HCS",355,101,217,37
"Philadelphia, PA HCS",347,97,228,22
"Washington, DC HCS",312,90,197,25
"North Chicago, IL HCS",307,127,179,1
Connecticut HCS,272,79,186,7
"Aurora, CO HCS",271,46,211,14
"Chicago, IL HCS",266,48,203,15
"Northport, NY HCS",227,56,145,26
"Detroit, MI HCS",223,29,163,31
"Bedford, MA HCS",222,75,126,21
"Indianapolis, IN HCS",220,52,141,27
"Hudson Valley, NY HCS",209,32,167,10
"Atlanta, GA HCS",207,44,152,11
"Cleveland, OH HCS",187,39,130,18
Western New York HCS,174,50,106,18
"Hines, IL HCS",160,63,88,9
"Columbia, SC HCS",140,17,117,6
"Ann Arbor, MI HCS",133,22,99,12
"St. Louis, MO HCS",132,32,90,10
"Miami, FL HCS",120,17,98,5
"Minneapolis, MN HCS",111,48,50,13
"Baltimore, MD HCS",108,61,46,1
"Puget Sound, WA HCS",105,26,74,5
"Greater Los Angeles, CA HCS",101,22,72,7
"Lebanon, PA HCS",91,26,57,8
"Milwaukee, WI HCS",89,19,64,6
"Orlando, FL HCS",83,11,70,2
"Kansas City, MO HCS",82,9,70,3
"Providence, RI HCS",80,14,55,11
"Richmond, VA HCS",80,13,58,9
"Wilmington, DE HCS",80,22,54,4
"Salisbury, NC HCS",78,27,44,7
Nebraska-W Iowa HCS,76,31,37,8
"Long Beach, CA HCS",74,11,60,3
"San Juan, PR HCS",71,2,69,0
"Shreveport, LA HCS",69,12,49,8
Central Western Massachusetts HCS,67,17,48,2
"Las Vegas, NV HCS",67,11,55,1
"Houston, TX HCS",66,22,38,6
"Louisville, KY HCS",65,18,42,5
"Wilkes-Barre, PA HCS",65,11,47,7
"Dallas, TX HCS",64,16,44,4
"Hampton, VA HCS",63,4,55,4
"Jackson, MS HCS",62,39,21,2
"San Antonio, TX HCS",60,17,38,5
"Durham, NC HCS",59,16,41,2
"San Diego, CA HCS",58,14,43,1
Middle Tennessee HCS,57,21,33,3
"Cincinnati, OH HCS",56,9,45,2
