Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,714,317,326,71
New York Harbor HCS,643,150,407,86
"Bronx, NY HCS",534,92,384,58
"New Orleans, LA HCS",502,29,433,40
"Philadelphia, PA HCS",323,148,154,21
"Boston, MA HCS",287,108,149,30
"Washington, DC HCS",275,96,158,21
"North Chicago, IL HCS",258,105,152,1
"Chicago, IL HCS",241,55,172,14
Connecticut HCS,232,80,146,6
"Detroit, MI HCS",216,45,142,29
"Aurora, CO HCS",211,35,170,6
"Northport, NY HCS",209,63,120,26
"Indianapolis, IN HCS",204,60,118,26
"Hudson Valley, NY HCS",203,38,155,10
"Bedford, MA HCS",202,90,93,19
"Atlanta, GA HCS",177,34,132,11
"Cleveland, OH HCS",174,51,106,17
Western New York HCS,154,63,75,16
"Ann Arbor, MI HCS",126,30,85,11
"Hines, IL HCS",125,57,59,9
"Columbia, SC HCS",122,17,101,4
"St. Louis, MO HCS",121,48,65,8
"Miami, FL HCS",117,24,88,5
"Greater Los Angeles, CA HCS",95,23,65,7
"Puget Sound, WA HCS",94,27,62,5
"Minneapolis, MN HCS",92,41,39,12
"Baltimore, MD HCS",89,65,23,1
"Milwaukee, WI HCS",86,28,53,5
"Lebanon, PA HCS",80,25,49,6
"Orlando, FL HCS",80,14,64,2
"Richmond, VA HCS",79,18,52,9
"Kansas City, MO HCS",78,10,65,3
"San Juan, PR HCS",71,4,67,0
"Long Beach, CA HCS",70,18,49,3
"Wilmington, DE HCS",67,23,40,4
"Shreveport, LA HCS",65,22,35,8
Nebraska-W Iowa HCS,64,34,23,7
"Las Vegas, NV HCS",63,16,46,1
"Hampton, VA HCS",62,11,48,3
"Salisbury, NC HCS",62,31,25,6
"Louisville, KY HCS",61,24,33,4
"Wilkes-Barre, PA HCS",61,15,39,7
"Houston, TX HCS",57,25,26,6
"Providence, RI HCS",56,25,23,8
Central Western Massachusetts HCS,55,19,34,2
"San Diego, CA HCS",54,15,38,1
"Dallas, TX HCS",53,16,33,4
"Durham, NC HCS",53,22,29,2
"Cincinnati, OH HCS",52,15,35,2
"Phoenix, AZ HCS",52,25,23,4
Middle Tennessee HCS,50,18,29,3
"San Antonio, TX HCS",47,13,30,4
"Spokane, WA HCS",44,34,9,1
"Palo Alto, CA HCS",42,12,26,4
"Pittsburgh, PA HCS",42,18,22,2
"West Palm Beach, FL HCS",41,9,29,3
"Little Rock, AR HCS",40,12,25,3
"Loma Linda, CA HCS",38,13,25,0
"Martinsburg, WV HCS",37,19,15,3
"Jackson, MS HCS",34,23,10,1
N. California HCS,34,10,21,3
"Fayetteville, NC HCS",32,13,18,1
"Gainesville, FL HCS",32,8,24,0
"Alexandria, LA HCS",31,16,12,3
"Augusta, GA HCS",31,10,20,1
"Memphis, TN HCS",31,7,23,1
Southern Arizona HCS,30,8,18,4
"Albany, NY HCS",29,6,17,6
"San Francisco, CA HCS",29,6,21,2
"Oklahoma City, OK HCS",27,11,14,2
"Temple, TX HCS",27,12,14,1
"Battle Creek, MI HCS",26,16,7,3
"Bay Pines, FL HCS",25,8,16,1
"Iowa City, IA HCS",25,9,15,1
Northern Indiana HCS,25,11,11,3
"Reno, NV HCS",25,5,18,2
"Coatesville, PA HCS",24,15,6,3
"Dayton, OH HCS",24,7,17,0
"Birmingham, AL HCS",23,6,13,4
"Muskogee, OK HCS",23,3,17,3
"Salt Lake City, UT HCS",23,6,17,0
Central Iowa HCS,22,12,8,2
Eastern Kansas HCS,22,5,17,0
"Sioux Falls, SD HCS",22,14,8,0
"Asheville, NC HCS",20,10,6,4
"El Paso, TX HCS",20,13,7,0
New Mexico HCS,20,3,16,1
Central Alabama HCS,19,6,13,0
"Dublin, GA HCS",19,6,13,0
"Tampa, FL HCS",19,6,10,3
"Portland, OR HCS",18,9,7,2
"Saginaw, MI HCS",18,10,8,0
"Columbus, OH HCS",17,8,9,0
"Mountain Home, TN HCS",16,3,13,0
"Butler, PA HCS",14,3,9,2
"Madison, WI HCS",14,6,6,2
"Togus, ME HCS",14,6,7,1
"Amarillo, TX HCS",13,10,3,0
"Boise, ID HCS",13,2,10,1
"Chillicothe, OH HCS",13,8,4,1
"Fargo, ND HCS",13,8,2,3
"Gulf Coast, MS HCS",13,8,3,2
Northern Arizona HCS,13,3,10,0
"Charleston, SC HCS",12,7,5,0
"Fresno, CA HCS",12,5,7,0
"Cheyenne, WY HCS",11,1,10,0
"Syracuse, NY HCS",10,5,5,0
"White River Junction, VT HCS",9,2,5,2
"Lexington, KY HCS",8,2,6,0
"St. Cloud, MN HCS",8,5,3,0
"Altoona, PA HCS",7,1,6,0
"Anchorage, AK HCS",7,2,5,0
"Bath, NY HCS",7,3,4,0
"Danville, IL HCS",7,5,2,0
"Manchester, NH HCS",7,5,1,1
"Walla Walla, WA HCS",7,4,3,0
"Wichita, KS HCS",7,0,6,1
"Honolulu, HI HCS",6,0,6,0
"Huntington, WV HCS",6,3,2,1
"Big Spring, TX HCS",5,5,0,0
Montana HCS,5,0,4,1
"Salem, VA HCS",5,0,5,0
Texas Valley Coastal Bend HCS,5,3,2,0
"Tuscaloosa, AL HCS",5,1,4,0
"Clarksburg, WV HCS",4,2,2,0
"Columbia, MO HCS",4,1,2,1
"Erie, PA HCS",4,1,2,1
"Tomah, WI HCS",4,0,4,0
"Fayetteville, AR HCS",3,0,1,2
"Grand Junction, CO HCS",3,0,1,2
"Roseburg, OR HCS",3,0,3,0
"Poplar Bluff, MO HCS",2,1,1,0
"Beckley, WV HCS",1,1,0,0
"Black Hills, SD HCS",1,0,1,0
"Iron Mountain, MI HCS",1,1,0,0
"Sheridan, WY HCS",1,1,0,0
"Manila, PI HCS",0,0,0,0
"Marion, IL HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
