Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,822,40,686,96
New York Harbor HCS,723,40,590,93
"Bronx, NY HCS",600,33,498,69
"New Orleans, LA HCS",535,17,474,44
"Philadelphia, PA HCS",466,39,398,29
"Washington, DC HCS",423,59,325,39
"Boston, MA HCS",416,25,339,52
"North Chicago, IL HCS",384,67,314,3
"Chicago, IL HCS",317,37,260,20
Connecticut HCS,302,26,259,17
"Aurora, CO HCS",295,16,258,21
"Detroit, MI HCS",278,14,225,39
"Indianapolis, IN HCS",273,33,204,36
"Northport, NY HCS",269,19,221,29
"Cleveland, OH HCS",264,44,190,30
"Hudson Valley, NY HCS",245,15,219,11
"Bedford, MA HCS",238,10,197,31
Western New York HCS,220,31,158,31
"Atlanta, GA HCS",215,5,194,16
"Hines, IL HCS",207,29,162,16
"Baltimore, MD HCS",188,27,148,13
"Minneapolis, MN HCS",175,40,107,28
"St. Louis, MO HCS",171,19,137,15
"Miami, FL HCS",154,23,125,6
"Columbia, SC HCS",153,8,136,9
"Ann Arbor, MI HCS",150,8,128,14
"Houston, TX HCS",142,18,115,9
"Lebanon, PA HCS",129,20,95,14
Nebraska-W Iowa HCS,127,30,81,16
"Wilmington, DE HCS",124,16,98,10
"Puget Sound, WA HCS",121,8,105,8
"Richmond, VA HCS",118,34,75,9
"Greater Los Angeles, CA HCS",115,11,96,8
"Orlando, FL HCS",106,16,88,2
"Jackson, MS HCS",103,27,69,7
"Milwaukee, WI HCS",102,12,84,6
"Salisbury, NC HCS",102,13,74,15
"Dallas, TX HCS",99,15,77,7
"Kansas City, MO HCS",99,13,82,4
"Fayetteville, NC HCS",97,34,58,5
"Long Beach, CA HCS",97,14,79,4
"Providence, RI HCS",94,3,76,15
"Shreveport, LA HCS",93,15,68,10
"West Palm Beach, FL HCS",90,29,52,9
"Wilkes-Barre, PA HCS",89,13,66,10
"Martinsburg, WV HCS",87,18,62,7
"Durham, NC HCS",83,13,64,6
"San Diego, CA HCS",81,15,65,1
"Louisville, KY HCS",79,12,60,7
"Las Vegas, NV HCS",77,7,69,1
"Phoenix, AZ HCS",77,13,56,8
Central Western Massachusetts HCS,73,3,66,4
"San Juan, PR HCS",73,1,72,0
"San Antonio, TX HCS",71,9,55,7
"Hampton, VA HCS",70,4,62,4
"Cincinnati, OH HCS",69,11,56,2
"Coatesville, PA HCS",68,13,45,10
"Little Rock, AR HCS",67,13,49,5
Middle Tennessee HCS,66,7,56,3
"Loma Linda, CA HCS",63,10,52,1
"Pittsburgh, PA HCS",62,4,55,3
"Battle Creek, MI HCS",58,8,44,6
"Portland, OR HCS",53,9,40,4
