Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,764,198,485,81
New York Harbor HCS,687,95,500,92
"Bronx, NY HCS",561,72,427,62
"New Orleans, LA HCS",511,25,444,42
"Boston, MA HCS",370,87,238,45
"Philadelphia, PA HCS",367,93,252,22
"Washington, DC HCS",329,84,217,28
"North Chicago, IL HCS",314,111,202,1
"Aurora, CO HCS",275,39,220,16
Connecticut HCS,275,66,200,9
"Chicago, IL HCS",271,44,211,16
"Northport, NY HCS",234,52,156,26
"Indianapolis, IN HCS",232,57,147,28
"Bedford, MA HCS",228,67,139,22
"Detroit, MI HCS",228,27,170,31
"Hudson Valley, NY HCS",220,34,176,10
"Atlanta, GA HCS",212,40,160,12
"Cleveland, OH HCS",210,51,140,19
Western New York HCS,185,52,112,21
"Hines, IL HCS",169,61,96,12
"Columbia, SC HCS",143,16,118,9
"Ann Arbor, MI HCS",137,20,104,13
"St. Louis, MO HCS",136,25,99,12
"Minneapolis, MN HCS",127,46,65,16
"Miami, FL HCS",121,12,103,6
"Baltimore, MD HCS",113,43,68,2
"Puget Sound, WA HCS",110,22,83,5
"Greater Los Angeles, CA HCS",104,20,77,7
"Lebanon, PA HCS",95,27,60,8
"Wilmington, DE HCS",92,28,58,6
"Milwaukee, WI HCS",90,16,68,6
"Orlando, FL HCS",89,15,72,2
"Richmond, VA HCS",84,11,64,9
"Kansas City, MO HCS",83,9,71,3
Nebraska-W Iowa HCS,82,27,46,9
"Providence, RI HCS",82,11,59,12
"Salisbury, NC HCS",82,28,47,7
"Long Beach, CA HCS",81,12,65,4
"Houston, TX HCS",74,26,42,6
"Shreveport, LA HCS",72,12,52,8
"Dallas, TX HCS",71,21,45,5
"Las Vegas, NV HCS",71,11,59,1
"San Juan, PR HCS",71,2,69,0
Central Western Massachusetts HCS,70,19,49,2
"Wilkes-Barre, PA HCS",68,12,48,8
"Louisville, KY HCS",67,16,46,5
"Martinsburg, WV HCS",67,31,32,4
"Jackson, MS HCS",64,37,24,3
"Hampton, VA HCS",63,4,55,4
"Durham, NC HCS",61,15,44,2
"San Antonio, TX HCS",61,15,40,6
"Phoenix, AZ HCS",60,13,42,5
"San Diego, CA HCS",60,14,45,1
Middle Tennessee HCS,59,18,38,3
"Cincinnati, OH HCS",57,8,47,2
"Fayetteville, NC HCS",53,23,29,1
"Loma Linda, CA HCS",51,20,31,0
"Little Rock, AR HCS",50,15,31,4
"Spokane, WA HCS",50,17,28,5
"West Palm Beach, FL HCS",50,11,34,5
"Pittsburgh, PA HCS",48,12,34,2
"Palo Alto, CA HCS",45,8,31,6
"Dublin, GA HCS",43,15,28,0
"Battle Creek, MI HCS",41,24,14,3
"Coatesville, PA HCS",41,19,18,4
"Portland, OR HCS",41,30,8,3
"Birmingham, AL HCS",39,13,22,4
"Gainesville, FL HCS",39,7,31,1
"Augusta, GA HCS",38,5,32,1
New Mexico HCS,38,8,23,7
"Alexandria, LA HCS",36,11,21,4
"Memphis, TN HCS",36,5,29,2
N. California HCS,36,4,29,3
Southern Arizona HCS,35,6,23,6
"Oklahoma City, OK HCS",34,11,20,3
Northern Indiana HCS,33,12,18,3
"San Francisco, CA HCS",33,4,27,2
"Temple, TX HCS",32,10,21,1
"Albany, NY HCS",31,6,19,6
"Bay Pines, FL HCS",30,6,23,1
Central Iowa HCS,30,15,11,4
"Sioux Falls, SD HCS",30,12,17,1
"Muskogee, OK HCS",29,6,20,3
"Reno, NV HCS",29,9,18,2
"Columbus, OH HCS",28,10,18,0
"Salt Lake City, UT HCS",28,6,22,0
"Dayton, OH HCS",27,7,20,0
"Iowa City, IA HCS",27,6,20,1
"Tampa, FL HCS",27,11,13,3
"Asheville, NC HCS",26,10,10,6
Eastern Kansas HCS,23,2,21,0
"El Paso, TX HCS",23,13,10,0
Central Alabama HCS,22,4,18,0
"Charleston, SC HCS",22,11,11,0
"Manchester, NH HCS",22,12,8,2
"Fargo, ND HCS",21,13,5,3
"Madison, WI HCS",20,8,10,2
"Saginaw, MI HCS",20,1,19,0
"Amarillo, TX HCS",17,10,7,0
"Chillicothe, OH HCS",17,5,11,1
"Gulf Coast, MS HCS",17,6,9,2
"St. Cloud, MN HCS",17,13,3,1
"Fresno, CA HCS",16,7,9,0
"Mountain Home, TN HCS",16,1,15,0
"Togus, ME HCS",16,4,11,1
"Butler, PA HCS",15,0,11,4
"Cheyenne, WY HCS",15,4,11,0
"Boise, ID HCS",14,1,12,1
Northern Arizona HCS,13,3,10,0
"Syracuse, NY HCS",11,1,8,2
"Altoona, PA HCS",9,3,6,0
"Lexington, KY HCS",9,3,6,0
"Tuscaloosa, AL HCS",9,4,5,0
"White River Junction, VT HCS",9,0,7,2
"Wichita, KS HCS",9,2,6,1
"Anchorage, AK HCS",8,1,7,0
"Bath, NY HCS",8,2,6,0
"Danville, IL HCS",7,2,5,0
"Honolulu, HI HCS",7,1,6,0
Texas Valley Coastal Bend HCS,7,2,4,1
"Walla Walla, WA HCS",7,0,6,1
"Big Spring, TX HCS",6,2,4,0
"Erie, PA HCS",6,0,5,1
"Huntington, WV HCS",6,0,5,1
"Salem, VA HCS",6,1,5,0
"Clarksburg, WV HCS",5,2,3,0
"Columbia, MO HCS",5,1,3,1
"Fayetteville, AR HCS",5,1,2,2
Montana HCS,5,0,4,1
"Grand Junction, CO HCS",4,1,1,2
"Tomah, WI HCS",4,0,4,0
"Poplar Bluff, MO HCS",3,2,1,0
"Roseburg, OR HCS",3,0,3,0
"Beckley, WV HCS",1,0,1,0
"Black Hills, SD HCS",1,0,1,0
"Iron Mountain, MI HCS",1,1,0,0
"Marion, IL HCS",1,1,0,0
"Sheridan, WY HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
