"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-17,Norfolk,0-9,64,2,0
2020-07-17,"Cumberland Plateau",40-49,22,1,0
2020-07-17,"Eastern Shore",10-19,61,1,0
2020-07-17,"Mount Rogers",10-19,68,0,0
2020-07-17,"Rappahannock Rapidan",0-9,83,1,0
2020-07-17,"Three Rivers",0-9,12,1,0
2020-07-17,Henrico,40-49,436,27,2
2020-07-17,Alexandria,50-59,322,52,10
2020-07-17,Arlington,0-9,54,2,0
2020-07-17,Chickahominy,Missing,15,0,0
2020-07-17,"New River",20-29,93,0,0
2020-07-17,"Virginia Beach",20-29,645,9,0
2020-07-17,Chesapeake,50-59,217,27,1
2020-07-17,Alleghany,80+,43,10,6
2020-07-17,Fairfax,10-19,938,30,0
2020-07-17,Chesapeake,60-69,145,32,5
2020-07-17,"West Piedmont",Missing,0,0,0
2020-07-17,Peninsula,80+,66,26,15
2020-07-17,Crater,40-49,252,17,1
2020-07-17,Chesapeake,40-49,227,27,1
2020-07-17,"Thomas Jefferson",20-29,229,2,0
2020-07-17,"Lord Fairfax",20-29,383,5,0
2020-07-17,Norfolk,20-29,649,5,0
2020-07-17,Arlington,30-39,484,42,0
2020-07-17,"West Piedmont",60-69,71,11,0
2020-07-17,Henrico,50-59,376,43,8
2020-07-17,"West Piedmont",50-59,130,19,1
2020-07-17,"Cumberland Plateau",20-29,14,0,0
2020-07-17,Alexandria,70-79,103,38,18
2020-07-17,Portsmouth,20-29,207,11,0
2020-07-17,"Western Tidewater",30-39,183,10,1
2020-07-17,"Central Shenandoah",0-9,62,0,0
2020-07-17,Henrico,80+,326,68,87
2020-07-17,Alexandria,0-9,142,2,0
2020-07-17,Pittsylvania-Danville,40-49,72,7,0
2020-07-17,Henrico,20-29,442,15,0
2020-07-17,Roanoke,60-69,43,3,0
2020-07-17,Peninsula,30-39,302,7,1
2020-07-17,Alleghany,60-69,70,8,1
2020-07-17,"Prince William",70-79,326,101,46
2020-07-17,Norfolk,60-69,182,32,3
2020-07-17,Southside,40-49,68,6,0
2020-07-17,Chesterfield,30-39,708,12,0
2020-07-17,Loudoun,70-79,149,49,18
2020-07-17,"Central Virginia",40-49,78,1,0
2020-07-17,"New River",Missing,0,0,0
2020-07-17,Chickahominy,20-29,118,1,0
2020-07-17,"New River",0-9,8,0,0
2020-07-17,"Cumberland Plateau",0-9,3,0,0
2020-07-17,"Three Rivers",70-79,40,8,5
2020-07-17,"Rappahannock Rapidan",40-49,325,21,2
2020-07-17,Hampton,0-9,20,0,0
2020-07-17,Piedmont,50-59,204,25,1
2020-07-17,Rappahannock,20-29,488,13,0
2020-07-17,Henrico,10-19,213,3,0
2020-07-17,"Mount Rogers",30-39,135,4,0
2020-07-17,"Eastern Shore",30-39,239,8,0
2020-07-17,Chesterfield,0-9,131,0,0
2020-07-17,"Central Shenandoah",10-19,136,1,0
2020-07-17,Crater,0-9,30,1,0
2020-07-17,Fairfax,70-79,694,248,115
2020-07-17,Rappahannock,80+,98,34,19
2020-07-17,Alexandria,10-19,188,4,0
2020-07-17,Portsmouth,40-49,113,8,0
2020-07-17,"Three Rivers",50-59,118,10,0
2020-07-17,Alleghany,Missing,2,0,0
2020-07-17,Alexandria,30-39,579,32,0
2020-07-17,Southside,Missing,0,0,0
2020-07-17,Portsmouth,60-69,89,22,6
2020-07-17,Roanoke,30-39,140,1,0
2020-07-17,"Three Rivers",60-69,84,14,0
2020-07-17,Fairfax,50-59,2297,312,32
2020-07-17,Portsmouth,50-59,117,22,2
2020-07-17,Chickahominy,80+,83,34,26
2020-07-17,"Rappahannock Rapidan",50-59,242,29,2
2020-07-17,Fairfax,80+,813,301,293
2020-07-17,Hampton,Missing,14,0,0
2020-07-17,"Cumberland Plateau",80+,4,2,0
2020-07-17,Alleghany,50-59,96,6,1
2020-07-17,"Prince William",40-49,2083,161,7
2020-07-17,Fairfax,Missing,158,5,0
2020-07-17,"Virginia Beach",40-49,330,19,1
2020-07-17,Richmond,Missing,23,0,0
2020-07-17,Norfolk,40-49,253,15,1
2020-07-17,Piedmont,80+,54,23,12
2020-07-17,"Virginia Beach",60-69,206,21,2
2020-07-17,"West Piedmont",40-49,109,10,2
2020-07-17,Arlington,10-19,121,5,0
2020-07-17,Lenowisco,0-9,4,0,0
2020-07-17,Pittsylvania-Danville,50-59,68,14,0
2020-07-17,"Virginia Beach",50-59,273,18,1
2020-07-17,Chesapeake,Missing,31,1,0
2020-07-17,"Central Shenandoah",80+,125,32,17
2020-07-17,"Thomas Jefferson",40-49,200,14,0
2020-07-17,"Rappahannock Rapidan",60-69,131,17,4
2020-07-17,Norfolk,30-39,400,16,1
2020-07-17,"Rappahannock Rapidan",Missing,9,0,0
2020-07-17,"Lord Fairfax",80+,164,39,44
2020-07-17,"Three Rivers",10-19,40,0,0
2020-07-17,Piedmont,40-49,204,11,0
2020-07-17,Norfolk,80+,51,12,5
2020-07-17,Peninsula,20-29,410,1,0
2020-07-17,Norfolk,50-59,217,24,3
2020-07-17,"Thomas Jefferson",50-59,159,13,2
2020-07-17,Richmond,70-79,91,37,14
2020-07-17,Chesterfield,70-79,146,30,21
2020-07-17,Piedmont,30-39,222,5,0
2020-07-17,"Prince William",30-39,1866,94,2
2020-07-17,Alleghany,20-29,126,1,0
2020-07-17,Alleghany,0-9,14,0,0
2020-07-17,"Mount Rogers",40-49,133,5,1
2020-07-17,"Eastern Shore",40-49,248,11,2
2020-07-17,"Central Virginia",60-69,55,4,2
2020-07-17,Richmond,10-19,205,2,0
2020-07-17,Pittsylvania-Danville,60-69,48,10,1
2020-07-17,Pittsylvania-Danville,Missing,0,0,0
2020-07-17,Chesterfield,60-69,319,48,12
2020-07-17,Southside,10-19,17,0,0
2020-07-17,"New River",80+,13,4,2
2020-07-17,"Central Virginia",50-59,86,2,2
2020-07-17,Hampton,70-79,32,8,0
2020-07-17,Pittsylvania-Danville,10-19,20,0,0
2020-07-17,Richmond,60-69,220,53,7
2020-07-17,"West Piedmont",20-29,108,2,0
2020-07-17,Arlington,70-79,177,73,33
2020-07-17,Chickahominy,50-59,128,23,1
2020-07-17,Alleghany,40-49,96,2,0
2020-07-17,"Prince William",50-59,1526,198,15
2020-07-17,"Mount Rogers",0-9,40,1,0
2020-07-17,"Eastern Shore",0-9,21,2,0
2020-07-17,"Thomas Jefferson",60-69,116,24,3
2020-07-17,Pittsylvania-Danville,70-79,26,12,1
2020-07-17,Chesterfield,80+,157,35,47
