"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-08,Lenowisco,10-19,7,0,0
2020-07-08,Chesapeake,0-9,34,1,0
2020-07-08,Peninsula,50-59,159,20,3
2020-07-08,"Cumberland Plateau",Missing,0,0,0
2020-07-08,Peninsula,60-69,137,29,3
2020-07-08,"Lord Fairfax",30-39,351,11,1
2020-07-08,"Virginia Beach",Missing,37,0,0
2020-07-08,Arlington,40-49,434,48,6
2020-07-08,"West Piedmont",10-19,73,0,0
2020-07-08,Chickahominy,70-79,58,22,7
2020-07-08,Pittsylvania-Danville,20-29,26,0,0
2020-07-08,Loudoun,50-59,660,56,2
2020-07-08,Richmond,30-39,505,24,1
2020-07-08,"Thomas Jefferson",Missing,1,0,0
2020-07-08,"Rappahannock Rapidan",80+,25,13,7
2020-07-08,"Lord Fairfax",Missing,2,0,0
2020-07-08,"Cumberland Plateau",50-59,7,1,0
2020-07-08,Loudoun,Missing,60,0,1
2020-07-08,Southside,50-59,64,9,0
2020-07-08,Chesterfield,20-29,551,7,0
2020-07-08,Norfolk,70-79,50,24,4
2020-07-08,Alleghany,10-19,81,0,0
2020-07-08,Crater,80+,114,21,11
2020-07-08,Portsmouth,Missing,13,0,0
2020-07-08,"Western Tidewater",10-19,22,0,0
2020-07-08,Chesterfield,10-19,315,0,0
2020-07-08,Southside,60-69,58,12,5
2020-07-08,"Virginia Beach",0-9,35,0,0
2020-07-08,Lenowisco,50-59,17,5,0
2020-07-08,Chesapeake,70-79,72,29,3
2020-07-08,"Western Tidewater",80+,134,25,29
2020-07-08,"Thomas Jefferson",10-19,75,1,0
2020-07-08,Richmond,40-49,390,29,1
2020-07-08,"Lord Fairfax",50-59,345,27,2
2020-07-08,"Lord Fairfax",10-19,149,1,0
2020-07-08,"Rappahannock Rapidan",10-19,131,3,0
2020-07-08,Crater,50-59,287,32,3
2020-07-08,Arlington,Missing,11,1,0
2020-07-08,Roanoke,50-59,49,1,0
2020-07-08,Rappahannock,10-19,241,2,0
2020-07-08,Roanoke,10-19,59,0,0
2020-07-08,"Eastern Shore",Missing,6,0,0
2020-07-08,"Mount Rogers",Missing,1,0,0
2020-07-08,"Prince William",60-69,780,164,40
2020-07-08,Alleghany,70-79,56,7,7
2020-07-08,Crater,20-29,248,7,0
2020-07-08,Loudoun,60-69,255,48,6
2020-07-08,Fairfax,0-9,488,18,0
2020-07-08,Roanoke,Missing,3,0,0
2020-07-08,Alexandria,20-29,381,8,1
2020-07-08,Portsmouth,70-79,32,11,5
2020-07-08,Alleghany,30-39,74,2,0
2020-07-08,"Prince William",20-29,1702,54,0
2020-07-08,Southside,70-79,60,10,13
2020-07-08,Piedmont,Missing,1,0,0
2020-07-08,Rappahannock,0-9,114,1,0
2020-07-08,Henrico,30-39,466,18,0
2020-07-08,"Prince William",10-19,805,8,0
2020-07-08,Chickahominy,10-19,43,0,0
2020-07-08,"Lord Fairfax",0-9,62,2,0
2020-07-08,"Central Virginia",Missing,1,0,0
2020-07-08,Fairfax,60-69,1439,315,61
2020-07-08,Hampton,20-29,89,2,0
2020-07-08,"Central Shenandoah",40-49,359,14,0
2020-07-08,Pittsylvania-Danville,0-9,6,0,0
2020-07-08,Crater,30-39,291,7,0
