"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-21,Norfolk,0-9,74,2,0
2020-07-21,"Cumberland Plateau",40-49,24,1,0
2020-07-21,"Eastern Shore",10-19,61,1,0
2020-07-21,"Mount Rogers",10-19,71,0,0
2020-07-21,"Rappahannock Rapidan",0-9,88,1,0
2020-07-21,"Three Rivers",0-9,13,1,0
2020-07-21,Henrico,40-49,447,28,2
2020-07-21,Alexandria,50-59,334,52,10
2020-07-21,Arlington,0-9,56,2,0
2020-07-21,Chickahominy,Missing,15,0,0
2020-07-21,"New River",20-29,100,0,0
2020-07-21,"Virginia Beach",20-29,771,9,0
2020-07-21,Chesapeake,50-59,250,31,1
2020-07-21,Alleghany,80+,43,10,6
2020-07-21,Fairfax,10-19,968,29,0
2020-07-21,Chesapeake,60-69,165,33,5
2020-07-21,"West Piedmont",Missing,0,0,0
2020-07-21,Peninsula,80+,80,29,18
2020-07-21,Crater,40-49,260,18,1
2020-07-21,Chesapeake,40-49,263,30,1
2020-07-21,"Thomas Jefferson",20-29,248,2,0
2020-07-21,"Lord Fairfax",20-29,398,5,0
2020-07-21,Norfolk,20-29,754,6,0
2020-07-21,Arlington,30-39,501,43,0
2020-07-21,"West Piedmont",60-69,77,12,0
2020-07-21,Henrico,50-59,391,47,9
2020-07-21,"West Piedmont",50-59,139,22,1
2020-07-21,"Cumberland Plateau",20-29,18,0,0
2020-07-21,Alexandria,70-79,102,38,18
2020-07-21,Portsmouth,20-29,254,11,0
2020-07-21,"Western Tidewater",30-39,212,12,1
2020-07-21,"Central Shenandoah",0-9,66,0,0
2020-07-21,Henrico,80+,330,68,88
2020-07-21,Alexandria,0-9,143,2,0
2020-07-21,Pittsylvania-Danville,40-49,82,8,1
2020-07-21,Henrico,20-29,468,15,0
2020-07-21,Roanoke,60-69,47,3,0
2020-07-21,Peninsula,30-39,375,8,1
2020-07-21,Alleghany,60-69,72,8,1
2020-07-21,"Prince William",70-79,334,101,48
2020-07-21,Norfolk,60-69,208,36,4
2020-07-21,Southside,40-49,69,6,0
2020-07-21,Chesterfield,30-39,729,14,0
2020-07-21,Loudoun,70-79,153,50,18
2020-07-21,"Central Virginia",40-49,92,1,0
2020-07-21,"New River",Missing,0,0,0
2020-07-21,Chickahominy,20-29,123,1,0
2020-07-21,"New River",0-9,8,0,0
2020-07-21,"Cumberland Plateau",0-9,4,0,0
2020-07-21,"Three Rivers",70-79,43,9,5
2020-07-21,"Rappahannock Rapidan",40-49,329,21,2
2020-07-21,Hampton,0-9,21,0,0
2020-07-21,Piedmont,50-59,207,25,1
2020-07-21,Rappahannock,20-29,500,13,0
2020-07-21,Crater,Missing,14,0,0
2020-07-21,Arlington,50-59,402,68,6
2020-07-21,Piedmont,70-79,82,26,4
2020-07-21,Alexandria,60-69,215,48,2
2020-07-21,Portsmouth,30-39,220,9,1
2020-07-21,Lenowisco,20-29,17,0,0
2020-07-21,"Central Virginia",30-39,93,1,0
2020-07-21,Norfolk,10-19,123,1,0
2020-07-21,"New River",10-19,41,0,0
