"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-12,Chesapeake,0-9,39,1,0
2020-07-12,Peninsula,50-59,176,21,3
2020-07-12,"Cumberland Plateau",Missing,0,0,0
2020-07-12,Peninsula,60-69,147,29,3
2020-07-12,"Lord Fairfax",30-39,363,11,1
2020-07-12,"Virginia Beach",Missing,57,0,0
2020-07-12,Arlington,40-49,438,49,7
2020-07-12,"West Piedmont",10-19,76,0,0
2020-07-12,Chickahominy,70-79,60,22,7
2020-07-12,Pittsylvania-Danville,20-29,38,0,0
2020-07-12,Loudoun,50-59,678,59,2
2020-07-12,Richmond,30-39,524,25,1
2020-07-12,"Thomas Jefferson",Missing,2,0,0
2020-07-12,"Rappahannock Rapidan",80+,27,14,8
2020-07-12,"Lord Fairfax",Missing,2,0,0
2020-07-12,"Cumberland Plateau",50-59,9,1,0
2020-07-12,Loudoun,Missing,65,0,1
2020-07-12,Southside,50-59,67,10,0
2020-07-12,Chesterfield,20-29,578,7,0
2020-07-12,Norfolk,70-79,64,25,4
2020-07-12,Alleghany,10-19,84,0,0
2020-07-12,Crater,80+,117,20,12
2020-07-12,Portsmouth,Missing,15,0,0
2020-07-12,"Western Tidewater",10-19,30,0,0
2020-07-12,Chesterfield,10-19,320,0,0
2020-07-12,Southside,60-69,62,14,5
2020-07-12,Chickahominy,50-59,120,23,1
2020-07-12,Alleghany,40-49,86,1,0
2020-07-12,"Prince William",50-59,1491,196,15
2020-07-12,"Mount Rogers",0-9,39,1,0
2020-07-12,"Eastern Shore",0-9,20,2,0
2020-07-12,"Thomas Jefferson",60-69,94,18,3
2020-07-12,Pittsylvania-Danville,70-79,25,12,1
2020-07-12,Chesterfield,80+,146,30,46
2020-07-12,Richmond,0-9,105,5,0
2020-07-12,Chesapeake,80+,72,25,12
2020-07-12,Peninsula,40-49,183,8,1
2020-07-12,Henrico,0-9,104,2,0
2020-07-12,Lenowisco,80+,6,0,0
2020-07-12,Piedmont,60-69,142,21,2
2020-07-12,"West Piedmont",0-9,17,1,0
2020-07-12,"Rappahannock Rapidan",70-79,43,13,8
2020-07-12,"Central Shenandoah",70-79,137,40,12
2020-07-12,Chesapeake,30-39,235,11,0
2020-07-12,Chickahominy,0-9,15,0,0
2020-07-12,"Prince William",0-9,359,10,0
2020-07-12,"Eastern Shore",50-59,275,19,5
2020-07-12,"Mount Rogers",50-59,111,7,1
2020-07-12,Loudoun,10-19,585,0,0
2020-07-12,Southside,80+,81,12,13
2020-07-12,"Central Virginia",80+,20,2,0
2020-07-12,Rappahannock,Missing,20,0,0
2020-07-12,"Rappahannock Rapidan",30-39,327,18,1
2020-07-12,"New River",50-59,36,4,0
2020-07-12,Richmond,80+,40,21,10
2020-07-12,"Mount Rogers",20-29,128,0,0
2020-07-12,"Eastern Shore",20-29,199,6,0
2020-07-12,Hampton,10-19,27,0,0
2020-07-12,Portsmouth,0-9,27,3,0
2020-07-12,Crater,70-79,153,37,18
2020-07-12,Chesterfield,40-49,601,20,3
2020-07-12,Alexandria,Missing,11,0,0
2020-07-12,Southside,30-39,67,4,0
2020-07-12,"Prince William",Missing,147,2,0
2020-07-12,Hampton,60-69,55,11,2
2020-07-12,Fairfax,20-29,2288,78,3
2020-07-12,"Thomas Jefferson",0-9,54,1,0
2020-07-12,Lenowisco,40-49,9,2,0
2020-07-12,"Central Virginia",10-19,65,1,0
2020-07-12,Lenowisco,70-79,8,4,1
2020-07-12,Arlington,50-59,391,68,6
2020-07-12,Piedmont,70-79,73,24,4
2020-07-12,Alexandria,60-69,208,47,2
2020-07-12,Portsmouth,30-39,149,7,1
2020-07-12,Lenowisco,20-29,12,0,0
2020-07-12,"Central Virginia",30-39,75,1,0
2020-07-12,Norfolk,10-19,79,1,0
