"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-07,"West Piedmont",0-9,16,1,0
2020-07-07,"Rappahannock Rapidan",70-79,43,13,7
2020-07-07,"Central Shenandoah",70-79,134,40,12
2020-07-07,Chesapeake,30-39,193,10,0
2020-07-07,Chickahominy,0-9,14,0,0
2020-07-07,"Prince William",0-9,349,10,0
2020-07-07,"Eastern Shore",50-59,275,19,5
2020-07-07,"Mount Rogers",50-59,105,6,1
2020-07-07,Loudoun,10-19,546,0,0
2020-07-07,Southside,80+,81,12,13
2020-07-07,"Central Virginia",80+,19,2,0
2020-07-07,Rappahannock,Missing,19,0,0
2020-07-07,"Rappahannock Rapidan",30-39,316,17,1
2020-07-07,"New River",50-59,33,4,0
2020-07-07,Richmond,80+,36,19,9
2020-07-07,"Mount Rogers",20-29,118,0,0
2020-07-07,"Eastern Shore",20-29,197,6,0
2020-07-07,Hampton,10-19,21,0,0
2020-07-07,Portsmouth,0-9,22,1,0
2020-07-07,Crater,70-79,147,36,15
2020-07-07,Chesterfield,40-49,575,20,2
2020-07-07,Alexandria,Missing,12,0,0
2020-07-07,Southside,30-39,58,2,0
2020-07-07,"Prince William",Missing,136,2,0
2020-07-07,Hampton,60-69,45,11,2
2020-07-07,Fairfax,20-29,2240,76,3
2020-07-07,"Thomas Jefferson",0-9,48,1,0
2020-07-07,Lenowisco,40-49,7,2,0
2020-07-07,"Central Virginia",10-19,60,1,0
2020-07-07,Lenowisco,70-79,8,4,1
2020-07-07,"Virginia Beach",0-9,35,0,0
2020-07-07,Lenowisco,50-59,17,5,0
2020-07-07,Chesapeake,70-79,70,29,3
2020-07-07,"Western Tidewater",80+,133,24,29
2020-07-07,"Thomas Jefferson",10-19,74,1,0
2020-07-07,Richmond,40-49,389,29,1
2020-07-07,"Lord Fairfax",50-59,344,27,2
2020-07-07,"Lord Fairfax",10-19,150,1,0
2020-07-07,"Rappahannock Rapidan",10-19,131,3,0
2020-07-07,Crater,50-59,285,32,3
2020-07-07,Arlington,Missing,11,1,0
2020-07-07,Roanoke,50-59,47,1,0
2020-07-07,Rappahannock,10-19,238,2,0
2020-07-07,Roanoke,10-19,56,0,0
2020-07-07,"Eastern Shore",Missing,6,0,0
2020-07-07,"Mount Rogers",Missing,1,0,0
2020-07-07,"Prince William",60-69,775,164,39
2020-07-07,Alleghany,70-79,55,7,7
2020-07-07,Crater,20-29,241,7,0
2020-07-07,Loudoun,60-69,253,47,5
2020-07-07,Fairfax,0-9,484,18,0
2020-07-07,Roanoke,Missing,3,0,0
2020-07-07,Alexandria,20-29,381,8,1
2020-07-07,Portsmouth,70-79,32,11,5
2020-07-07,Alleghany,30-39,71,2,0
2020-07-07,"Prince William",20-29,1698,54,0
2020-07-07,Southside,70-79,60,10,13
2020-07-07,Piedmont,Missing,1,0,0
2020-07-07,Rappahannock,0-9,114,1,0
2020-07-07,Henrico,30-39,465,18,0
2020-07-07,"Prince William",10-19,804,8,0
2020-07-07,Chickahominy,10-19,43,0,0
2020-07-07,"Lord Fairfax",0-9,62,1,0
2020-07-07,"Central Virginia",Missing,1,0,0
2020-07-07,Fairfax,60-69,1435,314,61
2020-07-07,Norfolk,0-9,43,1,0
2020-07-07,"Cumberland Plateau",40-49,16,0,0
2020-07-07,"Eastern Shore",10-19,59,1,0
2020-07-07,"Mount Rogers",10-19,58,0,0
2020-07-07,"Rappahannock Rapidan",0-9,72,1,0
2020-07-07,"Three Rivers",0-9,9,1,0
2020-07-07,Henrico,40-49,394,26,2
2020-07-07,Alexandria,50-59,309,50,10
2020-07-07,Arlington,0-9,49,2,0
2020-07-07,Chickahominy,Missing,13,0,0
2020-07-07,"New River",20-29,66,0,0
2020-07-07,"Virginia Beach",20-29,382,6,0
2020-07-07,Chesapeake,50-59,161,26,1
2020-07-07,Alleghany,80+,40,8,6
2020-07-07,Fairfax,10-19,877,25,0
2020-07-07,Chesapeake,60-69,121,32,5
2020-07-07,"West Piedmont",Missing,0,0,0
2020-07-07,Peninsula,80+,55,24,15
2020-07-07,Crater,40-49,236,14,1
2020-07-07,Chesapeake,40-49,158,26,1
2020-07-07,"Thomas Jefferson",20-29,182,2,0
2020-07-07,"Lord Fairfax",20-29,350,5,0
2020-07-07,Norfolk,20-29,336,5,0
2020-07-07,Arlington,30-39,462,43,0
2020-07-07,"West Piedmont",60-69,61,8,0
2020-07-07,Henrico,50-59,339,38,8
2020-07-07,"West Piedmont",50-59,101,11,1
2020-07-07,"Cumberland Plateau",20-29,5,0,0
2020-07-07,Alexandria,70-79,101,38,19
2020-07-07,Portsmouth,20-29,128,6,0
2020-07-07,"Western Tidewater",30-39,126,9,0
2020-07-07,"Central Shenandoah",0-9,53,0,0
2020-07-07,Henrico,80+,320,66,83
2020-07-07,Alexandria,0-9,133,2,0
2020-07-07,Pittsylvania-Danville,40-49,52,6,0
2020-07-07,Henrico,20-29,379,15,0
2020-07-07,Roanoke,60-69,37,3,0
2020-07-07,Peninsula,30-39,201,7,1
2020-07-07,Alleghany,60-69,62,7,1
2020-07-07,"Prince William",70-79,314,94,41
2020-07-07,Norfolk,60-69,106,29,2
2020-07-07,Southside,40-49,55,5,0
2020-07-07,Chesterfield,30-39,645,7,0
2020-07-07,Loudoun,70-79,143,46,14
2020-07-07,"Central Virginia",40-49,63,0,0
2020-07-07,"New River",Missing,0,0,0
2020-07-07,Chickahominy,20-29,93,0,0
2020-07-07,"New River",0-9,7,0,0
2020-07-07,"Cumberland Plateau",0-9,2,0,0
2020-07-07,"Three Rivers",70-79,33,7,4
2020-07-07,"Rappahannock Rapidan",40-49,301,19,2
2020-07-07,Hampton,0-9,12,0,0
2020-07-07,Piedmont,50-59,194,22,0
2020-07-07,Rappahannock,20-29,442,13,0
2020-07-07,"West Piedmont",20-29,80,1,0
2020-07-07,Arlington,70-79,175,72,32
2020-07-07,Chickahominy,50-59,119,22,1
2020-07-07,Alleghany,40-49,76,1,0
2020-07-07,"Prince William",50-59,1465,192,14
2020-07-07,"Mount Rogers",0-9,37,1,0
2020-07-07,"Eastern Shore",0-9,20,2,0
2020-07-07,"Thomas Jefferson",60-69,85,18,3
2020-07-07,Pittsylvania-Danville,70-79,23,11,0
2020-07-07,Chesterfield,80+,143,28,43
2020-07-07,Richmond,0-9,98,5,0
2020-07-07,Chesapeake,80+,67,24,12
2020-07-07,Peninsula,40-49,150,7,1
2020-07-07,Henrico,0-9,104,2,0
2020-07-07,Lenowisco,80+,0,0,0
2020-07-07,Piedmont,60-69,136,19,2
2020-07-07,Henrico,10-19,178,4,0
2020-07-07,"Mount Rogers",30-39,112,4,0
2020-07-07,"Eastern Shore",30-39,234,8,0
2020-07-07,Chesterfield,0-9,121,0,0
2020-07-07,"Central Shenandoah",10-19,116,1,0
2020-07-07,Crater,0-9,26,1,0
2020-07-07,Fairfax,70-79,671,242,109
2020-07-07,Rappahannock,80+,91,32,19
2020-07-07,Alexandria,10-19,173,3,0
2020-07-07,Portsmouth,40-49,70,6,0
