"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations"
2020-05-05,"West Piedmont",0-9,1,0
2020-05-05,"Rappahannock Rapidan",70-79,15,2
2020-05-05,"Central Shenandoah",70-79,60,12
2020-05-05,Chesapeake,30-39,46,3
2020-05-05,Chickahominy,0-9,1,0
2020-05-05,"Prince William",0-9,63,2
2020-05-05,"Eastern Shore",50-59,131,4
2020-05-05,"Mount Rogers",50-59,22,1
2020-05-05,Loudoun,10-19,29,0
2020-05-05,Southside,80+,37,4
2020-05-05,"Central Virginia",80+,4,1
2020-05-05,Rappahannock,Missing,1,0
2020-05-05,"Rappahannock Rapidan",30-39,91,7
2020-05-05,"New River",50-59,15,2
2020-05-05,Richmond,80+,21,8
2020-05-05,"Mount Rogers",20-29,20,0
2020-05-05,"Eastern Shore",20-29,69,1
2020-05-05,Hampton,10-19,6,0
2020-05-05,Portsmouth,0-9,1,1
2020-05-05,Crater,70-79,31,11
2020-05-05,Chesterfield,40-49,130,5
2020-05-05,Alexandria,Missing,1,0
2020-05-05,Southside,30-39,12,0
2020-05-05,"Prince William",Missing,0,0
2020-05-05,Hampton,60-69,21,9
2020-05-05,Fairfax,20-29,660,33
2020-05-05,"Thomas Jefferson",0-9,4,1
2020-05-05,Lenowisco,40-49,4,1
2020-05-05,"Central Virginia",10-19,9,0
2020-05-05,Lenowisco,70-79,4,3
2020-05-05,"Virginia Beach",0-9,3,0
2020-05-05,Lenowisco,50-59,11,4
2020-05-05,Chesapeake,70-79,26,14
2020-05-05,"Western Tidewater",80+,112,18
2020-05-05,"Thomas Jefferson",10-19,6,0
2020-05-05,Richmond,40-49,82,5
2020-05-05,"Lord Fairfax",50-59,107,5
2020-05-05,"Lord Fairfax",10-19,24,0
2020-05-05,"Rappahannock Rapidan",10-19,28,0
2020-05-05,Crater,50-59,45,11
2020-05-05,Arlington,Missing,1,0
2020-05-05,Roanoke,50-59,11,1
2020-05-05,Rappahannock,10-19,29,0
2020-05-05,Roanoke,10-19,0,0
2020-05-05,"Eastern Shore",Missing,0,0
2020-05-05,"Mount Rogers",Missing,0,0
2020-05-05,"Prince William",60-69,268,47
2020-05-05,Alleghany,70-79,12,3
2020-05-05,Crater,20-29,33,4
2020-05-05,Loudoun,60-69,90,17
2020-05-05,Fairfax,0-9,66,4
2020-05-05,Roanoke,Missing,1,0
2020-05-05,Alexandria,20-29,138,2
2020-05-05,Portsmouth,70-79,13,5
2020-05-05,Alleghany,30-39,10,0
2020-05-05,"Prince William",20-29,414,21
2020-05-05,Southside,70-79,21,7
2020-05-05,Piedmont,Missing,0,0
2020-05-05,Rappahannock,0-9,13,1
2020-05-05,Henrico,30-39,98,3
2020-05-05,"Prince William",10-19,119,3
2020-05-05,Chickahominy,10-19,5,0
2020-05-05,"Lord Fairfax",0-9,12,0
2020-05-05,"Central Virginia",Missing,0,0
2020-05-05,Fairfax,60-69,592,164
2020-05-05,Hampton,20-29,21,1
2020-05-05,"Central Shenandoah",40-49,168,2
2020-05-05,Pittsylvania-Danville,0-9,1,0
2020-05-05,Crater,30-39,39,2
2020-05-05,"Virginia Beach",70-79,46,21
2020-05-05,"Virginia Beach",30-39,68,6
2020-05-05,Piedmont,0-9,1,0
2020-05-05,"Central Shenandoah",30-39,135,2
2020-05-05,Hampton,50-59,28,7
2020-05-05,Peninsula,70-79,67,34
2020-05-05,Arlington,20-29,160,13
2020-05-05,"West Piedmont",70-79,5,3
2020-05-05,Richmond,20-29,72,5
2020-05-05,Roanoke,0-9,0,0
2020-05-05,Hampton,30-39,23,2
2020-05-05,"Thomas Jefferson",30-39,44,2
2020-05-05,"Western Tidewater",40-49,59,3
2020-05-05,Richmond,50-59,80,16
2020-05-05,"Western Tidewater",50-59,77,5
2020-05-05,Crater,Missing,0,0
2020-05-05,Arlington,50-59,202,33
2020-05-05,Piedmont,70-79,23,10
